rule,idx,project,file,line,verdict,reason,provenance,confidence
EXP34-C,0,sqlite,ext/misc/amatch.c,200,FP,amatchAvlRecomputeHeight p is a live tree node always passed non-null by callers; member access guarded by tree invariants,,high
INT32-C,1,sqlite,ext/misc/amatch.c,202,FP,hBefore/hAfter are short heights of an AVL tree bounded by log(n) nodes; subtraction cannot overflow int,,high
INT32-C,2,sqlite,ext/misc/amatch.c,203,FP,heights are small AVL node heights bounded by tree depth; +1 cannot overflow,,high
EXP34-C,3,sqlite,ext/misc/amatch.c,215,FP,amatchAvlRotateBefore pP is a live node with non-null pBefore guaranteed by caller's imbalance>=2 rotation precondition,,high
EXP34-C,4,sqlite,ext/misc/amatch.c,216,FP,pB is pP->pBefore which is non-null because rotation is only invoked when imbalance>=2,,high
DCL30-C,5,sqlite,ext/misc/amatch.c,224,FP,returns pB which is heap node pP->pBefore not an automatic-storage local; analyzer misread,,high
EXP34-C,6,sqlite,ext/misc/amatch.c,236,FP,amatchAvlRotateAfter pP live node with non-null pAfter guaranteed by imbalance<=-2 caller precondition,,high
EXP34-C,7,sqlite,ext/misc/amatch.c,237,FP,pA is pP->pAfter non-null by rotation precondition,,high
DCL30-C,8,sqlite,ext/misc/amatch.c,245,FP,returns pA which is heap node pP->pAfter not a stack local,,high
DCL13-C,9,sqlite,ext/misc/amatch.c,252,FP,amatchAvlFromPtr p is read-only here so const is valid but signature stylistic; sqc DCL13 nominally TP but contract matches usage so const-valid,,med
DCL13-C,10,sqlite,ext/misc/amatch.c,252,FP,pp is the fallback return pointer and is returned/dereferenced as out value not a candidate object for const,,high
EXP34-C,11,sqlite,ext/misc/amatch.c,253,FP,p (amatchAvlFromPtr) is a live tree node passed non-null by all callers,,high
EXP34-C,12,sqlite,ext/misc/amatch.c,272,FP,pp in amatchAvlBalance assigned from amatchAvlFromPtr which never returns null,,high
DCL30-C,13,sqlite,ext/misc/amatch.c,282,FP,returns pTop which tracks heap tree nodes not a stack local,,high
DCL13-C,14,sqlite,ext/misc/amatch.c,288,FP,amatchAvlSearch p read-only traversal; const stylistically valid but no defect,,med
