rule,project,file,line,verdict,reason,provenance,confidence
MSC37-C,curl,lib/curl_get_line.c,35,FP,Infinite loop always returns from inside; no fallthrough to end of function.,curl_full_audit_0.4.35,high
ERR33-C,curl,lib/curl_get_line.c,42,FP,fgets return checked via 'b ? strlen(b) : 0' and feof handling.,curl_full_audit_0.4.35,high
ERR00-C,curl,lib/curl_get_line.c,42,FP,NULL return handled; eof tracked separately. Idiomatic line reader.,curl_full_audit_0.4.35,high
FIO20-C,curl,lib/curl_get_line.c,42,FP,Truncation handled: loops to append until newline or EOF.,curl_full_audit_0.4.35,high
EXP34-C,curl,lib/curl_get_line.c,56,FP,b[rlen-1] guarded by 'rlen &&'; b is dyn buffer ptr.,curl_full_audit_0.4.35,high
PRE00-C,curl,lib/curl_sasl.h,131,FP,sasl_mech_equal is standard predicate macro; multiple-eval advisory only.,curl_full_audit_0.4.35,high
PRE12-C,curl,lib/curl_sasl.h,131,FP,wordlen multiple-eval on side-effect-free arg; idiomatic macro.,curl_full_audit_0.4.35,high
API02-C,curl,lib/curl_sasl.h,136,FP,maxlen already bounds ptr; advisory size-param noise.,curl_full_audit_0.4.35,high
API05-C,curl,lib/curl_sasl.h,136,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/curl_sasl.h,141,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/curlx/strparse.h,46,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/curlx/strparse.h,53,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/curlx/strparse.h,57,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/curlx/strparse.h,62,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/curlx/strparse.h,67,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API01-C,curl,lib/doh.h,85,FP,"Fixed DNS req buffer in internal struct; bounds-checked encoder, not overflowable string.",curl_full_audit_0.4.35,med
API02-C,curl,lib/doh.h,162,FP,olen already bounds output; advisory size-param noise.,curl_full_audit_0.4.35,high
API05-C,curl,lib/doh.h,162,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/doh.h,164,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/doh.h,167,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API02-C,curl,lib/escape.h,35,FP,length param already bounds string; advisory size-param noise.,curl_full_audit_0.4.35,high
API05-C,curl,lib/escape.h,35,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/escape.h,36,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/escape.h,39,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/escape.h,40,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API00-C,curl,lib/hostip6.c,65,FP,Internal resolver; data always valid handle from callers. Not exported NULL-deref risk.,curl_full_audit_0.4.35,high
API00-C,curl,lib/hostip6.c,65,FP,hostname always supplied by internal callers; not user-facing entrypoint.,curl_full_audit_0.4.35,high
EXP20-C,curl,lib/hostip6.c,95,FP,inet_pton documented to return exactly 1 on success; '==1' is correct idiom.,curl_full_audit_0.4.35,high
EXP20-C,curl,lib/hostip6.c,96,FP,inet_pton documented to return exactly 1 on success; '==1' is correct idiom.,curl_full_audit_0.4.35,high
DCL30-C,curl,lib/hostip6.c,117,FP,"res is a pointer to heap addrinfo from Curl_getaddrinfo_ex, not local auto storage.",curl_full_audit_0.4.35,high
API02-C,curl,lib/http1.h,50,FP,"Parser API; advisory size-param noise, callee bounds internally.",curl_full_audit_0.4.35,high
API05-C,curl,lib/http1.h,51,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/http1.h,52,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/http1.h,53,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
DCL13-C,curl,lib/http1.h,54,FP,pnread is out-param written by callee; cannot be const.,curl_full_audit_0.4.35,high
ARR02-C,curl,lib/select.h,83,FP,ufds[] is array param decaying to pointer; nfds gives count. Valid prototype.,curl_full_audit_0.4.35,high
PRE00-C,curl,lib/select.h,105,FP,VERIFY_SOCK control-flow macro (do/while with return); needs multiple eval intentionally.,curl_full_audit_0.4.35,high
PRE12-C,curl,lib/select.h,105,FP,"x evaluated twice on side-effect-free socket arg; control macro, not inlinable.",curl_full_audit_0.4.35,high
PRE02-C,curl,lib/select.h,171,FP,"Replacement is single function call expression; parens unnecessary, advisory.",curl_full_audit_0.4.35,high
DCL13-C,curl,lib/select.h,192,FP,pwant_read is out-param written by Curl_pollset_check; cannot be const.,curl_full_audit_0.4.35,high
API02-C,curl,lib/setup-os400.h,61,FP,OS400 getnameinfo shim; signature fixed by platform API. Advisory noise.,curl_full_audit_0.4.35,high
API02-C,curl,lib/setup-os400.h,61,FP,OS400 getnameinfo shim; signature fixed by platform API. Advisory noise.,curl_full_audit_0.4.35,high
API02-C,curl,lib/setup-os400.h,125,FP,recvfrom shim; buflen already present. Signature fixed by socket API.,curl_full_audit_0.4.35,high
API02-C,curl,lib/setup-os400.h,127,FP,getpeername shim; addrlen is in/out len. Signature fixed by socket API.,curl_full_audit_0.4.35,high
API02-C,curl,lib/setup-os400.h,128,FP,getsockname shim; addrlen is in/out len. Signature fixed by socket API.,curl_full_audit_0.4.35,high
PRE00-C,curl,lib/vquic/vquic_int.h,80,FP,H3_STREAM_CTX accessor macro; idiomatic single-arg lookup.,curl_full_audit_0.4.35,high
PRE01-C,curl,lib/vquic/vquic_int.h,80,FP,data used as member-access base in macro; parenthesization not needed there.,curl_full_audit_0.4.35,high
PRE12-C,curl,lib/vquic/vquic_int.h,80,FP,Accessor macro evaluates data twice on side-effect-free arg; idiomatic.,curl_full_audit_0.4.35,high
API05-C,curl,lib/vquic/vquic_int.h,95,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/vquic/vquic_int.h,121,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,src/tool_writeout_json.h,30,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API02-C,curl,src/tool_writeout_json.h,32,FP,mappings[] is NUL-sentinel-terminated table; no count param needed.,curl_full_audit_0.4.35,high
ARR02-C,curl,src/tool_writeout_json.h,32,FP,mappings[] array param decays to pointer; sentinel-terminated. Valid prototype.,curl_full_audit_0.4.35,high
API02-C,curl,src/tool_writeout_json.h,35,FP,FILE* and per_transfer struct ptrs; not array buffers. Advisory noise.,curl_full_audit_0.4.35,high
API02-C,curl,src/tool_writeout_json.h,36,FP,in is NUL-terminated C string; no count param needed.,curl_full_audit_0.4.35,high
DCL15-C,curl,lib/easyoptions.c,32,FP,Curl_easyopts is intentionally exported (used across translation units/tests).,curl_full_audit_0.4.35,high
DCL19-C,curl,lib/easyoptions.c,32,FP,Generated global option table; must be file-scope and exported.,curl_full_audit_0.4.35,high
ARR02-C,curl,lib/easyoptions.c,32,FP,Sentinel-terminated initializer table; implicit bounds idiomatic and valid.,curl_full_audit_0.4.35,high
INT10-C,curl,lib/easyoptions.c,388,FP,CURLOPT_LASTENTRY is positive enum constant; modulo never sees negative operand.,curl_full_audit_0.4.35,high
DCL38-C,curl,lib/hostip.h,68,TP,hostname[1] struct-hack; CERT DCL38 prefers []. Intentional portability idiom though.,curl_full_audit_0.4.35,low
STR31-C,curl,lib/hostip.h,68,FP,hostname[1] is flexible struct-hack member allocated larger; not undersized buffer.,curl_full_audit_0.4.35,high
API05-C,curl,lib/hostip.h,144,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API05-C,curl,lib/hostip.h,162,FP,Conformant-array-syntax advisory; curl never uses C99 array params.,curl_full_audit_0.4.35,high
API02-C,curl,lib/http_proxy.h,38,FP,"pport is int out-param, not array; advisory noise.",curl_full_audit_0.4.35,high
API02-C,curl,lib/http_proxy.h,50,FP,"pres1 is int out-param, not array; advisory noise.",curl_full_audit_0.4.35,high
PRE00-C,curl,lib/http_proxy.h,61,FP,"IS_HTTPS_PROXY predicate macro; idiomatic comparison, side-effect-free arg.",curl_full_audit_0.4.35,high
PRE12-C,curl,lib/http_proxy.h,61,FP,t evaluated twice on enum value; idiomatic predicate macro.,curl_full_audit_0.4.35,high
API00-C,curl,lib/psl.c,42,FP,Internal API; easy always valid handle. Sibling fns also deref unchecked.,curl_full_audit_0.4.35,med
EXP33-C,curl,lib/psl.c,70,FP,psl assigned via psl_latest() at line 69 before use; #ifdef branch sqc can't connect.,curl_full_audit_0.4.35,high
DCL30-C,curl,lib/psl.c,94,FP,"psl is const pointer aliasing pslcache->psl (heap/static), not local auto address.",curl_full_audit_0.4.35,high
