rule,idx,project,file,line,verdict,reason,provenance,confidence
API02-C,0,sqlite,ext/misc/tmstmpvfs.c,375,FP,"line 375 fwd-decl of xCheckReservedLock slot; signature fixed by sqlite3_io_methods typedef, int* is a single out-param not an array",,high
CON43-C,1,sqlite,ext/misc/tmstmpvfs.c,379,FP,tmstmpShmMap is a function (io_methods slot) not a variable; CON43 misreads the static fn decl as a volatile shared variable,,high
API02-C,2,sqlite,ext/misc/tmstmpvfs.c,392,FP,tmstmpFullPathname signature fixed by sqlite3_vfs.xFullPathname typedef; zOut size is the separate int n param,,high
API02-C,3,sqlite,ext/misc/tmstmpvfs.c,394,FP,tmstmpDlError signature fixed by sqlite3_vfs.xDlError typedef; nByte is the size arg already,,high
API02-C,4,sqlite,ext/misc/tmstmpvfs.c,397,FP,tmstmpRandomness signature fixed by sqlite3_vfs.xRandomness typedef; nByte is the size arg already,,high
CON03-C,5,sqlite,ext/misc/tmstmpvfs.c,406,FP,"tmstmp_vfs is a singleton registered once under SQLite mutex; CON03 misfire on a static struct, no concurrent mutation",,high
DCL13-C,6,sqlite,ext/misc/tmstmpvfs.c,456,TP,"tmstmpPutTS param p only reads p->pSubVfs and is never written; const TmstmpFile* would compile, not a typedef-fixed slot",,med
INT30-C,7,sqlite,ext/misc/tmstmpvfs.c,459,FP,tm is sqlite3_uint64 millisecond epoch from xCurrentTimeInt64; the -= rebases to 1970 and intended modular wrap is harmless for byte packing,,high
INT14-C,8,sqlite,ext/misc/tmstmpvfs.c,472,FP,"tmstmpGetU32 mixes shifts and + to assemble a big-endian u32; idiomatic byte assembly, no defect",,high
ERR00-C,9,sqlite,ext/misc/tmstmpvfs.c,487,FP,fclose in tmstmpLogFree on a best-effort log file at teardown; ignoring rc is acceptable for a diagnostic log,,high
ERR33-C,10,sqlite,ext/misc/tmstmpvfs.c,487,FP,same fclose rc-ignore on diagnostic log close path; not an error-handling-required path,,high
ERR00-C,11,sqlite,ext/misc/tmstmpvfs.c,498,FP,fopen result IS checked at line 499 (if pLog->log==0); finding is wrong about missing check,,high
FIO03-C,12,sqlite,ext/misc/tmstmpvfs.c,498,FP,"log file is a private per-connection diagnostic in a $(DB)-tmstmp dir; exclusive-create semantics not required, overwrite intended",,high
FIO42-C,13,sqlite,ext/misc/tmstmpvfs.c,498,FP,pLog->log is closed by tmstmpLogFree (fclose line 487); not a leak,,high
FIO42-C,14,sqlite,ext/misc/tmstmpvfs.c,498,FP,opened with fopen not open(); the close is fclose in tmstmpLogFree; sqc confused fopen for fd open,,high
FIO51-C,15,sqlite,ext/misc/tmstmpvfs.c,498,FP,same as idx 13; fclose occurs in tmstmpLogFree at line 487,,high
WIN03-C,16,sqlite,ext/misc/tmstmpvfs.c,498,FP,Windows handle-inheritance N-flag irrelevant for a local per-connection diagnostic log; not a security boundary,,high
ERR33-C,17,sqlite,ext/misc/tmstmpvfs.c,506,FP,"fflush on a buffered diagnostic log; rc-ignore acceptable, data loss tolerable for tracing",,high
EXP34-C,18,sqlite,ext/misc/tmstmpvfs.c,525,FP,"p reassigned to p->pPartner only when isWal, guarded by assert(p!=0) at 526; pLog deref is safe",,high
EXP05-C,19,sqlite,ext/misc/tmstmpvfs.c,538,FP,a+2 is unsigned char* arithmetic into a local aOut buffer; no const cast occurs here,,high
INT32-C,20,sqlite,ext/misc/tmstmpvfs.c,544,FP,pLog->n is bounded 0..sizeof(a)=96 and flushed at >=96 (line 531); += 16 cannot overflow int,,high
MEM30-C,21,sqlite,ext/misc/tmstmpvfs.c,559,FP,"line 559 only tests p->pPartner truthiness; nothing is freed, no use-after-free",,high
