rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL13-C,0,sqlite,src/vdbe.c,91,TP,"updateMaxBlobsize reads p->flags and p->n only; never mutates p, const Mem* compiles",,
PRE00-C,1,sqlite,src/vdbe.c,103,TP,function-like macro evaluates DB twice; inline function would be safer per CERT,,
PRE12-C,2,sqlite,src/vdbe.c,103,TP,HAS_UPDATE_HOOK(DB) expands DB twice ((DB)->xPreUpdateCallback||(DB)->xUpdateCallback); genuine multiple evaluation,,
CON07-C,3,sqlite,src/vdbe.c,143,FP,"static u64 n is a SQLITE_DEBUG-only single-threaded trace counter, not real shared concurrent state",,
DCL13-C,4,sqlite,src/vdbe.c,143,FP,pOp param is (void)pOp cast-unused in a debug breakpoint stub; const adds nothing and signature is fixed,,
CON03-C,5,sqlite,src/vdbe.c,144,FP,n is a debug trace counter in single-threaded VDBE exec context; no concurrency,,
ERR05-C,6,sqlite,src/vdbe.c,149,FP,"abort() is intentional dead-code guard (n==LARGEST_UINT64) to suppress unused-variable warning, never reached",,
DCL03-C,7,sqlite,src/vdbe.c,196,FP,"assert(I<=2) tests runtime parameter I, not a compile-time constant",,
DCL03-C,8,sqlite,src/vdbe.c,197,FP,"assert(M<=4) tests runtime parameter M, not a compile-time constant",,
DCL03-C,9,sqlite,src/vdbe.c,198,FP,"assert(I<M) compares two runtime parameters, not compile-time constants",,
INT32-C,10,sqlite,src/vdbe.c,200,FP,"1<<I with I<=2 (asserted); result <=4, no signed overflow",,
INT34-C,11,sqlite,src/vdbe.c,200,FP,"1<<I after assert(I<=2); shift amount bounded [0,2], no UB",,
PRE00-C,12,sqlite,src/vdbe.c,242,TP,function-like macro evaluates P multiple times; genuine instance,,
PRE02-C,13,sqlite,src/vdbe.c,242,FP,"macro body is a statement (if/goto), not an expression; parenthesizing the replacement list does not apply",,
PRE10-C,14,sqlite,src/vdbe.c,242,TP,multistatement if(){goto} macro not wrapped in do{}while(0); breaks if used in an if/else without braces,,
PRE12-C,15,sqlite,src/vdbe.c,242,TP,Deephemeralize(P) evaluates P twice ((P)->flags and sqlite3VdbeMemMakeWriteable(P)),,
INT32-C,16,sqlite,src/vdbe.c,277,FP,p->nMem-iCur are bounded register/cursor indices in VDBE alloc,,
MEM30-C,17,sqlite,src/vdbe.c,287,FP,"sqlite3VdbeFreeCursorNN frees old cursor at L287; 'p' is the live Vdbe (allocator arg), not the freed object",,
MEM30-C,18,sqlite,src/vdbe.c,302,FP,"L300 frees pMem->zMalloc; L302 reads pMem->db (live connection handle, never freed) to malloc new buffer",,
MEM30-C,19,sqlite,src/vdbe.c,303,FP,pMem->zMalloc reassigned to fresh sqlite3DbMallocRaw at L302; L303 reads the new pointer (free-then-reassign),,
MEM30-C,20,sqlite,src/vdbe.c,310,FP,L310 reads freshly-malloc'd pMem->zMalloc (reassigned L302); old freed buffer not used,,
EXP34-C,21,sqlite,src/vdbe.c,311,FP,pCx=pMem->zMalloc which was just checked ==0 -> return 0 at lines 303-306; non-null here,,
MEM30-C,22,sqlite,src/vdbe.c,317,FP,pMem->z reassigned to fresh malloc at L302; L317 reads new buffer (free-then-reassign),,
DCL30-C,23,sqlite,src/vdbe.c,320,FP,"pCx points into pMem->zMalloc (heap), not automatic storage; no dangling return",,
DCL13-C,24,sqlite,src/vdbe.c,329,TP,"alsoAnInt reads pRec->z/->n/->enc only; never mutates pRec, const Mem* compiles",,
EXP34-C,25,sqlite,src/vdbe.c,336,FP,pRec is a precondition-non-null internal Mem (asserts upstream); VDBE register pointer,,
EXP34-C,26,sqlite,src/vdbe.c,357,FP,applyNumericAffinity caller passes valid Mem; assert at 357 documents invariant,,
EXP34-C,27,sqlite,src/vdbe.c,405,FP,"applyAffinity pRec is a valid register pointer; internal invariant, not user input",,
API00-C,28,sqlite,src/vdbe.c,436,FP,sqlite3_value_numeric_type relies on documented precondition + assert(pMem->db!=0); VDBE/API invariant,,
API00-C,29,sqlite,src/vdbe.c,453,FP,sqlite3ValueApplyAffinity is a thin wrapper delegating to applyAffinity; relies on caller invariant,,
EXP34-C,30,sqlite,src/vdbe.c,470,FP,computeNumericType pMem guarded by asserts; internal caller invariant,,
EXP34-C,31,sqlite,src/vdbe.c,499,FP,numericType pMem guarded by asserts; internal caller invariant,,
MSC07-C,32,sqlite,src/vdbe.c,511,TP,return 0; at line 511 is genuinely unreachable after return computeNumericType(pMem) at 510,,
API00-C,33,sqlite,src/vdbe.c,519,FP,debug-only pretty-printer relies on caller passing a valid Mem; internal invariant,,
DCL13-C,34,sqlite,src/vdbe.c,519,TP,"sqlite3VdbeMemPrettyPrint reads pMem fields only (flags,n,z,u.nZero,enc); const Mem* compiles",,
EXP34-C,35,sqlite,src/vdbe.c,520,FP,debug print helper; caller (memTracePrint) passes a valid Mem register,,
ARR02-C,36,sqlite,src/vdbe.c,521,FP,"static const initialized string array; size inferred from 4 initializers, no OOB",,
INT13-C,37,sqlite,src/vdbe.c,522,FP,f&MEM_Blob is bitmask flag test on Mem->flags (debug pretty-print),,
INT13-C,38,sqlite,src/vdbe.c,525,FP,"f&MEM_Dyn flag-bit test, not arithmetic bitwise",,
INT13-C,39,sqlite,src/vdbe.c,527,FP,f&(MEM_Static|MEM_Ephem) assert flag mask,,
INT13-C,40,sqlite,src/vdbe.c,528,FP,f&MEM_Static flag-bit test,,
INT13-C,41,sqlite,src/vdbe.c,530,FP,f&(MEM_Dyn|MEM_Ephem) assert flag mask,,
INT13-C,42,sqlite,src/vdbe.c,531,FP,f&MEM_Ephem flag-bit test,,
INT13-C,43,sqlite,src/vdbe.c,533,FP,f&(MEM_Static|MEM_Dyn) assert flag mask,,
INT13-C,44,sqlite,src/vdbe.c,547,FP,f&MEM_Zero flag-bit test,,
INT13-C,45,sqlite,src/vdbe.c,550,FP,f&MEM_Str flag-bit test,,
INT13-C,46,sqlite,src/vdbe.c,553,FP,f&MEM_Dyn flag-bit test,,
INT13-C,47,sqlite,src/vdbe.c,555,FP,f&(MEM_Static|MEM_Ephem) assert mask,,
INT13-C,48,sqlite,src/vdbe.c,556,FP,f&MEM_Static flag-bit test,,
INT13-C,49,sqlite,src/vdbe.c,558,FP,f&(MEM_Dyn|MEM_Ephem) assert mask,,
INT13-C,50,sqlite,src/vdbe.c,559,FP,f&MEM_Ephem flag-bit test,,
INT13-C,51,sqlite,src/vdbe.c,561,FP,f&(MEM_Static|MEM_Dyn) assert mask,,
INT13-C,52,sqlite,src/vdbe.c,571,FP,f&MEM_Term flag-bit test,,
