rule,idx,project,file,line,verdict,reason,provenance,confidence
MSC04-C,0,sqlite,src/whereexpr.c,28,TP,whereOrInfoDelete -> sqlite3WhereClauseClear -> whereOrInfoDelete is genuine indirect recursion over OR-tree nodes; depth-bounded by expr tree but real.,,high
MSC04-C,1,sqlite,src/whereexpr.c,36,TP,whereAndInfoDelete -> sqlite3WhereClauseClear -> whereAndInfoDelete is genuine indirect recursion over AND-tree nodes.,,high
ARR01-C,2,sqlite,src/whereexpr.c,67,FP,"pWC->a[0] is a WhereTerm element via the WhereClause* member; sizeof(element) is correct, no decayed-pointer sizeof.",,high
INT30-C,3,sqlite,src/whereexpr.c,67,FP,nSlot is a small bounded slot count grown by doubling; sizeof*nSlot*2 is allocation sizing that never approaches SIZE_MAX in practice and malloc returns 0 on failure.,,high
ARR01-C,4,sqlite,src/whereexpr.c,75,FP,"same as idx2: sizeof(pWC->a[0]) is element size of WhereTerm, not sizeof of a decayed pointer.",,high
ARR38-C,5,sqlite,src/whereexpr.c,75,FP,"memcpy copies nTerm valid WhereTerm entries into the freshly doubled array; size = nTerm elements, well-formed.",,high
EXP43-C,6,sqlite,src/whereexpr.c,75,FP,"src pOld and dst pWC->a are distinct buffers (pOld is the old array, pWC->a was just freshly allocated); no overlap.",,high
INT30-C,7,sqlite,src/whereexpr.c,75,FP,nTerm <= nSlot is a small bounded term count; sizeof*nTerm cannot wrap for realistic clause sizes.,,high
INT32-C,8,sqlite,src/whereexpr.c,75,FP,"same bounded nTerm; memcpy size is element-count * sizeof element, no overflow at WHERE-clause scale.",,high
INT32-C,9,sqlite,src/whereexpr.c,76,FP,nSlot is a small int doubled on growth; cannot reach INT_MAX for a WHERE clause term array.,,high
INT32-C,10,sqlite,src/whereexpr.c,78,FP,nTerm is a bounded term counter (int) incremented one per added term; cannot approach INT_MAX.,,high
INT32-C,11,sqlite,src/whereexpr.c,81,FP,sqlite3LogEst returns a small LogEst (i16-range) value; subtracting 270 cannot overflow int.,,high
INT32-C,12,sqlite,src/whereexpr.c,89,FP,"sizeof(WhereTerm) - offsetof(WhereTerm,eOperator) is a positive compile-time constant (eOperator is not the last member); no overflow.",,high
EXP08-C,13,sqlite,src/whereexpr.c,90,FP,"memset(&pTerm->eOperator,...) uses address-of-member, not raw byte pointer arithmetic; idiomatic and well-defined.",,high
INT30-C,14,sqlite,src/whereexpr.c,90,FP,"sizeof(WhereTerm) > offsetof(WhereTerm,eOperator) always since eOperator is an interior member; subtraction is a positive constant, no underflow.",,high
DCL03-C,15,sqlite,src/whereexpr.c,100,FP,"assert(TK_GT>TK_EQ && TK_GT<TK_GE) uses token-code macros; though constant, these are documented runtime sanity asserts (style preference, not a defect).",,high
DCL03-C,16,sqlite,src/whereexpr.c,101,FP,"assert on TK_LT ordering constants; runtime assert of compile-time relation, style-only.",,high
DCL03-C,17,sqlite,src/whereexpr.c,102,FP,assert on TK_LE ordering constants; style-only.,,high
DCL03-C,18,sqlite,src/whereexpr.c,103,FP,assert(TK_GE==TK_EQ+4); style-only.,,high
DCL03-C,19,sqlite,src/whereexpr.c,104,FP,assert(TK_IN<TK_EQ); style-only.,,high
DCL03-C,20,sqlite,src/whereexpr.c,105,FP,assert(TK_IS<TK_EQ); style-only.,,high
DCL03-C,21,sqlite,src/whereexpr.c,106,FP,assert(TK_ISNULL<TK_EQ); style-only.,,high
DCL03-C,22,sqlite,src/whereexpr.c,126,FP,assert(TK_LT==TK_GT+2) constant token relation; style-only.,,high
INT14-C,23,sqlite,src/whereexpr.c,126,FP,"TK_GT is a token-code enum constant compared/added with int op; no real bitwise+arithmetic confusion, just enum arithmetic.",,high
DCL03-C,24,sqlite,src/whereexpr.c,127,FP,assert(TK_GE==TK_LE+2) constant token relation; style-only.,,high
DCL03-C,25,sqlite,src/whereexpr.c,128,FP,assert(TK_GT>TK_EQ) constant; style-only.,,high
DCL03-C,26,sqlite,src/whereexpr.c,129,FP,assert(TK_GT<TK_LE) constant; style-only.,,high
INT14-C,27,sqlite,src/whereexpr.c,131,FP,"pExpr is a pointer struct member accessed; not genuine bitwise+arithmetic on a numeric variable, misfire on op field arithmetic.",,high
INT13-C,28,sqlite,src/whereexpr.c,143,FP,"op is a small bounded token code (TK_EQ..TK_GE range checked by allowedOp); WO_EQ<<(op-TK_EQ) shift is asserted < 0x7fff, well-defined.",,high
INT14-C,29,sqlite,src/whereexpr.c,143,FP,"TK_EQ is a token constant used in (op-TK_EQ); enum arithmetic, not a readability defect.",,high
INT34-C,30,sqlite,src/whereexpr.c,143,FP,"shift amount (op-TK_EQ) is guarded by allowedOp() and op>=TK_EQ branch, with assert((WO_EQ<<(op-TK_EQ))<0x7fff); bounded non-negative.",,high
INT13-C,31,sqlite,src/whereexpr.c,144,FP,op is bounded token code; shift well-defined as above.,,high
INT34-C,32,sqlite,src/whereexpr.c,144,FP,shift amount bounded by allowedOp invariant and the assert; well-defined.,,high
EXP33-C,33,sqlite,src/whereexpr.c,196,FP,"wc[4] is filled by sqlite3IsLikeFunction(db,pExpr,pnoCase,(char*)wc) at line196 before any read at line229; not uninitialized.",,high
