rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,0,sqlite,src/trigger.c,19,FP,db is an internal sqlite3 handle guaranteed non-null by caller invariant not a trust boundary API00 misfire,,high
API00-C,1,sqlite,src/trigger.c,19,FP,pTriggerStep may legitimately be NULL and the while(pTriggerStep) loop guards every deref no validation needed,,high
MEM30-C,2,sqlite,src/trigger.c,32,FP,"sqlite3DbFree(db,pTmp) frees pTmp not db db is the live context handle freed once per node never double-freed",,high
API00-C,3,sqlite,src/trigger.c,50,FP,pParse is internal parser context guaranteed non-null no trust boundary API00 misfire,,high
DCL13-C,4,sqlite,src/trigger.c,50,FP,pParse not written here but flows by SQLite convention as mutable parser context and reaches trigger object mutation const violates pervasive Parse contract,,med
DCL13-C,5,sqlite,src/trigger.c,50,FP,pTab read-only here but Table* is conventionally mutable and its pTrigger list nodes are mutated const not used in SQLite for Table*,,med
ERR33-C,6,sqlite,src/trigger.c,90,FP,fflush(stdout) at line 90 is inside an #if 0 debug block never compiled dead code,,high
DCL30-C,7,sqlite,src/trigger.c,93,FP,return pList at line 93 is inside #if 0 dead code and pList is a heap Trigger* pointer not an automatic array,,high
API00-C,8,sqlite,src/trigger.c,104,FP,pColumns may be NULL by design (only set for UPDATE OF) and is null-safe through sqlite3IdListDelete API00 misfire,,high
API00-C,9,sqlite,src/trigger.c,104,FP,pTableName NULL is explicitly handled at line 143 if(!pTableName) goto cleanup not a trust boundary,,high
API00-C,10,sqlite,src/trigger.c,104,FP,pWhen may legitimately be NULL (no WHEN clause) and sqlite3ExprDelete/Dup are null-safe API00 misfire,,high
MEM30-C,11,sqlite,src/trigger.c,158,FP,"sqlite3DbFree(db,pTableName->a[0].u4.zDatabase) frees zDatabase not pTableName which stays live UAF misread",,high
MEM30-C,12,sqlite,src/trigger.c,158,FP,pTableName->a array is not freed only the zDatabase member string is freed UAF misread of free arg vs context,,high
MEM30-C,13,sqlite,src/trigger.c,167,FP,"sqlite3SrcListLookup(pParse,pTableName) does not free pParse no free occurred UAF misfire",,high
MEM30-C,14,sqlite,src/trigger.c,168,FP,db is never freed in this function it is the live connection handle reading db->init.busy is safe,,high
MEM30-C,15,sqlite,src/trigger.c,168,FP,same as 14 db is live connection handle not freed,,high
MEM30-C,16,sqlite,src/trigger.c,169,FP,db->aDb[1].pSchema read on live db handle never freed,,high
MEM30-C,17,sqlite,src/trigger.c,169,FP,db->aDb array is part of live db never freed UAF misfire on DbFree context arg,,high
MEM30-C,18,sqlite,src/trigger.c,174,FP,db->mallocFailed read on live handle no free occurred,,high
MEM30-C,19,sqlite,src/trigger.c,176,FP,sqlite3FixInit does not free pParse no free in scope,,high
MEM30-C,20,sqlite,src/trigger.c,180,FP,"sqlite3FixSrcList(&sFix,pTableName) does not free pParse",,high
MEM30-C,21,sqlite,src/trigger.c,186,FP,sqlite3SrcListLookup does not free pParse,,high
MEM30-C,22,sqlite,src/trigger.c,189,FP,"sqlite3ErrorMsg(pParse,...) reads live db via pParse db not freed",,high
