rule,idx,project,file,line,verdict,reason,provenance,confidence
API02-C,1,sqlite,ext/misc/cksumvfs.c,214,FP,cksmCheckReservedLock pResOut is a single int* out-param per VFS io_methods contract not an array; signature fixed by sqlite3_io_methods typedef,b15-adjudicator,high
CON43-C,2,sqlite,ext/misc/cksumvfs.c,218,FP,"cksmShmMap is a static function name (forward decl), not a mutable shared variable; CON43 misfire on a function declaration",b15-adjudicator,high
API02-C,3,sqlite,ext/misc/cksumvfs.c,231,FP,cksmFullPathname signature fixed by sqlite3_vfs xFullPathname typedef; zOut sized by nOut int param per VFS contract,b15-adjudicator,high
API02-C,4,sqlite,ext/misc/cksumvfs.c,233,FP,cksmDlError signature fixed by sqlite3_vfs xDlError typedef; nByte already conveys zErrMsg capacity,b15-adjudicator,high
API02-C,5,sqlite,ext/misc/cksumvfs.c,236,FP,cksmRandomness signature fixed by sqlite3_vfs xRandomness typedef; nByte already conveys zOut capacity,b15-adjudicator,high
CON03-C,6,sqlite,ext/misc/cksumvfs.c,245,FP,cksm_vfs is a static module-global VFS descriptor mutated only once at registration; sqlite3_vfs has no volatile/atomic requirement,b15-adjudicator,high
PRE00-C,7,sqlite,ext/misc/cksumvfs.c,293,TP,BYTESWAP32 macro evaluates parameter x four times via repeated &-masks; classic multiple-evaluation macro hazard,b15-adjudicator,high
PRE12-C,8,sqlite,ext/misc/cksumvfs.c,293,TP,same macro at line 293 evaluates x multiple times; PRE12 multiple-evaluation finding is factually correct,b15-adjudicator,high
DCL13-C,9,sqlite,ext/misc/cksumvfs.c,300,FP,cksmCompute writes through a only in caller sense; here a is dereferenced and cast to u32* and read but cksmWrite passes zBuf that IS later written by xWrite so const would be semantically wrong for the buffer; param is read-only here but signature reused for write path mutating the same memory,b15-adjudicator,high
EXP05-C,10,sqlite,ext/misc/cksumvfs.c,305,FP,(u32*)a cast strips nothing improper; a is non-const u8* so casting to u32* adds no const-cast; EXP05 misfire on a same-constness reinterpret,b15-adjudicator,high
INT13-C,11,sqlite,ext/misc/cksumvfs.c,310,FP,"nByte&0x07 in assert tests alignment of a non-negative multiple-of-8 value; value is bounded positive, no signedness defect",b15-adjudicator,high
ARR36-C,12,sqlite,ext/misc/cksumvfs.c,318,FP,"aData<aEnd compares two pointers into the SAME buffer a (aData from a, aEnd from &a[nByte]); not different arrays",b15-adjudicator,high
ARR36-C,13,sqlite,ext/misc/cksumvfs.c,325,FP,same single-buffer pointer comparison aData<aEnd in big-endian branch; both derive from a,b15-adjudicator,high
