rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,1,sqlite,ext/fts5/fts5_buffer.c,18,FP,API00 pRc internal contract caller passes valid &rc not attacker-reachable null,b14-adjudicator,high
API00-C,2,sqlite,ext/fts5/fts5_buffer.c,18,FP,API00 pBuf internal caller-owned buffer struct never null in practice,b14-adjudicator,high
INT32-C,3,sqlite,ext/fts5/fts5_buffer.c,44,FP,n bounded by buffer grow to 9 bytes for varint; n is index into pre-grown buffer not attacker overflow,b14-adjudicator,med
INT14-C,4,sqlite,ext/fts5/fts5_buffer.c,48,FP,iVal>>n in Put32 is intentional byte extraction masked with 0xFF; readability noise,b14-adjudicator,high
API00-C,5,sqlite,ext/fts5/fts5_buffer.c,54,FP,API00 aBuf is caller-owned 4-byte buffer contract,b14-adjudicator,high
EXP34-C,6,sqlite,ext/fts5/fts5_buffer.c,55,FP,aBuf deref guarded by caller contract 4-byte buffer; not null in callers,b14-adjudicator,med
INT14-C,7,sqlite,ext/fts5/fts5_buffer.c,55,FP,INT14 shift+add in Get32 is intentional big-endian decode; style noise,b14-adjudicator,high
API00-C,8,sqlite,ext/fts5/fts5_buffer.c,63,FP,API00 pBuf caller-owned struct,b14-adjudicator,high
EXP34-C,9,sqlite,ext/fts5/fts5_buffer.c,72,FP,pData only deref'd when nData!=0 and memcpy contract; callers pass valid ptr with nonzero len,b14-adjudicator,med
INT32-C,10,sqlite,ext/fts5/fts5_buffer.c,73,FP,n is buffer index pre-grown by fts5BufferGrow to fit nData; bounded,b14-adjudicator,med
API00-C,11,sqlite,ext/fts5/fts5_buffer.c,82,FP,API00 pRc internal contract,b14-adjudicator,high
API00-C,12,sqlite,ext/fts5/fts5_buffer.c,82,FP,API00 pBuf caller-owned,b14-adjudicator,high
API00-C,13,sqlite,ext/fts5/fts5_buffer.c,82,FP,zStr strlen'd; caller passes non-null nul-terminated string contract,b14-adjudicator,med
STR34-C,14,sqlite,ext/fts5/fts5_buffer.c,87,FP,STR34 zStr cast for blob copy not char-to-int promotion; no sign extension issue,b14-adjudicator,high
INT32-C,15,sqlite,ext/fts5/fts5_buffer.c,88,FP,nStr from strlen of in-memory string bounded well below INT_MAX in practice,b14-adjudicator,med
INT32-C,16,sqlite,ext/fts5/fts5_buffer.c,89,FP,n-- after appending nStr+1 net n>=0 invariant; decrement of buffer count never INT_MIN,b14-adjudicator,high
API00-C,17,sqlite,ext/fts5/fts5_buffer.c,100,FP,API00 pRc internal contract,b14-adjudicator,high
API00-C,18,sqlite,ext/fts5/fts5_buffer.c,121,FP,API00 pRc internal contract,b14-adjudicator,high
API00-C,19,sqlite,ext/fts5/fts5_buffer.c,139,FP,API00 pBuf caller-owned,b14-adjudicator,high
API00-C,20,sqlite,ext/fts5/fts5_buffer.c,148,FP,API00 pBuf caller-owned,b14-adjudicator,high
API00-C,21,sqlite,ext/fts5/fts5_buffer.c,157,FP,API00 pRc internal contract,b14-adjudicator,high
API00-C,22,sqlite,ext/fts5/fts5_buffer.c,157,FP,API00 pBuf caller-owned,b14-adjudicator,high
API00-C,23,sqlite,ext/fts5/fts5_buffer.c,157,FP,pData passed through to AppendBlob which guards on nData,b14-adjudicator,med
API00-C,24,sqlite,ext/fts5/fts5_buffer.c,167,FP,API00 pi caller-owned int contract,b14-adjudicator,high
API00-C,25,sqlite,ext/fts5/fts5_buffer.c,167,FP,API00 piOff caller-owned i64 contract,b14-adjudicator,high
EXP33-C,26,sqlite,ext/fts5/fts5_buffer.c,182,FP,iVal written by fts5FastGetVarint32 macro before any read; not uninitialized,b14-adjudicator,high
INT14-C,27,sqlite,ext/fts5/fts5_buffer.c,189,FP,INT14 iVal shift in poslist column decode is intentional; style noise,b14-adjudicator,high
INT14-C,28,sqlite,ext/fts5/fts5_buffer.c,197,FP,INT14 iOff bit/arith mix in poslist offset math intentional,b14-adjudicator,high
API00-C,29,sqlite,ext/fts5/fts5_buffer.c,212,FP,API00 pIter caller-owned iterator,b14-adjudicator,high
API00-C,30,sqlite,ext/fts5/fts5_buffer.c,219,FP,API00 a caller-owned poslist buffer,b14-adjudicator,high
API00-C,31,sqlite,ext/fts5/fts5_buffer.c,219,FP,API00 pIter caller-owned iterator,b14-adjudicator,high
ARR01-C,32,sqlite,ext/fts5/fts5_buffer.c,223,FP,sizeof(*pIter) on pointer is correct idiom memset of pointee struct not decayed array,b14-adjudicator,high
API00-C,33,sqlite,ext/fts5/fts5_buffer.c,236,FP,API00 pBuf caller-owned; doc states must be pre-sized,b14-adjudicator,high
API00-C,34,sqlite,ext/fts5/fts5_buffer.c,236,FP,API00 piPrev caller-owned i64,b14-adjudicator,high
INT14-C,35,sqlite,ext/fts5/fts5_buffer.c,243,FP,INT14 iPos shift in varint encode intentional,b14-adjudicator,high
INT14-C,36,sqlite,ext/fts5/fts5_buffer.c,243,FP,INT14 piPrev mask/arith in encode intentional,b14-adjudicator,high
