rule,file,line,verdict,confidence,reason
MSC37-C,lib/curl_get_line.c,35,FP,high,Infinite loop always returns from inside; no fallthrough to end of function.
ERR33-C,lib/curl_get_line.c,42,FP,high,fgets return checked via 'b ? strlen(b) : 0' and feof handling.
ERR00-C,lib/curl_get_line.c,42,FP,high,NULL return handled; eof tracked separately. Idiomatic line reader.
FIO20-C,lib/curl_get_line.c,42,FP,high,Truncation handled: loops to append until newline or EOF.
EXP34-C,lib/curl_get_line.c,56,FP,high,b[rlen-1] guarded by 'rlen &&'; b is dyn buffer ptr.
PRE00-C,lib/curl_sasl.h,131,FP,high,sasl_mech_equal is standard predicate macro; multiple-eval advisory only.
PRE12-C,lib/curl_sasl.h,131,FP,high,wordlen multiple-eval on side-effect-free arg; idiomatic macro.
API02-C,lib/curl_sasl.h,136,FP,high,maxlen already bounds ptr; advisory size-param noise.
API05-C,lib/curl_sasl.h,136,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/curl_sasl.h,141,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/curlx/strparse.h,46,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/curlx/strparse.h,53,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/curlx/strparse.h,57,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/curlx/strparse.h,62,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/curlx/strparse.h,67,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API01-C,lib/doh.h,85,FP,med,"Fixed DNS req buffer in internal struct; bounds-checked encoder, not overflowable string."
API02-C,lib/doh.h,162,FP,high,olen already bounds output; advisory size-param noise.
API05-C,lib/doh.h,162,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/doh.h,164,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/doh.h,167,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API02-C,lib/escape.h,35,FP,high,length param already bounds string; advisory size-param noise.
API05-C,lib/escape.h,35,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/escape.h,36,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/escape.h,39,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/escape.h,40,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API00-C,lib/hostip6.c,65,FP,high,Internal resolver; data always valid handle from callers. Not exported NULL-deref risk.
API00-C,lib/hostip6.c,65,FP,high,hostname always supplied by internal callers; not user-facing entrypoint.
EXP20-C,lib/hostip6.c,95,FP,high,inet_pton documented to return exactly 1 on success; '==1' is correct idiom.
EXP20-C,lib/hostip6.c,96,FP,high,inet_pton documented to return exactly 1 on success; '==1' is correct idiom.
DCL30-C,lib/hostip6.c,117,FP,high,"res is a pointer to heap addrinfo from Curl_getaddrinfo_ex, not local auto storage."
