rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,1,sqlite,src/attach.c,52,FP,sqlite3DbIsNamed is internal; callers iterate i<db->nDb so db/iDb valid by contract not a trust boundary,b14-adjudicator,high
DCL13-C,2,sqlite,src/attach.c,52,TP,db param only read via db->aDb[iDb] never written so const sqlite3* would compile but signature convention-bound,b14-adjudicator,med
ARR00-C,3,sqlite,src/attach.c,54,FP,iDb bounded by callers (loops i<db->nDb); internal invariant guarantees valid index,b14-adjudicator,high
ARR30-C,4,sqlite,src/attach.c,54,FP,same as idx3 iDb is caller-validated against db->nDb not unvalidated,b14-adjudicator,high
DCL13-C,5,sqlite,src/attach.c,77,FP,"argv fixed by SQLite UDF callback signature (xSFunc), cannot be made const",b14-adjudicator,high
PRE01-C,6,sqlite,src/attach.c,99,FP,"REOPEN_AS_MEMDB(db) expands to (db->init.reopenMemdb), db only used in member-access so parenthesization irrelevant",b14-adjudicator,high
EXP34-C,7,sqlite,src/attach.c,113,FP,pNewBt set non-null by successful sqlite3BtreeOpen under rc==SQLITE_OK guard at line 112,b14-adjudicator,high
EXP34-C,8,sqlite,src/attach.c,118,FP,"db is the connection handle, non-null by UDF contract (sqlite3_context_db_handle)",b14-adjudicator,high
INT30-C,9,sqlite,src/attach.c,155,FP,"sizeof(Db)*3 compile-time small constant, no runtime overflow",b14-adjudicator,high
ARR38-C,10,sqlite,src/attach.c,157,FP,"memcpy size sizeof(Db)*2 compile-time constant, aNew freshly allocated for *3",b14-adjudicator,high
INT30-C,11,sqlite,src/attach.c,157,FP,sizeof(Db)*2 compile-time constant cannot overflow,b14-adjudicator,high
INT32-C,12,sqlite,src/attach.c,157,FP,"sizeof(Db)*2 compile-time constant, no overflow",b14-adjudicator,high
INT30-C,13,sqlite,src/attach.c,159,FP,"nDb bounded by SQLITE_LIMIT_ATTACHED+2 (~127), i64 math cannot wrap",b14-adjudicator,high
INT32-C,14,sqlite,src/attach.c,159,FP,"nDb capped at line 137 well below INT_MAX, 1+(i64)db->nDb cannot overflow",b14-adjudicator,high
MEM30-C,15,sqlite,src/attach.c,159,FP,"db not freed; sqlite3DbRealloc returns aNew, db handle reused not freed",b14-adjudicator,high
MEM30-C,16,sqlite,src/attach.c,159,FP,db handle reused after realloc of db->aDb; db itself never freed,b14-adjudicator,high
