rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR02-C,1,sqlite,src/tokenize.c,61,TP,aiClass[] declared with implicit bounds; factual ARR02 style finding,b15-adjudicator,med
PRE01-C,2,sqlite,src/tokenize.c,112,TP,charMap(X) macro param X unparenthesized in (unsigned char)X index; factual PRE01,b15-adjudicator,med
PRE01-C,3,sqlite,src/tokenize.c,115,TP,ebcdicToAscii macro charMap(X) param X unparenthesized; factual PRE01,b15-adjudicator,med
ARR02-C,4,sqlite,src/tokenize.c,116,TP,ebcdicToAscii[] declared with implicit bounds; factual ARR02 style finding,b15-adjudicator,med
PRE01-C,5,sqlite,src/tokenize.c,168,TP,IdChar(C) param C unparenthesized in array index; factual PRE01,b15-adjudicator,med
ARR02-C,6,sqlite,src/tokenize.c,171,TP,sqlite3IsEbcdicIdChar[] declared with implicit bounds; factual ARR02 style finding,b15-adjudicator,med
DCL30-C,7,sqlite,src/tokenize.c,212,FP,z points into caller-owned NUL-terminated SQL buffer not a local; storing it via *pz is the documented contract,b15-adjudicator,high
CON43-C,8,sqlite,src/tokenize.c,276,FP,aiClass[*z] is a single fetch in a single-threaded tokenizer; no double-fetch concurrency hazard,b15-adjudicator,high
EXP30-C,9,sqlite,src/tokenize.c,291,FP,(c=z[i])!=0 assigns then compares across != operator; well-defined no sequence-point violation,b15-adjudicator,high
INT32-C,10,sqlite,src/tokenize.c,296,FP,2+(z[2]=='>') adds a 0/1 bool to constant 2; cannot overflow,b15-adjudicator,high
EXP30-C,11,sqlite,src/tokenize.c,326,FP,c=z[i] inside && / || guarded loop condition has sequence points; well-defined,b15-adjudicator,high
INT32-C,12,sqlite,src/tokenize.c,327,FP,i is i64 index into SQL bounded by SQLITE_LIMIT_SQL_LENGTH (<2^31); cannot wrap,b15-adjudicator,high
INT32-C,13,sqlite,src/tokenize.c,337,FP,1+(z[1]=='=') adds 0/1 bool to constant 1; cannot overflow,b15-adjudicator,high
INT32-C,14,sqlite,src/tokenize.c,412,FP,i is i64 token offset bounded by SQL length limit; i+1 cannot overflow,b15-adjudicator,high
INT32-C,15,sqlite,src/tokenize.c,415,FP,i is i64 token offset bounded by SQL length limit; i+1 cannot overflow,b15-adjudicator,high
INT32-C,16,sqlite,src/tokenize.c,476,FP,i is i64 bounded by SQL length limit; i+1 cannot overflow,b15-adjudicator,high
INT32-C,17,sqlite,src/tokenize.c,477,FP,i is i64 bounded by SQL length limit; i+2 cannot overflow,b15-adjudicator,high
INT32-C,18,sqlite,src/tokenize.c,481,FP,i is i64 bounded by SQL length limit; i+=2 cannot overflow,b15-adjudicator,high
INT32-C,19,sqlite,src/tokenize.c,495,FP,i is i64 bounded by SQL length limit; i++ cannot reach INT_MAX,b15-adjudicator,high
EXP30-C,20,sqlite,src/tokenize.c,500,FP,c=z[0]/z[i] in []-quote loop condition with sequence points; well-defined,b15-adjudicator,high
EXP30-C,21,sqlite,src/tokenize.c,522,FP,c=z[i] in do-while condition with sequence point; well-defined,b15-adjudicator,high
EXP30-C,22,sqlite,src/tokenize.c,522,FP,c=z[i] guarded by && operators providing sequence points; well-defined,b15-adjudicator,high
