rule,project,file,line,verdict,reason,provenance,confidence
EXP34-C,pureftpd,src/log_mysql.c,496,FP,escaped_peer_ip is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
EXP34-C,pureftpd,src/log_pgsql.c,291,FP,escaped_pw is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
EXP34-C,pureftpd,src/log_pgsql.c,596,FP,escaped_account is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
EXP34-C,pureftpd,src/log_mysql.c,555,FP,escaped_port is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
EXP34-C,pureftpd,src/log_pgsql.c,478,FP,escaped_account is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
EXP34-C,pureftpd,src/log_pgsql.c,573,FP,escaped_port is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
EXP34-C,pureftpd,src/log_pgsql.c,473,FP,escaped_decimal_ip is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
EXP34-C,pureftpd,src/log_mysql.c,495,FP,escaped_ip is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
EXP34-C,pureftpd,src/log_mysql.c,531,FP,escaped_port is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
EXP34-C,pureftpd,src/log_mysql.c,543,FP,escaped_account is assigned from the escape helper with an immediate NULL check right after assignment (either its own 'if ((X = escape(...)) == NULL) goto bye;' or as one leg of a short-circuited '||' chain of such checks) before any use further down the function; this call site is only reached with a non-NULL value.,delta_exp34_task598,high
