rule,idx,project,file,line,verdict,reason,provenance,confidence
API05-C,0,sqlite,ext/fts3/fts3_snippet.c,135,FP,zMatchinfo is a string pointer not an array; conformant-array-syntax suggestion is a stylistic misfire,,high
INT30-C,1,sqlite,ext/fts3/fts3_snippet.c,137,FP,"nByte computed in sqlite3_int64 with explicit (sqlite3_int64) cast on nElem; nElem bounded by matchinfo size (cols*phrases), no wrap",,high
INT31-C,2,sqlite,ext/fts3/fts3_snippet.c,137,FP,"nElem is size_t param but values are small matchinfo counts; cast (int)nElem only at 145/146, here it stays 64-bit",,high
INT32-C,3,sqlite,ext/fts3/fts3_snippet.c,137,FP,"computed in sqlite3_int64 (2*(sqlite3_int64)nElem+1); nElem bounded by matchinfo sizes, no 32-bit overflow",,high
INT32-C,4,sqlite,ext/fts3/fts3_snippet.c,137,FP,"multiplication promoted to sqlite3_int64; nElem bounded, allocation guards size",,high
STR34-C,5,sqlite,ext/fts3/fts3_snippet.c,139,FP,strlen(zMatchinfo) takes char* and returns size_t; no per-char value widening,,high
INT32-C,6,sqlite,ext/fts3/fts3_snippet.c,141,FP,"nByte/nStr are sqlite3_int64; addition for MallocZero is 64-bit, no overflow",,high
INT32-C,7,sqlite,ext/fts3/fts3_snippet.c,141,FP,64-bit nByte+nStr; allocation size computed in int64,,high
INT30-C,8,sqlite,ext/fts3/fts3_snippet.c,144,FP,"index 1+nElem into aMI[]; nElem small bounded count, not an arithmetic wrap with consequence",,high
INT30-C,9,sqlite,ext/fts3/fts3_snippet.c,145,FP,"sizeof(u32)*((int)nElem+1) added to 64-bit aMI[0]; nElem small, no wrap",,high
INT31-C,10,sqlite,ext/fts3/fts3_snippet.c,145,FP,"(int)nElem truncation of size_t; nElem is sum of fts3MatchinfoSize values, realistically small; no demonstrated overflow",,med
INT32-C,11,sqlite,ext/fts3/fts3_snippet.c,145,FP,(int)nElem+1 where nElem already used to size successful allocation; bounded by nMatchinfo,,med
INT31-C,12,sqlite,ext/fts3/fts3_snippet.c,146,FP,"pRet->nElem=(int)nElem; same bounded matchinfo count, stored as int as designed",,med
INT32-C,13,sqlite,ext/fts3/fts3_snippet.c,147,FP,pointer arithmetic ((char*)pRet)+nByte misclassified as integer overflow,,high
ARR38-C,14,sqlite,ext/fts3/fts3_snippet.c,148,FP,"memcpy nStr+1 into zMatchinfo; buffer sized nByte+nStr+1, bounded by strlen",,high
INT31-C,15,sqlite,ext/fts3/fts3_snippet.c,148,FP,nStr=strlen(zMatchinfo) of user format string (tiny); memcpy size benign,,high
INT32-C,16,sqlite,ext/fts3/fts3_snippet.c,148,FP,"nStr=strlen(zMatchinfo) is size_t/int64; nStr+1 memcpy of just-allocated buffer, no overflow",,high
DCL30-C,17,sqlite,ext/fts3/fts3_snippet.c,152,FP,"pRet is a heap pointer from sqlite3Fts3MallocZero, not automatic storage",,high
DCL13-C,18,sqlite,ext/fts3/fts3_snippet.c,155,FP,p is a void* callback param interchanged with sqlite3_free; const would break the void(*)(void*) signature,,med
WIN04-C,19,sqlite,ext/fts3/fts3_snippet.c,173,FP,ordinary destructor function-pointer store; EncodePointer hardening irrelevant,,high
INT32-C,20,sqlite,ext/fts3/fts3_snippet.c,183,FP,p->nElem+2 indexes buffer already allocated with that many slots; bounded,,high
INT30-C,21,sqlite,ext/fts3/fts3_snippet.c,186,FP,"p->nElem*sizeof(u32) for malloc64; nElem small int count, sqlite3_malloc64 is 64-bit",,high
ARR38-C,22,sqlite,ext/fts3/fts3_snippet.c,189,FP,copies p->nElem*sizeof(u32) into aOut malloc'd same size; bounded,,high
INT30-C,23,sqlite,ext/fts3/fts3_snippet.c,189,FP,"memcpy size p->nElem*sizeof(u32); same bounded nElem, mirrors allocation",,high
INT32-C,24,sqlite,ext/fts3/fts3_snippet.c,189,FP,p->nElem*sizeof(u32): sizeof is size_t so computed in size_t; copies just-allocated region,,high
DCL30-C,25,sqlite,ext/fts3/fts3_snippet.c,193,FP,"*paOut=aOut writes a pointer VALUE (heap or caller struct) out, not the address of a local",,high
ARR38-C,26,sqlite,ext/fts3/fts3_snippet.c,199,FP,copies nElem u32 into &aMI[2+nElem] from &aMI[1]; both within allocation,,high
EXP43-C,27,sqlite,ext/fts3/fts3_snippet.c,199,FP,"src &aMI[1] and dst &aMI[2+nElem] are disjoint regions in same array, no overlap",,high
INT30-C,28,sqlite,ext/fts3/fts3_snippet.c,199,FP,"memcpy size p->nElem*sizeof(u32); bounded, matches allocated buffer",,high
INT32-C,29,sqlite,ext/fts3/fts3_snippet.c,199,FP,p->nElem*sizeof(u32) size_t arithmetic; memcpy within allocated buffer,,high
INT32-C,30,sqlite,ext/fts3/fts3_snippet.c,199,FP,2+p->nElem indexes within allocated MatchinfoBuffer; bounded,,high
API00-C,31,sqlite,ext/fts3/fts3_snippet.c,205,FP,sqlite3Fts3MIBufferFree validates with if(p) and is internal API,,high
STR34-C,32,sqlite,ext/fts3/fts3_snippet.c,242,FP,*pp is a char* lvalue incremented by an int; no char value sign-extension,,high
INT32-C,33,sqlite,ext/fts3/fts3_snippet.c,243,FP,"iVal from fts3GetVarint32 (max ~2^32 truncated to int); iVal-2 well-defined delta, accumulated into i64 piPos; benign",,high
MEM05-C,34,sqlite,ext/fts3/fts3_snippet.c,249,FP,fts3ExprIterate2 recurses on query expr tree; depth bounded by parser limits,,high
MSC04-C,35,sqlite,ext/fts3/fts3_snippet.c,249,TP,fts3ExprIterate2 genuinely recurses directly over the expression tree,,high
API00-C,36,sqlite,ext/fts3/fts3_snippet.c,281,FP,"sqlite3Fts3ExprIterate is internal FTS3 API, not an untrusted public entrypoint (pExpr)",,high
API00-C,37,sqlite,ext/fts3/fts3_snippet.c,281,FP,internal API; x is a trusted callback pointer set by FTS3 code,,high
API00-C,38,sqlite,ext/fts3/fts3_snippet.c,281,FP,internal API; pCtx is a trusted caller-owned context,,high
