rule,project,file,line,verdict,reason,provenance,confidence
MEM31-C,sqlite,ext/fts3/fts3.c,3006,FP,"'zRoot' is the direct return of sqlite3_column_blob() (src/vdbeapi.c: const void *sqlite3_column_blob(...)), a borrowed pointer into the statement's result register, valid only until next step/reset/finalize/column-type-change. Caller never owns it and must not free it; verified read-only use (memcpy'd into a real malloc'd buffer, or passed as const) at ext/fts3/fts3.c:3006.",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3.c,3031,FP,"'zRoot' is the direct return of sqlite3_column_blob() (src/vdbeapi.c: const void *sqlite3_column_blob(...)), a borrowed pointer into the statement's result register, valid only until next step/reset/finalize/column-type-change. Caller never owns it and must not free it; verified read-only use (memcpy'd into a real malloc'd buffer, or passed as const) at ext/fts3/fts3.c:3031.",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3.c,4230,FP,"'fts3TermSegReaderCursor' is declared to return plain int (a status/result code), not a pointer -- verified its definition in the sqlite tree. The flagged local (commonly named 'rc') holds an SQLITE_* status code, not allocated memory; sqc misattributed it as an allocation because the callee name pattern-matches an allocator-sounding name. (ext/fts3/fts3.c:4230)",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3.c,4235,FP,"'fts3TermSegReaderCursor' is declared to return plain int (a status/result code), not a pointer -- verified its definition in the sqlite tree. The flagged local (commonly named 'rc') holds an SQLITE_* status code, not allocated memory; sqc misattributed it as an allocation because the callee name pattern-matches an allocator-sounding name. (ext/fts3/fts3.c:4235)",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3.c,5011,FP,"'a' is the direct return of sqlite3_column_blob() (src/vdbeapi.c: const void *sqlite3_column_blob(...)), a borrowed pointer into the statement's result register, valid only until next step/reset/finalize/column-type-change. Caller never owns it and must not free it; verified read-only use (memcpy'd into a real malloc'd buffer, or passed as const) at ext/fts3/fts3.c:5011.",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3.c,5022,FP,"'a' is the direct return of sqlite3_column_blob() (src/vdbeapi.c: const void *sqlite3_column_blob(...)), a borrowed pointer into the statement's result register, valid only until next step/reset/finalize/column-type-change. Caller never owns it and must not free it; verified read-only use (memcpy'd into a real malloc'd buffer, or passed as const) at ext/fts3/fts3.c:5022.",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3.c,5032,FP,"'a' is the direct return of sqlite3_column_blob() (src/vdbeapi.c: const void *sqlite3_column_blob(...)), a borrowed pointer into the statement's result register, valid only until next step/reset/finalize/column-type-change. Caller never owns it and must not free it; verified read-only use (memcpy'd into a real malloc'd buffer, or passed as const) at ext/fts3/fts3.c:5032.",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3_snippet.c,786,FP,"'fts3StringAppend' is declared to return plain int (a status/result code), not a pointer -- verified its definition in the sqlite tree. The flagged local (commonly named 'rc') holds an SQLITE_* status code, not allocated memory; sqc misattributed it as an allocation because the callee name pattern-matches an allocator-sounding name. (ext/fts3/fts3_snippet.c:786)",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3_snippet.c,805,FP,"'fts3StringAppend' is declared to return plain int (a status/result code), not a pointer -- verified its definition in the sqlite tree. The flagged local (commonly named 'rc') holds an SQLITE_* status code, not allocated memory; sqc misattributed it as an allocation because the callee name pattern-matches an allocator-sounding name. (ext/fts3/fts3_snippet.c:805)",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3_snippet.c,807,FP,"'fts3StringAppend' is declared to return plain int (a status/result code), not a pointer -- verified its definition in the sqlite tree. The flagged local (commonly named 'rc') holds an SQLITE_* status code, not allocated memory; sqc misattributed it as an allocation because the callee name pattern-matches an allocator-sounding name. (ext/fts3/fts3_snippet.c:807)",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3_snippet.c,1064,FP,"'a' is the direct return of sqlite3_column_blob() (src/vdbeapi.c: const void *sqlite3_column_blob(...)), a borrowed pointer into the statement's result register, valid only until next step/reset/finalize/column-type-change. Caller never owns it and must not free it; verified read-only use (memcpy'd into a real malloc'd buffer, or passed as const) at ext/fts3/fts3_snippet.c:1064.",delta_mem31_task420,high
MEM31-C,sqlite,ext/fts3/fts3_snippet.c,1071,FP,"'a' is the direct return of sqlite3_column_blob() (src/vdbeapi.c: const void *sqlite3_column_blob(...)), a borrowed pointer into the statement's result register, valid only until next step/reset/finalize/column-type-change. Caller never owns it and must not free it; verified read-only use (memcpy'd into a real malloc'd buffer, or passed as const) at ext/fts3/fts3_snippet.c:1071.",delta_mem31_task420,high
