rule,project,file,line,verdict,reason,provenance,confidence
API05-C,mosquitto,src/net.c,1075,FP,"C11 Annex K '[static N]' conformant array parameter syntax has zero real-world adoption on any prior oracle (established precedent); advisory-only, never a real defect.",delta_lt3_task550,high
ARR01-C,mosquitto,lib/net_mosq.c,252,FP,"sizeof is applied to mosq->sock (a struct field), not to the decayed pointer mosq itself; the checker misattributed the finding to the wrong operand.",delta_lt3_task550,high
DCL18-C,mosquitto,src/net.c,981,FP,"0007 is the standard, intentional octal umask() permission-mask idiom (rwx removed for 'other'); this is correct, conventional usage, not an accidental-octal bug.",delta_lt3_task550,high
ENV30-C,mosquitto,src/net.c,111,FP,"Inside an #ifdef WIN32 block (dead code on the Linux benchmark host); the checker also conflates two mutually-exclusive branches -- the LocalFree(buf) call frees a FormatMessage()-allocated buffer (its correct, documented Windows counterpart), never the #else branch's strerror() result.",delta_lt3_task550,high
EXP42-C,mosquitto,src/net.c,755,FP,"memcmp compares sin_addr fields (struct in_addr, a single 4-byte member with no padding) directly, sized via sizeof(struct in_addr); this is not a struct-with-padding comparison the rule targets.",delta_lt3_task550,high
EXP42-C,mosquitto,src/net.c,772,FP,"Same pattern as line 755 for sin6_addr (struct in6_addr, a fixed 16-byte array member with no padding).",delta_lt3_task550,high
PRE02-C,mosquitto,include/mosquitto/broker_plugin.h,137,FP,"MOSQUITTO_PLUGIN_DECLARE_VERSION's replacement list is an entire function DEFINITION, not an expression; the operator-precedence concern PRE02-C targets doesn't apply to a function-body macro.",delta_lt3_task550,high
PRE10-C,mosquitto,include/mosquitto/broker_plugin.h,137,FP,"Same macro as PRE02-C: it expands to a top-level function definition invoked at file scope, not a multi-statement block meant to be embedded as a single caller statement -- the do-while-wrap concern doesn't apply.",delta_lt3_task550,high
STR00-C,mosquitto,src/persist_read.c,41,FP,"All char-literal bytes in the mixed hex/char magic-number array ('m','o','s','q',...) are provably ASCII (<0x80), so no sign-extension risk exists; this is the standard binary-magic-header initializer idiom.",delta_lt3_task550,medium
STR05-C,mosquitto,include/mosquitto/libmosquittopp.h,56,FP,"'host=\localhost\""' is a C++ default-argument value on a declaration-only prototype parameter already typed 'const char *host'"," not an unqualified pointer variable assignment; same libmosquittopp.h C-rules-on-C++-header misparsing bug family as task 571.""",delta_lt3_task550,high
STR05-C,mosquitto,include/mosquitto/libmosquittopp.h,71,FP,Same pattern as line 56 (subscribe_callback's host default argument).,delta_lt3_task550,high
