rule,project,file,line,verdict,reason,provenance,confidence
API00-C,curl,lib/vtls/vtls.c,1900,FP,Curl_ssl_cf_is_proxy(cf) dereferences cf->cft but cf is the current cfilter in an internal chain-traversal API that is never called with a NULL filter across curl's cfilter subsystem.,delta_api00_int32_task546,medium
API00-C,curl,lib/vtls/vtls.c,1905,FP,"Curl_ssl_cf_get_config immediately calls Curl_ssl_cf_is_proxy(cf) under the same established internal invariant that cf is always a valid, non-NULL cfilter.",delta_api00_int32_task546,medium
API00-C,curl,lib/vtls/vtls.c,1916,FP,Curl_ssl_cf_get_primary_config dereferences cf->conn under the same cfilter-always-valid invariant used throughout vtls.c's internal cf API.,delta_api00_int32_task546,medium
API00-C,curl,lib/vtls/vtls.c,1927,FP,"spec is explicitly guarded in the loop condition 'for(i = 0; spec && i < spec->count; ++i)' before any dereference, so it is checked.",delta_api00_int32_task546,high
CON07-C,curl,lib/cf-socket.c,2206,FP,cf_is_socket only compares cf->cft against the static filter-type pointers with == in read-only equality checks; no write to Curl_cft_tcp/udp/unix/tcp_accept occurs anywhere so there is no compound RMW to race on.,delta_con07_task546,high
CON07-C,curl,lib/memdebug.c,149,FP,"curl_dbg_memdebug's check-then-set on dbg_mutex_init/registered_cleanup is a debug-build-only (CURLDEBUG) initializer invoked once from tool startup before any transfer threads exist, not a live concurrent-access surface.",delta_con07_task546,medium
CON07-C,curl,lib/memdebug.c,175,FP,"curl_dbg_memlimit's check-then-set on memlimit/memsize is the same debug-only single-call init path as curl_dbg_memdebug, exercised once at startup, not concurrently.",delta_con07_task546,medium
CON07-C,curl,src/tool_cb_dbg.c,128,FP,newl and traced_data are function-static bools used only inside the curl CLI's single-threaded debug callback (tool_debug_cb); the curl command-line tool does not run this callback from multiple threads.,delta_con07_task546,high
CON07-C,curl,src/tool_doswin.c,137,FP,"illegal_chars_dos and illegal_chars_w95 are static const arrays/pointer initialized once and only ever read (strchr-style scans elsewhere), never written, so there is no compound operation on them at all.",delta_con07_task546,high
CON07-C,curl,src/tool_setopt.c,180,FP,from and to in c_escape are static const char arrays used purely as read-only lookup tables; the checker misattributes read accesses as a compound write.,delta_con07_task546,high
INT32-C,curl,src/tool_filetime.c,111,FP,"filetime is explicitly capped to [-6857222400, 910670515199] a few lines above (lines 96-105, with comments stating this is 'to avoid overflow') before the '(filetime * 10000000) + 116444736000000000' computation, and the arithmetic itself is done in 64-bit curl_off_t.",delta_api00_int32_task546,high
MSC21-C,curl,lib/asyn-ares.c,600,FP,"for(ai=node; ai!=NULL; ai=ai->ai_next) is a linked-list pointer traversal to a NULL sentinel, not an arithmetic step that can skip a target.",delta_msc21_task546,high
MSC21-C,curl,lib/curl_addrinfo.c,116,FP,"for(ai=aihead; ai!=NULL; ai=ai->ai_next) is a linked-list pointer traversal to NULL, not a numeric-step skip risk.",delta_msc21_task546,high
MSC21-C,curl,lib/curl_addrinfo.c,570,FP,"for(ca=addrinfo; ca!=NULL; ca=ca->ai_next) is a linked-list pointer traversal to NULL, not a numeric-step skip risk.",delta_msc21_task546,high
MSC21-C,curl,lib/fake_addrinfo.c,67,FP,"for(ai=aihead->nodes; ai!=NULL; ai=ai->ai_next) is a linked-list pointer traversal to NULL, not a numeric-step skip risk.",delta_msc21_task546,high
MSC21-C,curl,lib/formdata.c,157,FP,for(; ptr!=NULL; ptr=ptr->more) walks a linked list to NULL; no arithmetic step exists to skip over.,delta_msc21_task546,high
MSC21-C,curl,lib/formdata.c,227,FP,for(form=first_form; form!=NULL; form=form->more) walks a linked list to NULL; no arithmetic step exists to skip over.,delta_msc21_task546,high
MSC21-C,curl,lib/if2ip.c,110,FP,for(iface=head; iface!=NULL; iface=iface->ifa_next) walks a linked list to NULL; no arithmetic step exists to skip over.,delta_msc21_task546,high
MSC21-C,curl,lib/openldap.c,1157,FP,"Same pattern as line 717 in this file: loop test/step are both the function call result (rc==LDAP_SUCCESS), not a numeric increment.",delta_msc21_task546,high
MSC21-C,curl,lib/openldap.c,717,FP,"for(rc=ldap_get_attribute_ber(...); rc==LDAP_SUCCESS; rc=ldap_get_attribute_ber(...)) is driven entirely by the function's return code each iteration, not by any numeric step, so there is no target to be skipped.",delta_msc21_task546,high
