rule,project,file,line,verdict,reason,provenance,confidence
ARR30-C,lua,lapi.c,560,FP,"This is the public C API function lua_pushexternalstring's own contract-check line (api_check), verifying the caller-supplied buffer/len pair matches its documented precondition -- the same pattern as every other embedder-trust-boundary API_check in lapi.c, not an internal unguarded access.",delta_arr30_task537,medium
ARR30-C,lua,ldebug.c,493,FP,"kname() indexes p->k[index] with an index decoded from the Proto's own already-generated bytecode operand (GETARG_C), which for compiler-produced chunks is guaranteed in range by construction and for loaded precompiled chunks falls under Lua's documented (accepted) unsafe-bytecode-loading threat model, not a fresh unguarded access.",delta_arr30_task537,medium
ARR30-C,lua,ldebug.c,618,FP,"funcnamefromcode() indexes p->code[pc] with a pc derived from the currently-executing call's saved program counter (an offset already valid within that Proto's code array), matching the same trusted-bytecode invariant as other ldebug.c debug-info walkers.",delta_arr30_task537,medium
ARR30-C,lua,lfunc.c,40,FP,"luaF_newLclosure allocates the closure via sizeLclosure(nupvals), sized exactly for 'nupvals' upvalue slots, and the loop `while (nupvals--) c->upvals[nupvals] = NULL;` walks indices 0..nupvals-1 which are all within that same allocation -- size and index derive from the identical parameter.",delta_arr30_task537,high
ARR30-C,lua,lstring.c,185,FP,"luaS_createlngstrobj allocates totalsize = luaS_sizelngstr(l, LSTRREG) = offsetof(TString, falloc) + (l+1)*sizeof(char), and contents is set to that same offset, so contents[l] (line 185) is the (l+1)-th byte of the block sized for exactly l+1 content bytes -- size and index match exactly.",delta_arr30_task537,high
ARR30-C,lua,lstrlib.c,1626,FP,"The flagged `while (*fmt != '\\0')` in str_pack is a standard NUL-terminated string scan over the user's format string, not an unbounded pointer walk over a fixed buffer; the inner alignment loop `while (ntoalign-- > 0) luaL_addchar(&b, ...)` writes into a self-growing luaL_Buffer (via luaL_prepbuffsize), not a fixed-size array, so there is no fixed bound to overrun.",delta_arr30_task537,high
ARR30-C,lua,lstrlib.c,400,FP,"capture_to_close's loop reads ms->capture[level] for level starting at ms->level-1 and counting down; ms->level is only ever incremented in start_capture after an explicit `if (level >= LUA_MAXCAPTURES) luaL_error(...)` guard (line 540), so level is always < LUA_MAXCAPTURES (32), the size of the 'capture' array.",delta_arr30_task537,high
ARR30-C,lua,lstrlib.c,541,FP,"start_capture writes ms->capture[level] immediately after the guard `if (level >= LUA_MAXCAPTURES) luaL_error(ms->L, ""too many captures"");` on the line directly above (line 540), so level is bounds-checked against the 32-slot capture array before use.",delta_arr30_task537,high
ARR30-C,lua,lstrlib.c,542,FP,Same start_capture write as line 541: level is validated against LUA_MAXCAPTURES (32) by the preceding luaL_error guard before ms->capture[level] is written.,delta_arr30_task537,high
ARR30-C,lua,lstrlib.c,554,FP,"end_capture uses l = capture_to_close(ms), which either returns an index found within the already-bounded 0..ms->level-1 range (itself capped at LUA_MAXCAPTURES=32 by start_capture's guard) or calls luaL_error (longjmp, never returns) -- l is never used unbounded.",delta_arr30_task537,high
ARR30-C,lua,lstrlib.c,556,FP,"end_capture's undo path `ms->capture[l].len = CAP_UNFINISHED;` reuses the same 'l' from capture_to_close validated earlier in the same function, which is bounded below LUA_MAXCAPTURES.",delta_arr30_task537,high
ARR30-C,lua,lstrlib.c,564,FP,"match_capture reads ms->capture[l].len only after `l = check_capture(ms, l);` on the line above, and check_capture explicitly rejects (via luaL_error) any l < 0 or l >= ms->level, so l is bounds-validated before this access.",delta_arr30_task537,high
ARR30-C,lua,lstrlib.c,566,FP,"memcmp(ms->capture[l].init, s, len) uses the same check_capture-validated 'l' as line 564 within the same function body, already bounds-checked against ms->level.",delta_arr30_task537,high
ARR30-C,lua,ltm.c,83,FP,"G(L)->tmname[event] indexes a fixed TM_N-sized array of tag-method name interned strings using 'event', a TMS enum value that callers pass as one of the compile-time-fixed TM_* constants (e.g. TM_INDEX), never an attacker-controlled integer.",delta_arr30_task537,high
