rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL37-C,0,sqlite,src/sqliteInt.h,91,FP,_LARGE_FILE is a POSIX/glibc feature-test macro defining it is the sanctioned mechanism DCL37-C-EX2 exception,,high
DCL37-C,1,sqlite,src/sqliteInt.h,93,FP,_FILE_OFFSET_BITS is a feature-test macro app is required to define before system headers DCL37 EX2,,high
DCL37-C,2,sqlite,src/sqliteInt.h,95,FP,_LARGEFILE_SOURCE is a feature-test macro sanctioned to be defined by the application DCL37 EX2,,high
DCL37-C,3,sqlite,src/sqliteInt.h,136,FP,_GNU_SOURCE is a glibc feature-test macro whose purpose is to be defined by the app DCL37 EX2,,high
DCL37-C,4,sqlite,src/sqliteInt.h,140,FP,_BSD_SOURCE is a feature-test macro defined under OpenBSD guard DCL37 EX2,,high
PRE11-C,5,sqlite,src/sqliteInt.h,148,FP,trailing semicolon is required so __attribute__((fallthrough)) forms a statement and callers never add their own consistent with empty fallback def,,med
DCL37-C,6,sqlite,src/sqliteInt.h,184,FP,_USE_32BIT_TIME_T is a MinGW/MSVCRT feature-test macro defined under guard DCL37 EX2,,high
DCL37-C,7,sqlite,src/sqliteInt.h,234,FP,__has_extension is the standard guarded compatibility shim for non-clang only defines when undefined no conflict,,med
PRE01-C,8,sqlite,src/sqliteInt.h,279,TP,SQLITE_INT_TO_PTR(X) uses X unparenthesized in subscript ((char*)0)[X] genuine PRE01 unparenthesized expr param,,low
DCL37-C,9,sqlite,src/sqliteInt.h,436,FP,_XOPEN_SOURCE is a POSIX feature-test macro defined under guard DCL37 EX2,,high
PRE10-C,10,sqlite,src/sqliteInt.h,481,TP,testcase(X) expands to a bare if(X){...} statement not wrapped against dangling-else when used without braces,,low
PRE01-C,11,sqlite,src/sqliteInt.h,492,FP,TESTONLY(X)=X is a declaration/statement passthrough cannot be parenthesized without breaking declaration use,,high
PRE01-C,12,sqlite,src/sqliteInt.h,506,FP,VVA_ONLY(X)=X is a declaration/statement passthrough parenthesizing would break declaration use,,high
PRE01-C,13,sqlite,src/sqliteInt.h,581,FP,OSTRACE(X) X is a parenthesized printf-style arg list passed to sqlite3DebugPrintf X cannot be parenthesized,,high
PRE00-C,14,sqlite,src/sqliteInt.h,651,FP,"memcpy(D,S,N) each of D S N used exactly once no multiple evaluation occurs",,high
PRE10-C,15,sqlite,src/sqliteInt.h,651,TP,inline memcpy macro is a brace statement block not do-while wrapped dangling-semicolon hazard genuine PRE10,,med
PRE00-C,16,sqlite,src/sqliteInt.h,662,TP,fabs(X) ((X)<0?-(X):(X)) evaluates X three times genuine multi-eval macro,,med
PRE12-C,17,sqlite,src/sqliteInt.h,662,TP,fabs(X) evaluates parameter X multiple times genuine PRE12,,med
PRE01-C,18,sqlite,src/sqliteInt.h,768,FP,"offsetof(ST,M) ST is a type name in (ST*)0 cast cannot be parenthesized",,high
PRE01-C,19,sqlite,src/sqliteInt.h,768,FP,"offsetof(ST,M) M is a member name in ->M cannot be parenthesized",,high
PRE00-C,20,sqlite,src/sqliteInt.h,785,TP,"MIN(A,B) evaluates A and B twice each genuine multi-eval",,med
PRE12-C,21,sqlite,src/sqliteInt.h,785,TP,"MIN(A,B) evaluates A multiple times genuine PRE12",,med
