rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,1,sqlite,ext/rbu/rbu.c,25,FP,"zArgv0 is argv[0] from CLI entry passed to fprintf %s, never null in practice and not a trust boundary",b15-adjudicator,high
DCL15-C,2,sqlite,ext/rbu/rbu.c,25,TP,"usage() has external linkage but is only used in this file, should be static",b15-adjudicator,high
DCL19-C,3,sqlite,ext/rbu/rbu.c,25,TP,"same as idx2, usage() should be static to minimize scope",b15-adjudicator,high
PRE32-C,4,sqlite,ext/rbu/rbu.c,26,FP,"fprintf args are adjacent string-literal continuations with no # token, classic PRE32 misfire",b15-adjudicator,high
PRE32-C,5,sqlite,ext/rbu/rbu.c,27,FP,"same multi-line string literal, no preprocessor directive present",b15-adjudicator,high
EXP34-C,6,sqlite,ext/rbu/rbu.c,53,FP,"zArgv0 is argv[0], never null when argc>=1 which is always true at program entry",b15-adjudicator,high
ERR05-C,7,sqlite,ext/rbu/rbu.c,54,FP,"usage() is application-level CLI code where exit(1) is the intended termination, not app-independent library code",b15-adjudicator,med
DCL15-C,8,sqlite,ext/rbu/rbu.c,57,TP,"report_default_vfs() only used in this file, should be static",b15-adjudicator,high
DCL19-C,9,sqlite,ext/rbu/rbu.c,57,TP,same as idx8,b15-adjudicator,high
API00-C,10,sqlite,ext/rbu/rbu.c,62,FP,"pRbu passed to sqlite3rbu_db which tolerates the value, internal helper contract not a trust boundary",b15-adjudicator,high
DCL15-C,11,sqlite,ext/rbu/rbu.c,62,TP,"report_rbu_vfs() only used in this file, should be static",b15-adjudicator,high
DCL19-C,12,sqlite,ext/rbu/rbu.c,62,TP,same as idx11,b15-adjudicator,high
DCL11-C,13,sqlite,ext/rbu/rbu.c,68,FP,"zName is guarded by if(zName) at line 67 before the %s use at line 68, never null",b15-adjudicator,high
API00-C,14,sqlite,ext/rbu/rbu.c,76,FP,"argv is the program entry parameter, not a validatable trust boundary",b15-adjudicator,high
API00-C,15,sqlite,ext/rbu/rbu.c,76,FP,"argc is program entry, no attacker-controlled overflow; later arithmetic guarded by argc<3 check",b15-adjudicator,high
INT32-C,16,sqlite,ext/rbu/rbu.c,89,FP,nArgc=argc-2 computed before but argc>=1 at entry so no signed overflow possible,b15-adjudicator,high
STR34-C,17,sqlite,ext/rbu/rbu.c,94,FP,"nArg=strlen(zArg) is size_t-to-int, no char sign-extension into a larger int occurs here",b15-adjudicator,high
INT31-C,18,sqlite,ext/rbu/rbu.c,95,FP,"nArg is strlen result guarded nArg>1 so positive, safe size_t conversion in memcmp",b15-adjudicator,high
INT31-C,19,sqlite,ext/rbu/rbu.c,98,FP,"same, nArg>1 guarded positive",b15-adjudicator,high
INT31-C,20,sqlite,ext/rbu/rbu.c,101,FP,"same, nArg>1 guarded positive",b15-adjudicator,high
ERR07-C,21,sqlite,ext/rbu/rbu.c,103,TP,"atoi at line 103 lacks error detection per ERR07, strtol family preferred",b15-adjudicator,med
ERR34-C,22,sqlite,ext/rbu/rbu.c,103,TP,atoi at line 103 lacks error detection per ERR34,b15-adjudicator,med
INT31-C,23,sqlite,ext/rbu/rbu.c,105,FP,"nArg>1 guarded positive, safe size_t conversion",b15-adjudicator,high
ERR07-C,24,sqlite,ext/rbu/rbu.c,108,TP,atoi at line 108 lacks error detection per ERR07,b15-adjudicator,med
ERR34-C,25,sqlite,ext/rbu/rbu.c,108,TP,atoi at line 108 lacks error detection per ERR34,b15-adjudicator,med
INT32-C,26,sqlite,ext/rbu/rbu.c,114,FP,"argc>=3 guaranteed by usage()/exit at line 91, argc-2 cannot overflow",b15-adjudicator,high
INT32-C,27,sqlite,ext/rbu/rbu.c,115,FP,"argc>=3 guaranteed, argc-1 cannot overflow",b15-adjudicator,high
