rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR02-C,0,sqlite,src/utf.c,52,FP,sqlite3Utf8Trans1 is initialized with 64 explicit entries so the array bound is fixed by the initializer; implicit-size aggregate with full initializer is well-defined and intentional,,high
PRE00-C,1,sqlite,src/utf.c,64,TP,WRITE_UTF8 expands zOut multiple times via repeated *zOut++ so the macro evaluates its zOut argument many times; genuine PRE00 macro-hygiene issue,,high
PRE01-C,2,sqlite,src/utf.c,64,FP,zOut appears only as the lvalue *zOut++ where parenthesization cannot change precedence; SQLite idiom relies on a bare pointer lvalue not an expression,,high
PRE01-C,3,sqlite,src/utf.c,64,TP,c is used in unparenthesized subexpressions like c>>6 and c&0x3F inside the replacement; passing a comma/additive expression as c could misparse so PRE01 applies,,med
PRE02-C,4,sqlite,src/utf.c,64,FP,WRITE_UTF8 expands to a brace-enclosed statement block not a value expression so wrapping the replacement list in parentheses is inapplicable,,high
PRE10-C,5,sqlite,src/utf.c,64,TP,WRITE_UTF8 is a multi-statement brace block not wrapped in do-while so use as an unbraced if body would break; genuine PRE10,,high
PRE12-C,6,sqlite,src/utf.c,64,TP,zOut is incremented multiple times by the macro body so it is evaluated multiple times; PRE12 holds,,high
PRE00-C,7,sqlite,src/utf.c,84,TP,WRITE_UTF16LE increments zOut multiple times so its argument is evaluated multiple times; genuine PRE00,,high
PRE01-C,8,sqlite,src/utf.c,84,FP,zOut appears only as the *zOut++ lvalue; parenthesization cannot alter precedence for a bare pointer lvalue,,high
PRE01-C,9,sqlite,src/utf.c,84,TP,"c is used in unparenthesized subexpressions (c>>8, c-0x10000) so an argument expression could misparse; PRE01 applies",,med
PRE02-C,10,sqlite,src/utf.c,84,FP,replacement is a brace statement block not an expression so parenthesizing the list is inapplicable,,high
PRE10-C,11,sqlite,src/utf.c,84,TP,multi-statement brace block not wrapped in do-while; PRE10 holds,,high
PRE12-C,12,sqlite,src/utf.c,84,TP,zOut incremented multiple times; PRE12 holds,,high
PRE00-C,13,sqlite,src/utf.c,96,TP,WRITE_UTF16BE increments zOut multiple times; genuine PRE00,,high
PRE01-C,14,sqlite,src/utf.c,96,FP,zOut used only as *zOut++ lvalue; parenthesization irrelevant,,high
PRE01-C,15,sqlite,src/utf.c,96,TP,c used in unparenthesized subexpressions; PRE01 applies,,med
PRE02-C,16,sqlite,src/utf.c,96,FP,brace statement block not an expression; parenthesizing inapplicable,,high
PRE10-C,17,sqlite,src/utf.c,96,TP,multi-statement brace block not wrapped in do-while; PRE10 holds,,high
PRE12-C,18,sqlite,src/utf.c,96,TP,zOut evaluated multiple times; PRE12 holds,,high
API00-C,19,sqlite,src/utf.c,114,FP,"sqlite3AppendOneUtf8Character contract requires caller to supply a 4-byte buffer; zOut is an internal trusted pointer never null in callers, API00 null-validation not applicable to this internal API",,high
INT14-C,20,sqlite,src/utf.c,116,FP,"INT14 readability heuristic; v is a u32 codepoint deliberately manipulated with shifts and masks, standard correct UTF-8 encoding, no defect",,high
EXP07-C,21,sqlite,src/utf.c,125,FP,EXP07 misfire; v>>12 is a normal bit extraction on a known-range value not an assumption of a constant,,high
EXP07-C,22,sqlite,src/utf.c,130,FP,EXP07 misfire on v>>18 bit extraction; no defect,,high
EXP07-C,23,sqlite,src/utf.c,131,FP,EXP07 misfire on v>>12 bit extraction; no defect,,high
PRE00-C,24,sqlite,src/utf.c,164,TP,READ_UTF8 increments zIn multiple times via *(zIn++) so it evaluates the zIn argument multiple times; genuine PRE00,,high
PRE01-C,25,sqlite,src/utf.c,164,FP,zIn appears only as the *(zIn++) lvalue; parenthesization cannot change precedence,,high
PRE01-C,26,sqlite,src/utf.c,164,FP,zTerm appears only in the comparison zIn<zTerm as a bare operand; parenthesization cannot change result,,high
PRE01-C,27,sqlite,src/utf.c,164,TP,c is used in unparenthesized subexpressions like c<<6 and c&0xFFFFF800; PRE01 applies,,med
PRE02-C,28,sqlite,src/utf.c,164,FP,replacement is statement-level not an expression; parenthesizing the list inapplicable,,high
PRE10-C,29,sqlite,src/utf.c,164,TP,READ_UTF8 is multi-statement and NOT brace-wrapped so it is unsafe as an unbraced if body; genuine PRE10,,high
PRE12-C,30,sqlite,src/utf.c,164,TP,zIn incremented multiple times; PRE12 holds,,high
API00-C,31,sqlite,src/utf.c,175,FP,sqlite3Utf8Read pz is an internal pointer always passed as the address of a live variable by callers; API00 null-check not applicable to this internal contract,,high
INT14-C,32,sqlite,src/utf.c,185,FP,"INT14 readability heuristic on the UTF-8 decode accumulator c; correct decode arithmetic, no defect",,high
INT30-C,33,sqlite,src/utf.c,187,FP,"c is unsigned int and the value built from Trans1 plus 6-bit groups stays well under 32 bits for valid lengths; c<<6 cannot overflow a u32 here and invalid results are folded to 0xFFFD, no INT30 defect",,high
FLP02-C,34,sqlite,src/utf.c,191,FP,line 191 is an integer mask comparison (c&0xFFFFFFFE)==0xFFFE not a floating-point comparison; FLP02 misfire,,high
API00-C,35,sqlite,src/utf.c,208,FP,sqlite3Utf8ReadLimited z is supplied by trusted internal callers with assert(n>0); API00 null-validation not applicable,,high
