rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL13-C,0,sqlite,src/alter.c,31,FP,isAlterableTable does not write through pTab but pTab->db chains and pTab is passed to sqlite3ErrorMsg/StrNICmp as read-only yet const adds no value and SQLite never consts Table* params in this internal API family,,med
EXP34-C,1,sqlite,src/alter.c,32,FP,pTab is the return of sqlite3LocateTableItem checked non-null at callers before isAlterableTable is invoked and dereference is guarded by caller contract,,high
API00-C,2,sqlite,src/alter.c,124,FP,API00 internal contract pParse always non-null caller is the parser reduction action never a trust boundary,,high
API00-C,3,sqlite,src/alter.c,124,FP,pSrc supplied by parser grammar action always non-null and asserted pSrc->nSrc==1 downstream,,high
API00-C,4,sqlite,src/alter.c,124,FP,pName is a parser Token pointer always valid from grammar reduction not a trust boundary,,high
EXP34-C,5,sqlite,src/alter.c,194,FP,pVTab set from sqlite3GetVTable under IsVirtual guard and SQLite invariant guarantees non-null vtab for virtual tables here,,high
INT32-C,6,sqlite,src/alter.c,275,FP,++pParse->nMem is a bounded VDBE register counter not attacker-controlled and cannot reach INT_MAX in practice,,high
API00-C,7,sqlite,src/alter.c,313,FP,pColDef is a parser Token always non-null from grammar action not a trust boundary,,high
DCL13-C,8,sqlite,src/alter.c,313,FP,pColDef->z and ->n are read but signature is parser-facing internal API const not applied in this family no defect,,med
INT30-C,9,sqlite,src/alter.c,409,FP,pColDef->n is u32 token length always >=1 for a real column-def token and zCol allocated of that length so subtraction is in-bounds,,high
STR34-C,10,sqlite,src/alter.c,409,FP,zCol is char* from sqlite3DbStrNDup indexing produces a char lvalue assigned NUL not a sign-extension defect sqc misreads char store,,high
ARR37-C,11,sqlite,src/alter.c,411,FP,zEnd is &zCol[..] into a heap buffer decremented within while(zEnd>zCol) guard so ARR37 on pointer is the intended idiom and bounded,,high
STR34-C,12,sqlite,src/alter.c,411,FP,*zEnd-- = '\0' is a store of NUL char not a value read no sign extension occurs,,high
API00-C,13,sqlite,src/alter.c,483,FP,API00 pParse parser context always non-null internal contract,,high
API00-C,14,sqlite,src/alter.c,483,FP,pSrc parser SrcList always non-null from grammar action,,high
INT32-C,15,sqlite,src/alter.c,532,FP,nCol is i16 column count asserted >0 and bounded by SQLITE_LIMIT_COLUMN well below INT_MAX so (((nCol-1)/8)*8)+8 cannot overflow,,high
INT32-C,16,sqlite,src/alter.c,532,FP,same bounded nCol multiplication by 8 cannot overflow int given column-count limit,,high
