rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR02-C,1,sqlite,ext/fts3/fts3_unicode2.c,42,FP,aEntry[] static const table fully initialized at 42-124; implicit-bound declaration is well-defined and safe,b14-adjudicator,high
INT31-C,2,sqlite,ext/fts3/fts3_unicode2.c,130,FP,c is a codepoint input not a buffer index here; conversion guarded by (unsigned int)c<128 before use,b14-adjudicator,high
ARR30-C,3,sqlite,ext/fts3/fts3_unicode2.c,131,FP,"aAscii[c>>5] index is 0..3 because branch is gated by (unsigned int)c<128, matching size-4 array",b14-adjudicator,high
INT14-C,4,sqlite,ext/fts3/fts3_unicode2.c,131,FP,"INT14 style flag; c>>5 used as deliberate /32 bucket index, well-defined and bounded",b14-adjudicator,high
EXP07-C,5,sqlite,ext/fts3/fts3_unicode2.c,132,FP,"EXP07 style flag; 1<<22 is a fixed codepoint-space constant, no defect",b14-adjudicator,high
INT31-C,6,sqlite,ext/fts3/fts3_unicode2.c,132,FP,"signed-to-unsigned of c guarded by (unsigned int)c<(1<<22) range check, no unsafe index",b14-adjudicator,high
EXP07-C,7,sqlite,ext/fts3/fts3_unicode2.c,133,FP,"EXP07 style flag on key-construction constant shift, no defect",b14-adjudicator,high
INT31-C,8,sqlite,ext/fts3/fts3_unicode2.c,133,FP,"c cast to unsigned for key build; used only as binary-search key, not buffer index",b14-adjudicator,high
INT14-C,9,sqlite,ext/fts3/fts3_unicode2.c,135,FP,"INT14 style flag; aEntry indexed by bounded iTest/iRes from binary search, no defect",b14-adjudicator,high
INT32-C,10,sqlite,ext/fts3/fts3_unicode2.c,138,FP,iHi+iLo bounded by table size (~250 entries); no realistic signed overflow,b14-adjudicator,high
INT32-C,11,sqlite,ext/fts3/fts3_unicode2.c,141,FP,iTest+1 bounded well below INT_MAX (table size ~250); no overflow,b14-adjudicator,high
INT32-C,12,sqlite,ext/fts3/fts3_unicode2.c,143,FP,iTest-1 bounded small int from binary search; no underflow/overflow,b14-adjudicator,high
ARR00-C,13,sqlite,ext/fts3/fts3_unicode2.c,146,FP,"aEntry[0] valid; assert reads element 0 of a fully-populated table, in bounds",b14-adjudicator,high
EXP07-C,14,sqlite,ext/fts3/fts3_unicode2.c,148,FP,EXP07 style flag on aEntry[iRes]>>10 decode; iRes bounded by loop invariant,b14-adjudicator,high
INT14-C,15,sqlite,ext/fts3/fts3_unicode2.c,148,FP,INT14 style flag; iRes is a valid bounded index from binary search,b14-adjudicator,high
INT31-C,16,sqlite,ext/fts3/fts3_unicode2.c,148,FP,"c cast to unsigned only in comparison/decode, guarded by <(1<<22), no unsafe index",b14-adjudicator,high
ARR02-C,17,sqlite,ext/fts3/fts3_unicode2.c,163,FP,aDia[] static array fully initialized at 164-179; implicit bound is safe,b14-adjudicator,high
ARR02-C,18,sqlite,ext/fts3/fts3_unicode2.c,182,FP,aChar[] static array fully initialized; implicit bound is safe,b14-adjudicator,high
STR00-C,19,sqlite,ext/fts3/fts3_unicode2.c,183,FP,STR00 style flag; unsigned char initializer with char literals is well-defined,b14-adjudicator,high
INT14-C,20,sqlite,ext/fts3/fts3_unicode2.c,206,FP,"INT14 style flag; c<<3 key construction, well-defined, c is codepoint input",b14-adjudicator,high
INT31-C,21,sqlite,ext/fts3/fts3_unicode2.c,206,FP,"signed-to-unsigned of c for binary-search key only, not a buffer index",b14-adjudicator,high
