rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE00-C,0,sqlite,ext/misc/sha1.c,42,FP,"SHA_ROT is a standard well-known shift/rotate idiom macro; multi-eval is by design, no untrusted bug",,high
PRE12-C,1,sqlite,ext/misc/sha1.c,42,FP,"PRE12 multi-eval of x in SHA_ROT is intentional, all args are pure value expressions",,high
PRE00-C,2,sqlite,ext/misc/sha1.c,43,FP,rol is a standard rotate macro built on SHA_ROT; style-only,,high
PRE12-C,3,sqlite,ext/misc/sha1.c,43,FP,PRE12 multi-eval k in rol intentional rotate idiom,,high
PRE00-C,4,sqlite,ext/misc/sha1.c,44,FP,ror standard rotate macro; style-only,,high
PRE12-C,5,sqlite,ext/misc/sha1.c,44,FP,PRE12 multi-eval k in ror intentional,,high
PRE00-C,6,sqlite,ext/misc/sha1.c,46,FP,"blk0le byte-swap macro; multi-eval of i indexes block[i] only, style-only",,high
PRE01-C,7,sqlite,ext/misc/sha1.c,46,FP,"PRE01 i unparenthesized but always passed an integer literal in unrolled calls; no precedence hazard in practice, style",,med
PRE12-C,8,sqlite,ext/misc/sha1.c,46,FP,"blk0le multi-eval of i, callers pass literals, style-only",,high
PRE01-C,9,sqlite,ext/misc/sha1.c,48,FP,"blk0be i unparenthesized, callers pass literals, style",,med
PRE00-C,10,sqlite,ext/misc/sha1.c,49,FP,"blk mixing macro multi-eval of i, callers pass literals, style",,high
PRE01-C,11,sqlite,ext/misc/sha1.c,49,FP,"blk i unparenthesized, callers pass literals",,med
PRE12-C,12,sqlite,ext/misc/sha1.c,49,FP,"blk multi-eval i, literal args, style",,high
PRE00-C,13,sqlite,ext/misc/sha1.c,58,FP,"Rl0 round macro multi-eval, intentional unrolled SHA1 round",,high
PRE01-C,14,sqlite,ext/misc/sha1.c,58,FP,"Rl0 w unparenthesized; args are simple variable names a/b/c/d/e, no precedence issue",,med
PRE01-C,15,sqlite,ext/misc/sha1.c,58,FP,"Rl0 x unparenthesized, simple var args",,med
PRE01-C,16,sqlite,ext/misc/sha1.c,58,FP,"Rl0 z unparenthesized, simple var args",,med
PRE10-C,17,sqlite,ext/misc/sha1.c,58,FP,"Rl0 not do-while wrapped but only ever used as statement list in unrolled block, never in bare if",,med
PRE11-C,18,sqlite,ext/misc/sha1.c,58,FP,"Rl0 trailing semicolon is intentional statement macro, used as full statements",,med
PRE12-C,19,sqlite,ext/misc/sha1.c,58,FP,Rl0 multi-eval w intentional round,,high
PRE00-C,20,sqlite,ext/misc/sha1.c,60,FP,"Rb0 big-endian round macro, intentional",,high
PRE01-C,21,sqlite,ext/misc/sha1.c,60,FP,"Rb0 w unparenthesized, simple var args",,med
PRE01-C,22,sqlite,ext/misc/sha1.c,60,FP,"Rb0 x unparenthesized, simple var args",,med
PRE01-C,23,sqlite,ext/misc/sha1.c,60,FP,"Rb0 z unparenthesized, simple var args",,med
PRE10-C,24,sqlite,ext/misc/sha1.c,60,FP,"Rb0 not do-while wrapped, only used as statement sequence",,med
PRE11-C,25,sqlite,ext/misc/sha1.c,60,FP,Rb0 trailing semicolon intentional statement macro,,med
PRE12-C,26,sqlite,ext/misc/sha1.c,60,FP,Rb0 multi-eval w intentional,,high
PRE00-C,27,sqlite,ext/misc/sha1.c,62,FP,R1 round macro multi-eval intentional,,high
PRE01-C,28,sqlite,ext/misc/sha1.c,62,FP,R1 w unparenthesized simple var args,,med
PRE01-C,29,sqlite,ext/misc/sha1.c,62,FP,R1 x unparenthesized simple var args,,med
PRE01-C,30,sqlite,ext/misc/sha1.c,62,FP,R1 z unparenthesized simple var args,,med
PRE10-C,31,sqlite,ext/misc/sha1.c,62,FP,"R1 not do-while wrapped, statement-sequence use only",,med
PRE11-C,32,sqlite,ext/misc/sha1.c,62,FP,R1 trailing semicolon intentional,,med
