rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,1,sqlite,src/delete.c,31,FP,pParse is internal Parse handle invariant-nonnull from parser not a trust boundary API00 misfire,b14-adjudicator,high
DCL13-C,2,sqlite,src/delete.c,31,FP,pSrc written through pItem=pSrc->a then pItem->pSTab=pTab so const illegal,b14-adjudicator,high
DCL30-C,3,sqlite,src/delete.c,45,FP,pTab is Table* from sqlite3LocateTableItem heap object not address of automatic local,b14-adjudicator,high
DCL13-C,4,sqlite,src/delete.c,119,TP,"pTrigger only read (bReturning,pNext) never written const Trigger* would compile",b14-adjudicator,med
API00-C,5,sqlite,src/delete.c,142,FP,pParse internal nonnull handle dereferenced for db not a trust boundary,b14-adjudicator,high
API00-C,6,sqlite,src/delete.c,142,FP,pWhere optional may be null sqlite3ExprDup handles null no precondition violated,b14-adjudicator,high
API00-C,7,sqlite,src/delete.c,142,FP,pOrderBy optional passed through to SelectNew which accepts null,b14-adjudicator,high
API00-C,8,sqlite,src/delete.c,142,FP,pLimit optional passed through to SelectNew which accepts null,b14-adjudicator,high
DCL13-C,9,sqlite,src/delete.c,144,TP,"pView only read (pSchema,zName) never mutated const Table* would compile",b14-adjudicator,med
API00-C,10,sqlite,src/delete.c,182,FP,pParse internal nonnull handle not a trust boundary,b14-adjudicator,high
API00-C,11,sqlite,src/delete.c,182,FP,pSrc dereferenced via pSrc->a[0] under nSrc==1 invariant not trust boundary,b14-adjudicator,high
API00-C,12,sqlite,src/delete.c,182,FP,pWhere may be null and only conditionally used not unchecked deref,b14-adjudicator,high
MEM30-C,13,sqlite,src/delete.c,263,FP,"sqlite3DbFree(db,pSrc->a[0].u1.zIndexedBy) frees zIndexedBy db handle is context not freed",b14-adjudicator,high
MEM30-C,14,sqlite,src/delete.c,263,FP,pSrc->a is the live SrcList array not freed nothing freed here,b14-adjudicator,high
MEM30-C,15,sqlite,src/delete.c,269,FP,pParse is live context arg to sqlite3SelectNew not a freed pointer,b14-adjudicator,high
EXP34-C,16,sqlite,src/delete.c,270,FP,sqlite3SelectNew accepts null pOrderBy by contract no null deref,b14-adjudicator,high
MEM30-C,17,sqlite,src/delete.c,274,FP,pParse live context arg to sqlite3PExpr not freed,b14-adjudicator,high
MEM30-C,18,sqlite,src/delete.c,275,FP,pParse live context arg to sqlite3PExprAddSelect not freed,b14-adjudicator,high
API00-C,19,sqlite,src/delete.c,288,FP,pParse internal nonnull handle not a trust boundary,b14-adjudicator,high
API00-C,20,sqlite,src/delete.c,288,FP,pTabList nSrc==1 asserted internal invariant not trust boundary,b14-adjudicator,high
