rule,idx,project,file,line,verdict,reason,provenance,confidence
EXP34-C,0,sqlite,ext/session/changeset.c,28,FP,argv0 is argv[0] guaranteed non-null by C runtime for a hosted main,,high
PRE32-C,1,sqlite,ext/session/changeset.c,29,FP,PRE32 misfire: multi-line string literal continuation is not a preprocessor directive in an argument,,high
PRE32-C,2,sqlite,ext/session/changeset.c,30,FP,multi-line string literal is not a macro/directive in fprintf argument,,high
ERR05-C,3,sqlite,ext/session/changeset.c,43,FP,usage() calling exit is the intentional CLI fatal-error idiom,,high
ERR00-C,4,sqlite,ext/session/changeset.c,53,FP,"readFile checks f==0 right after fopen and exits, return value is checked",,high
FIO05-C,5,sqlite,ext/session/changeset.c,53,FP,"reading a user-supplied input file is the tool's purpose, no exploitable TOCTOU here",,low
WIN03-C,6,sqlite,ext/session/changeset.c,53,FP,"WIN03 N-flag advisory, no memory-safety or correctness defect in this CLI",,high
ERR05-C,7,sqlite,ext/session/changeset.c,56,FP,"exit in a CLI fatal path is intentional, not an error-handling-strategy violation",,high
ERR00-C,8,sqlite,ext/session/changeset.c,58,FP,"fseek failure leads to ftell value used, behavior degrades gracefully in CLI",,med
ERR33-C,9,sqlite,ext/session/changeset.c,58,FP,fseek SEEK_END return ignored but sz validated by fread count check downstream,,med
FIO14-C,10,sqlite,ext/session/changeset.c,58,FP,"FIO14 binary SEEK_END is a portability advisory, works on target platforms",,med
FIO19-C,11,sqlite,ext/session/changeset.c,58,FP,FIO19 fseek/ftell file-size idiom is a style advisory not a defect,,low
ERR00-C,12,sqlite,ext/session/changeset.c,59,FP,"negative ftell makes malloc64(sz?sz:1) and fread!=1 catch it, degrades safely",,med
ERR33-C,13,sqlite,ext/session/changeset.c,59,FP,"sz from ftell feeds sz>0 guard and fread==1 check, unchecked ftell does not cause unsafe read",,med
ERR07-C,14,sqlite,ext/session/changeset.c,60,FP,"ERR07 rewind style advisory, no defect",,low
PRE32-C,15,sqlite,ext/session/changeset.c,63,FP,PRE32 misfire multi-line string literal not a directive,,high
ERR05-C,16,sqlite,ext/session/changeset.c,65,FP,exit in CLI fatal path intentional,,high
FIO17-C,17,sqlite,ext/session/changeset.c,68,FP,"fread into binary buffer not a C-string, no null terminator needed for blob content",,high
FIO39-C,18,sqlite,ext/session/changeset.c,68,FP,"fread after fprintf to different streams f vs stderr, no same-stream ordering hazard",,med
FIO39-C,19,sqlite,ext/session/changeset.c,69,FP,"fprintf to stderr then fread from f are different streams, no interleaving UB",,med
PRE32-C,20,sqlite,ext/session/changeset.c,69,FP,PRE32 misfire string literal,,high
ERR05-C,21,sqlite,ext/session/changeset.c,71,FP,exit in CLI fatal path intentional,,high
ERR00-C,22,sqlite,ext/session/changeset.c,73,FP,"fclose return ignored on read-only file, no data-loss risk",,med
ERR33-C,23,sqlite,ext/session/changeset.c,73,FP,"fclose on read stream, ignored return is benign",,med
EXP34-C,24,sqlite,ext/session/changeset.c,75,FP,"pSz is &sz in main, address of a local, never null",,high
DCL30-C,25,sqlite,ext/session/changeset.c,76,FP,"DCL30 misfire ppBuf is an out-param, *ppBuf set to heap buffer that outlives the call",,high
ARR02-C,26,sqlite,ext/session/changeset.c,81,FP,"hexdigits[] const array initialized with 16 elements, implicit size is correct and intentional",,high
FIO47-C,27,sqlite,ext/session/changeset.c,96,FP,"zBuf is char[50] decaying to char*, correct %s argument, no type mismatch",,high
INT00-C,28,sqlite,ext/session/changeset.c,100,FP,INT00 %lld with sqlite3_value_int64 returning sqlite3_int64 is correct portable format,,high
EXP34-C,29,sqlite,ext/session/changeset.c,109,FP,"zBlob guarded by i<nBlob, nBlob==0 means loop body never runs so no deref",,high
EXP34-C,30,sqlite,ext/session/changeset.c,118,FP,"zArg from sqlite3_value_text, NULL only for SQLITE_NULL which hits default not TEXT",,med
CON03-C,31,sqlite,ext/session/changeset.c,137,FP,"nConflict is single-threaded CLI global, no concurrency, CON03 inapplicable",,high
CON07-C,32,sqlite,ext/session/changeset.c,142,FP,"nConflict++ in single-threaded CLI tool, no shared-state race",,high
DCL13-C,33,sqlite,ext/session/changeset.c,143,FP,pCtx unused in conflictCallback; signature fixed by changeset_apply xConflict callback typedef so const cannot be added,,high
EXP34-C,34,sqlite,ext/session/changeset.c,169,FP,"zTab from changeset_op points into iterator buffer, non-null for valid row, printf tolerates it",,high
EXP33-C,35,sqlite,ext/session/changeset.c,171,FP,pVal always set because op matches INSERT/UPDATE-DELETE and i<nCol so changeset_new/old return OK,,med
API00-C,36,sqlite,ext/session/changeset.c,186,FP,"main does not need to validate argv, guaranteed valid by C runtime",,high
FIO42-C,37,sqlite,ext/session/changeset.c,239,FP,"line 239 is sqlite3_open not open(), db is closed via sqlite3_close at 243 and 270",,high
PRE32-C,38,sqlite,ext/session/changeset.c,241,FP,PRE32 misfire string literal in fprintf,,high
DCL11-C,39,sqlite,ext/session/changeset.c,242,FP,"zDb is const char* matching %s, no variadic type mismatch",,high
EXP34-C,40,sqlite,ext/session/changeset.c,242,FP,zDb may be null only if no DB arg but sqlite3_open and sqlite3_errmsg tolerate null,,med
EXP34-C,41,sqlite,ext/session/changeset.c,252,FP,"pBuf non-null after readFile which exits on alloc failure, not a null passed",,high
EXP34-C,42,sqlite,ext/session/changeset.c,255,FP,"pBuf non-null after readFile, apply does accept it",,high
DCL11-C,43,sqlite,ext/session/changeset.c,261,FP,rc is int matching %d format specifier,,high
PRE32-C,44,sqlite,ext/session/changeset.c,264,FP,PRE32 misfire string literal,,high
PRE32-C,45,sqlite,ext/session/changeset.c,264,FP,PRE32 misfire string literal,,high
MEM31-C,46,sqlite,ext/session/changeset.c,270,FP,"db freed once, the 243 error path calls exit(1) so 270 free is not a second free on same path",,high
ERR00-C,47,sqlite,ext/session/changeset.c,285,FP,"out==0 checked immediately after fopen at line 286, return value is checked",,high
FIO02-C,48,sqlite,ext/session/changeset.c,285,FP,"FIO02 canonicalization advisory on user-supplied output path, intended behavior",,low
FIO03-C,49,sqlite,ext/session/changeset.c,285,FP,"FIO03 exclusive-create advisory, overwriting named output is intended CLI behavior",,low
FIO06-C,50,sqlite,ext/session/changeset.c,285,FP,"FIO06 permission advisory, no security-sensitive defect in this CLI",,low
WIN03-C,51,sqlite,ext/session/changeset.c,285,FP,"WIN03 N-flag advisory, no defect",,high
EXP34-C,52,sqlite,ext/session/changeset.c,291,FP,"pBuf non-null after readFile, concat accepts it",,high
EXP34-C,53,sqlite,ext/session/changeset.c,294,FP,"pOutBuf checked via szOut>0 before fwrite, concat sets it on SQLITE_OK",,med
PRE32-C,54,sqlite,ext/session/changeset.c,295,FP,PRE32 misfire string literal,,high
DCL11-C,55,sqlite,ext/session/changeset.c,296,FP,szOut is int matching %d,,high
ERR00-C,56,sqlite,ext/session/changeset.c,298,FP,"fclose return ignored, fwrite already checked for the write error, benign",,med
ERR33-C,57,sqlite,ext/session/changeset.c,298,FP,"fclose return ignored on output but write success already verified, benign",,med
EXP34-C,58,sqlite,ext/session/changeset.c,310,FP,"pBuf non-null after readFile, start accepts it and pIter is &pIter non-null",,high
INT32-C,59,sqlite,ext/session/changeset.c,320,FP,"cnt counts changeset rows, realistically bounded far below INT_MAX",,high
PRE32-C,60,sqlite,ext/session/changeset.c,321,FP,PRE32 misfire string literal in printf,,high
DCL11-C,61,sqlite,ext/session/changeset.c,322,FP,cnt is int matching %d,,high
EXP34-C,62,sqlite,ext/session/changeset.c,324,FP,"zTab non-null for valid row from changeset_op, printf tolerates null anyway",,med
EXP34-C,63,sqlite,ext/session/changeset.c,331,FP,"abPK non-null whenever nCol>0 since iterator co-allocates abPK after apValue, i<nCol in-bounds",,med
ERR00-C,64,sqlite,ext/session/changeset.c,356,FP,"out==0 checked right after fopen at 357, return value is checked",,high
FIO02-C,65,sqlite,ext/session/changeset.c,356,FP,"FIO02 canonicalization advisory on output path, intended behavior",,low
FIO03-C,66,sqlite,ext/session/changeset.c,356,FP,"FIO03 exclusive-create advisory, intended overwrite behavior",,low
FIO05-C,67,sqlite,ext/session/changeset.c,356,FP,"FIO05 reopen advisory, no TOCTOU defect of consequence in CLI",,low
