rule,idx,project,file,line,verdict,reason
MSC12-C,0,sel4,src/arch/arm/32/kernel/thread.c,41,FP,"Documented no-op stub ('Nothing to do' / 'Don't need to do anything') -- same family fixed by task 474."
MSC12-C,1,sel4,src/arch/arm/64/kernel/thread.c,36,FP,"Documented no-op stub (Arch_activateIdleThread, 'Don't need to do anything')."
MSC12-C,2,sel4,src/arch/arm/kernel/thread.c,9,FP,"Documented no-op stub (Arch_postModifyRegisters, 'Nothing to do')."
MSC12-C,3,sel4,src/arch/riscv/kernel/thread.c,49,FP,"Documented no-op stub (Arch_activateIdleThread, 'Don't need to do anything')."
MSC12-C,4,sel4,src/arch/riscv/kernel/thread.c,54,FP,"Documented no-op stub (Arch_postModifyRegisters, 'Nothing to do')."
MSC12-C,5,sel4,src/arch/riscv/kernel/thread.c,59,FP,"Documented no-op stub (Arch_prepareNextDomain, 'Don't need to do anything')."
MSC12-C,6,sel4,src/arch/riscv/kernel/thread.c,64,FP,"Documented no-op stub (Arch_prepareSetDomain, 'Don't need to do anything')."
MSC12-C,7,sel4,src/arch/riscv/machine/hardware.c,273,FP,"Documented no-op stub (handleSpuriousIRQ, 'Do nothing')."
MSC12-C,8,sel4,src/arch/x86/32/kernel/thread.c,43,FP,"Documented no-op stub."
MSC12-C,9,sel4,src/arch/x86/32/kernel/thread.c,48,FP,"Documented no-op stub (Mode_postModifyRegisters, 'Don't need to do anything')."
MSC12-C,10,sel4,src/arch/x86/64/kernel/thread.c,60,FP,"Documented no-op stub."
MSC12-C,11,sel4,src/arch/x86/kernel/thread.c,15,FP,"Documented no-op stub."
MSC12-C,12,sel4,src/arch/x86/kernel/thread.c,20,FP,"Documented no-op stub."
