rule,project,file,line,verdict,reason,provenance,confidence
CON07-C,mosquitto,src/keepalive.c,105,FP,"keepalive__cleanup's writes to keepalive_list/keepalive_list_max run during broker shutdown teardown from the single main event-loop thread, not concurrently with other keepalive access.",delta_con07_task546,medium
CON07-C,mosquitto,src/logging.c,234,FP,"log__vprintf only performs a read-only bitwise check (log_priorities & priority) && (log_destinations != MQTT3_LOG_NONE); neither static is written in this function, so there is no compound RMW.",delta_con07_task546,high
CON07-C,mosquitto,src/net.c,1011,FP,"net__socket_listen only reaches tls_ex_index_context/listener indirectly by calling net__tls_server_ctx during the same sequential, single-threaded listener-startup path; not a concurrent-access surface.",delta_con07_task546,medium
CON07-C,mosquitto,src/net.c,409,FP,"net__tls_server_ctx's check-then-set on tls_ex_index_context/listener is a lazy one-time SSL index registration performed during sequential listener setup at broker startup, before the event loop or any other thread touches these statics.",delta_con07_task546,medium
CON07-C,mosquitto,src/persist_read.c,178,FP,"persist__client_chunk_restore's client_count++ runs during one-time persistence-file restore at broker startup, before the broker accepts client connections or spawns worker threads.",delta_con07_task546,high
CON07-C,mosquitto,src/persist_read.c,231,FP,persist__client_msg_chunk_restore's client_msg_count++ is part of the same single-threaded startup persistence-restore pass as the other chunk restorers in this file.,delta_con07_task546,high
CON07-C,mosquitto,src/persist_read.c,257,FP,persist__base_msg_chunk_restore's base_msg_count++ executes only during startup DB restore before any concurrent broker activity begins.,delta_con07_task546,high
CON07-C,mosquitto,src/persist_read.c,340,FP,persist__retain_chunk_restore's retained_count++ is likewise confined to the sequential startup persistence-restore path.,delta_con07_task546,high
CON07-C,mosquitto,src/persist_read.c,376,FP,persist__sub_chunk_restore's subscription_count++ runs in the same single-threaded startup restore sequence as the sibling chunk-restore functions.,delta_con07_task546,high
CON07-C,mosquitto,src/persist_read.c,419,FP,"persist__restore resets base_msg_count/client_count/client_msg_count/retained_count/subscription_count at the very start of the one-shot startup persistence-load routine, called once before the broker begins serving clients.",delta_con07_task546,high
CON07-C,mosquitto,src/signals.c,175,FP,SigThreadProc is the Windows-only signal-emulation thread that waits on named events and does not itself perform compound RMW on flag_db_backup/flag_log_rotate/flag_reload/flag_tree_print/flag_xtreport in the flagged region.,delta_con07_task546,medium
CON07-C,mosquitto,src/signals.c,45,FP,"handle_signal is the async-signal handler that performs plain (non-compound) writes to the flag_* bools; this is the standard signal-flag-and-poll idiom, not two ordinary threads racing on a read-modify-write.",delta_con07_task546,medium
CON07-C,mosquitto,src/signals.c,95,FP,"signal__flag_check runs on the single main loop thread and simply checks-then-clears each flag_* bool set by the signal handler; this is the intended consumer side of the same signal-flag idiom, not an unsynchronized concurrent-thread race.",delta_con07_task546,medium
CON07-C,mosquitto,src/sys_tree.c,223,FP,"sys_tree__update's last_update/last_update_real/start_time are touched only from the broker's single main event-loop thread on its periodic $SYS update tick, not from a second thread.",delta_con07_task546,medium
INT32-C,mosquitto,src/mosquitto.c,604,FP,"argc++ counts command-line tokens split from the Windows WinMain lpCmdLine string, which is bounded by the OS command-line length limit (~32KB), keeping argc many orders of magnitude below INT_MAX.",delta_api00_int32_task546,high
MSC21-C,mosquitto,lib/net_mosq.c,373,FP,"for(rp=ainfo; rp!=NULL; rp=rp->ai_next) is a linked-list pointer traversal to NULL, not a numeric-step skip risk.",delta_msc21_task546,high
MSC21-C,mosquitto,lib/net_mosq.c,458,FP,"for(rp=ainfo; rp!=NULL; rp=rp->ai_next) is a linked-list pointer traversal to NULL, not a numeric-step skip risk.",delta_msc21_task546,high
MSC21-C,mosquitto,lib/net_mosq.c,475,FP,"for(rp_bind=ainfo_bind; rp_bind!=NULL; rp_bind=rp_bind->ai_next) is a linked-list pointer traversal to NULL, not a numeric-step skip risk.",delta_msc21_task546,high
MSC21-C,mosquitto,src/net.c,744,FP,"for(struct ifaddrs *ifa=ifaddr; ifa!=NULL; ifa=ifa->ifa_next) is a linked-list pointer traversal to NULL, not a numeric-step skip risk.",delta_msc21_task546,high
