rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,0,sqlite,src/vdbeapi.c,29,FP,sqlite3_expired guards with p==0 before reading p->expired so use is checked not a trust-boundary defect,,high
DCL13-C,1,sqlite,src/vdbeapi.c,29,FP,pStmt signature is the fixed public sqlite3_stmt API and is immediately cast to Vdbe* so const cannot be added,,high
DCL13-C,2,sqlite,src/vdbeapi.c,40,FP,vdbeSafety reads p->db only but p is propagated to vdbeSafetyNotNull and callers that mutate the Vdbe so const is not appropriate,,med
DCL13-C,3,sqlite,src/vdbeapi.c,62,FP,db in invokeProfileCallback is passed to OsCurrentTimeInt64 and xProfile/trace callbacks taking non-const sqlite3* so const will not compile,,high
INT32-C,4,sqlite,src/vdbeapi.c,69,FP,iNow and p->startTime are sqlite3_int64 elapsed-time math bounded by wall clock not an attacker-controlled overflow,,high
PRE00-C,5,sqlite,src/vdbeapi.c,84,FP,checkProfileCallback expands P once in a guard and once as arg with no side-effecting expression passed and is the documented core macro idiom,,high
PRE10-C,6,sqlite,src/vdbeapi.c,84,FP,checkProfileCallback is a single guarded if statement not a multistatement block needing do-while wrapping in this usage,,med
PRE12-C,7,sqlite,src/vdbeapi.c,84,FP,P is a simple Vdbe* lvalue with no side effects so multiple expansion is harmless,,high
INT13-C,8,sqlite,src/vdbeapi.c,139,FP,rc & db->errMask is the documented SQLite error-mask idiom on a small bounded result code not an unsigned-bitfield concern,,high
API00-C,9,sqlite,src/vdbeapi.c,182,FP,public sqlite3_value_blob API armor guards null elsewhere and contract guarantees a valid Mem from sqlite3_column/value paths,,high
API00-C,10,sqlite,src/vdbeapi.c,195,FP,public sqlite3_value_bytes API just forwards pVal to sqlite3ValueBytes which handles it contract guarantees validity,,high
API00-C,11,sqlite,src/vdbeapi.c,198,FP,sqlite3_value_bytes16 forwards to sqlite3ValueBytes contract guarantees a valid value object,,high
API00-C,12,sqlite,src/vdbeapi.c,201,FP,sqlite3_value_double forwards to sqlite3VdbeRealValue which handles the Mem internal contract guarantees validity,,high
API00-C,13,sqlite,src/vdbeapi.c,207,FP,sqlite3_value_int64 forwards to sqlite3VdbeIntValue internal contract guarantees a valid value object,,high
DCL15-C,14,sqlite,src/vdbeapi.c,207,FP,sqlite3_value_int64 is a public exported API symbol declared in sqlite3.h so it cannot be made static,,high
DCL19-C,15,sqlite,src/vdbeapi.c,207,FP,sqlite3_value_int64 is part of the documented public ABI exported via sqlite3.h not file-local,,high
