rule,idx,project,file,line,verdict,reason,provenance,confidence
DCL13-C,0,sqlite,src/main.c,34,TP,sqlite3TestExtInit db param is unused (void)db cast and never written; const sqlite3* would compile and is correct,,med
CON03-C,1,sqlite,src/main.c,57,FP,sqlite3BuiltinExtensions is a const file-scope init-once table read after single-threaded sqlite3_initialize serialization; CON03 volatile/atomic inapplicable to const table,,high
WIN04-C,2,sqlite,src/main.c,57,FP,WIN04 EncodePointer is Win32-specific hardening not a CERT-C defect; static const init-time function table,,high
ARR02-C,3,sqlite,src/main.c,92,FP,sqlite3_version[] = SQLITE_VERSION is a string-literal initializer giving implicit but well-defined size; idiomatic public const,,high
EXP37-C,4,sqlite,src/main.c,138,FP,sqlite3IoTrace is a properly declared variadic function-pointer typedef via SQLITE_CDECL not a missing-header issue,,high
WIN04-C,5,sqlite,src/main.c,138,FP,WIN04 EncodePointer inapplicable; debug-only IOTRACE hook pointer,,high
CON03-C,6,sqlite,src/main.c,148,FP,sqlite3_temp_directory is documented public global guarded by caller contract (set when no connections open); not a sync defect,,high
DCL15-C,7,sqlite,src/main.c,148,FP,sqlite3_temp_directory is a documented public API global with external linkage by design; cannot be static,,high
DCL19-C,8,sqlite,src/main.c,148,FP,same public-API global; DCL19 scope-minimization inapplicable to an exported interface variable,,high
CON03-C,9,sqlite,src/main.c,157,FP,sqlite3_data_directory is a documented public API global; caller-contract synchronized not a sync defect,,high
DCL15-C,10,sqlite,src/main.c,157,FP,sqlite3_data_directory must have external linkage as public API; cannot be static,,high
DCL19-C,11,sqlite,src/main.c,157,FP,public-API global; scope minimization inapplicable,,high
MSC04-C,12,sqlite,src/main.c,190,TP,sqlite3_initialize indirectly recurses via sqlite3_vfs_register-> sqlite3_initialize; bounded by inProgress/recursive-mutex guard but recursion genuinely exists,,med
EXP33-C,13,sqlite,src/main.c,199,FP,rc is set on every path before use; under SQLITE_OMIT_WSD assigned at 198 else first real use is rc=sqlite3MutexInit() at 227 assigning before any read,,high
DCL03-C,14,sqlite,src/main.c,207,FP,assert(SQLITE_PTRSIZE==sizeof(char*)) is intentional ptr-size sanity that static_assert could replace but argument mixes config macro; not a defect and analyzer note only,,high
INT32-C,15,sqlite,src/main.c,342,FP,(((u64)1)<<63)-1 is unsigned 64-bit constant arithmetic with no signed overflow; compile-time NaN bit-pattern,,high
EXP07-C,16,sqlite,src/main.c,342,FP,EXP07 constant shift (u64)1<<63 is a deliberate bit-pattern constant for NaN test not an unsafe assumption,,high
DCL03-C,17,sqlite,src/main.c,344,FP,assert(sizeof(x)==8) is a compile-time constant sizeof check; harmless and intentional debug assert,,high
DCL03-C,18,sqlite,src/main.c,345,FP,assert(sizeof(x)==sizeof(y)) compile-time constant; intentional debug assert,,high
MSC04-C,19,sqlite,src/main.c,426,TP,sqlite3_config indirectly recurses via sqlite3PCacheSetDefault->sqlite3_config; bounded but recursion exists,,med
EXP07-C,20,sqlite,src/main.c,591,FP,1<<12 is a deliberate documented cap constant (2^12) not an unsafe assumption,,high
EXP07-C,21,sqlite,src/main.c,593,FP,1<<12 deliberate cap constant,,high
DCL13-C,22,sqlite,src/main.c,774,FP,pBuf is stored into db->lookaside.pStart and later treated as lookaside memory; making it const would break assignment; not const-correct,,high
MEM30-C,23,sqlite,src/main.c,792,FP,line frees db->lookaside.pStart only; db->lookaside itself never freed; subsequent field writes reinit the struct (no UAF),,high
INT33-C,24,sqlite,src/main.c,803,FP,sz guarded: ROUNDDOWN8 then sz<=sizeof(ptr) sets sz=0 and szAlloc==0 short-circuits; division at 803 reached only when sz>0,,high
INT33-C,25,sqlite,src/main.c,818,FP,divisor 3*LOOKASIDE_SMALL+sz with sz>=LOOKASIDE_SMALL*3>0 is always positive constant-plus-positive; cannot be zero,,high
INT33-C,26,sqlite,src/main.c,819,FP,LOOKASIDE_SMALL is a positive compile-time constant; never zero,,high
INT32-C,27,sqlite,src/main.c,819,FP,"i64 arithmetic szAlloc-(i64)sz*nBig with sz,cnt bounded to 0x7fff0000 total; no signed overflow in 64-bit",,high
INT33-C,28,sqlite,src/main.c,821,FP,LOOKASIDE_SMALL+sz positive (sz>=LOOKASIDE_SMALL*2); never zero,,high
INT33-C,29,sqlite,src/main.c,822,FP,LOOKASIDE_SMALL positive constant divisor,,high
INT32-C,30,sqlite,src/main.c,822,FP,i64 bounded subtraction; szAlloc<=0x7fff0000 no overflow,,high
INT32-C,31,sqlite,src/main.c,826,FP,szAlloc/sz reached only when sz>0; szAlloc>=0 bounded i64; no INT_MIN/-1 (sz never -1),,high
MEM30-C,32,sqlite,src/main.c,831,FP,db->lookaside.pStart assignment is a write reinitializing the freed-then-realloc slot; not a UAF of db,,high
MEM30-C,33,sqlite,src/main.c,832,FP,db->lookaside.pInit write; struct reinit after freeing only pStart; FP,,high
MEM30-C,34,sqlite,src/main.c,833,FP,db->lookaside.pFree write; reinit; FP,,high
MEM30-C,35,sqlite,src/main.c,834,FP,db->lookaside.sz write; reinit; FP,,high
MEM30-C,36,sqlite,src/main.c,835,FP,db->lookaside.szTrue write; reinit; FP,,high
MEM30-C,37,sqlite,src/main.c,842,FP,db->lookaside.pInit list build into new pStart buffer; FP,,high
MEM30-C,38,sqlite,src/main.c,843,FP,db->lookaside.pInit assignment; FP,,high
MEM30-C,39,sqlite,src/main.c,847,FP,db->lookaside.pSmallInit write; FP,,high
MEM30-C,40,sqlite,src/main.c,848,FP,db->lookaside.pSmallFree write; FP,,high
MEM30-C,41,sqlite,src/main.c,849,FP,db->lookaside.pSmallInit list build; FP,,high
MEM30-C,42,sqlite,src/main.c,852,FP,db->lookaside.pSmallInit assignment; FP,,high
MEM30-C,43,sqlite,src/main.c,857,FP,db->lookaside.pEnd write; FP,,high
MEM30-C,44,sqlite,src/main.c,858,FP,db->lookaside.bDisable write; FP,,high
MEM30-C,45,sqlite,src/main.c,859,FP,db->lookaside.bMalloced write; FP,,high
MEM30-C,46,sqlite,src/main.c,860,FP,db->lookaside.nSlot write nBig+nSm; FP,,high
INT32-C,47,sqlite,src/main.c,860,FP,nBig+nSm both bounded by szAlloc/slot-size <=0x7fff0000/8 small ints; no int overflow,,high
MEM30-C,48,sqlite,src/main.c,874,FP,db->lookaside.pTrueEnd write; only pStart was freed not db; FP,,high
MEM30-C,49,sqlite,src/main.c,874,FP,db->lookaside.pEnd read to set pTrueEnd; freshly reinitialized field; FP,,high
EXP20-C,50,sqlite,src/main.c,885,FP,sqlite3SafetyCheckOk returns documented 0/1 magic-cookie check; idiomatic boolean guard not EXP20 defect,,high
EXP20-C,51,sqlite,src/main.c,901,FP,same SafetyCheckOk boolean guard idiom; FP,,high
EXP20-C,52,sqlite,src/main.c,927,FP,same; FP,,high
EXP20-C,53,sqlite,src/main.c,955,FP,same; FP,,high
EXP34-C,54,sqlite,src/main.c,957,FP,db dereferenced at db->mutex only after API_ARMOR SafetyCheckOk(db) guard (which null-checks); not null-deref,,high
EXP47-C,55,sqlite,src/main.c,963,FP,"line 963 is va_arg(ap,char*) a pointer type not char; no default-argument-promotion issue; analyzer misread the arg type",,high
ARR02-C,56,sqlite,src/main.c,986,FP,aFlagOp[] static const table with brace-list initializer; well-defined size; idiomatic,,high
INT31-C,57,sqlite,src/main.c,1056,FP,"n=min(nKey1,nKey2) both blob lengths >=0 by collation contract; memcmp size_t conversion safe (asserted pKey1&&pKey2)",,high
INT32-C,58,sqlite,src/main.c,1058,FP,nKey1-nKey2 are blob byte-lengths bounded by SQLITE_LIMIT_LENGTH well under INT_MAX; no overflow,,high
INT32-C,59,sqlite,src/main.c,1074,FP,nKey1-- guarded by while(nKey1 && ...); only decremented while >0; cannot reach INT_MIN,,high
INT32-C,60,sqlite,src/main.c,1075,FP,nKey2-- guarded by while(nKey2 && ...); cannot underflow,,high
API00-C,61,sqlite,src/main.c,1082,FP,sqlite3IsBinary handles p==0 explicitly (returns true) before dereferencing p->xCmp; null-safe by design,,high
INT32-C,62,sqlite,src/main.c,1105,FP,nKey1-nKey2 lengths bounded by SQLITE_LIMIT_LENGTH; no overflow,,high
DCL15-C,63,sqlite,src/main.c,1113,FP,sqlite3_last_insert_rowid is a public exported API; must have external linkage,,high
EXP20-C,64,sqlite,src/main.c,1115,FP,SafetyCheckOk boolean guard idiom; FP,,high
EXP20-C,65,sqlite,src/main.c,1128,FP,SafetyCheckOk boolean guard idiom; FP,,high
DCL15-C,66,sqlite,src/main.c,1141,FP,sqlite3_changes64 is public exported API; external linkage required,,high
DCL19-C,67,sqlite,src/main.c,1141,FP,sqlite3_changes64 is public API used by callers outside this file; not file-local,,high
EXP20-C,68,sqlite,src/main.c,1143,FP,SafetyCheckOk boolean guard idiom; FP,,high
API00-C,69,sqlite,src/main.c,1150,FP,sqlite3_changes delegates to sqlite3_changes64 which armor-checks db; internal contract; not a trust boundary,,high
DCL15-C,70,sqlite,src/main.c,1157,FP,sqlite3_total_changes64 public exported API; external linkage required,,high
DCL19-C,71,sqlite,src/main.c,1157,FP,public API; not file-local,,high
EXP20-C,72,sqlite,src/main.c,1159,FP,SafetyCheckOk boolean guard idiom; FP,,high
API00-C,73,sqlite,src/main.c,1166,FP,sqlite3_total_changes delegates to _changes64 which guards db; internal contract not a trust boundary,,high
MEM30-C,74,sqlite,src/main.c,1179,FP,loop frees a distinct list node pTmp each iteration (advances db->pSavepoint first); no double-free,,high
DCL13-C,75,sqlite,src/main.c,1192,FP,"functionDestroy p is dereferenced/mutated (p->u.pDestructor, pDestructor->nRef--); const would break; not const-correct",,high
INT32-C,76,sqlite,src/main.c,1197,FP,pDestructor->nRef-- only when nRef>0 reaches branch (ref-counted); guarded by if(pDestructor) and decrement-to-zero invariant; no INT_MIN wrap,,high
DCL13-C,77,sqlite,src/main.c,1240,TP,"connectionIsBusy db param is only read (db->pVdbe, db->nDb, db->aDb) never written; const sqlite3* would compile",,med
EXP20-C,78,sqlite,src/main.c,1260,FP,SafetyCheckSickOrOk boolean guard idiom (close path accepts sick handle); FP,,high
MEM30-C,79,sqlite,src/main.c,1308,FP,db passed to sqlite3LeaveMutexAndCloseZombie which is the owner that may free db; db not freed before this call; no UAF,,high
EXP20-C,80,sqlite,src/main.c,1320,FP,SafetyCheckOk boolean guard idiom; FP,,high
INT32-C,81,sqlite,src/main.c,1331,FP,db->nDb-1 where nDb>=1 always (>=2 typically); small bounded int; no overflow,,high
MEM30-C,82,sqlite,src/main.c,1430,FP,"sqlite3DbFree(db,pColl) frees pColl using db as context handle; db itself not freed; sqc misread the freed arg",,high
MEM30-C,83,sqlite,src/main.c,1430,FP,db dereferenced here (sqliteHashData/HashNext) far before sqlite3_free(db) at 1473; not freed yet,,high
MEM30-C,84,sqlite,src/main.c,1430,FP,accessing db->aCollSeq member before any db free; FP,,high
MEM30-C,85,sqlite,src/main.c,1438,FP,"sqlite3DbFree(db,pColl) frees pColl not db; no double-free of db",,high
MEM30-C,86,sqlite,src/main.c,1440,FP,"sqlite3VtabEponymousTableClear(db,pMod) uses db as live context; db not freed",,high
MEM30-C,87,sqlite,src/main.c,1440,FP,db deref in module loop before db free; FP,,high
MEM30-C,88,sqlite,src/main.c,1440,FP,db->aModule member access before db free; FP,,high
MEM30-C,89,sqlite,src/main.c,1442,FP,"sqlite3VtabModuleUnref(db,pMod) db is live context arg; not freed",,high
MEM30-C,90,sqlite,src/main.c,1442,FP,db deref before free; FP,,high
MEM30-C,91,sqlite,src/main.c,1442,FP,db member access before free; FP,,high
MEM30-C,92,sqlite,src/main.c,1444,FP,sqlite3HashClear(&db->aModule) db live; not freed,,high
MEM30-C,93,sqlite,src/main.c,1445,FP,"sqlite3Error(db,SQLITE_OK) db live context; not freed",,high
MEM30-C,94,sqlite,src/main.c,1447,FP,sqlite3ValueFree(db->pErr) frees pErr not db; db live,,high
MEM30-C,95,sqlite,src/main.c,1447,FP,db deref reading db->pErr before db free; FP,,high
MEM30-C,96,sqlite,src/main.c,1447,FP,db->pErr member access before db free; FP,,high
MEM30-C,97,sqlite,src/main.c,1450,FP,sqlite3CloseExtensions(db) db live; not freed,,high
MEM30-C,98,sqlite,src/main.c,1452,FP,"sqlite3DbFree(db,db->aDb[1].pSchema) frees the schema; db is the context handle not freed",,high
MEM30-C,99,sqlite,src/main.c,1462,FP,db->aDb[1].pSchema read as arg to free; db->aDb array not freed; db live,,high
MEM30-C,100,sqlite,src/main.c,1463,FP,db->xAutovacDestr read; db live (sqlite3_free(db) is later at 1473),,high
MEM30-C,101,sqlite,src/main.c,1464,FP,db->xAutovacDestr(db->pAutovacPagesArg) calls destructor; db live,,high
MEM30-C,102,sqlite,src/main.c,1464,FP,db->xAutovacDestr function-pointer read; db live; FP,,high
MEM30-C,103,sqlite,src/main.c,1464,FP,db->pAutovacPagesArg read; db live; FP,,high
MEM30-C,104,sqlite,src/main.c,1466,FP,sqlite3_mutex_leave(db->mutex) db live mutex use before db free; FP,,high
MEM30-C,105,sqlite,src/main.c,1466,FP,db->mutex read; db live; FP,,high
MEM30-C,106,sqlite,src/main.c,1469,FP,sqlite3_mutex_free(db->mutex) frees the mutex object not db; db live,,high
MEM30-C,107,sqlite,src/main.c,1470,FP,db->lookaside.bMalloced read; db still live (free is the final sqlite3_free(db) at 1473),,high
MEM30-C,108,sqlite,src/main.c,1470,FP,db->lookaside.pStart freed via sqlite3_free; db itself freed only on next line 1473; these are distinct objects no UAF of db,,high
