rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE01-C,0,sqlite,ext/fts5/fts5_main.c,94,TP,macro param pConfig used unparenthesized as pConfig->pGlobal; genuine unparenthesized param (low risk via ->),,med
PRE01-C,1,sqlite,ext/fts5/fts5_main.c,177,TP,SZ_FTS5SORTER(N): (N+2)/2 unparenthesized N in arithmetic; genuine precedence hazard,,high
PRE00-C,2,sqlite,ext/fts5/fts5_main.c,259,TP,"BitFlagAllTest(x,y) expands (((x)&(y))==(y)) evaluating y twice; genuine multiple-evaluation macro",,high
PRE12-C,3,sqlite,ext/fts5/fts5_main.c,259,TP,same macro evaluates y twice; genuine PRE12 instance,,high
EXP34-C,4,sqlite,ext/fts5/fts5_main.c,288,FP,p is func param of debug-only fts5CheckTransactionState; callers pass valid table,,high
STR00-C,5,sqlite,ext/fts5/fts5_main.c,290,FP,p is Fts5FullTable* and p->ts.iSavepoint is int; no char variable assigned -1,,high
INT32-C,6,sqlite,ext/fts5/fts5_main.c,319,FP,"iSavepoint asserted >=0 and is SQLite-controlled savepoint depth, bounded",,high
DCL13-C,7,sqlite,ext/fts5/fts5_main.c,342,TP,fts5IsContentless reads pTab->p.pConfig only; static helper not modified; const-able,,high
MEM30-C,8,sqlite,ext/fts5/fts5_main.c,357,FP,"frees member p.pConfig then frees struct; pTab->p not freed, no use after",,high
EXP34-C,9,sqlite,ext/fts5/fts5_main.c,415,FP,inside if(rc==SQLITE_OK); assert at 412 guarantees pConfig!=0 when rc==OK,,high
EXP34-C,10,sqlite,ext/fts5/fts5_main.c,419,FP,guarded by rc==SQLITE_OK; pConfig non-null per assert at 412,,high
EXP34-C,11,sqlite,ext/fts5/fts5_main.c,425,FP,guarded by rc==SQLITE_OK; pConfig non-null per assert at 412,,high
EXP34-C,12,sqlite,ext/fts5/fts5_main.c,431,FP,guarded by rc==SQLITE_OK; pConfig non-null per assert at 412,,high
EXP34-C,13,sqlite,ext/fts5/fts5_main.c,437,FP,guarded by rc==SQLITE_OK; pConfig non-null per assert at 412,,high
INT32-C,14,sqlite,ext/fts5/fts5_main.c,442,FP,"iCookie is small schema-version cookie from DB header, bounded",,high
DCL13-C,15,sqlite,ext/fts5/fts5_main.c,526,TP,fts5UsePatternMatch reads pConfig->t.ePattern only; not modified,,high
DCL13-C,16,sqlite,ext/fts5/fts5_main.c,527,TP,reads p->op only; not modified,,high
DCL03-C,17,sqlite,ext/fts5/fts5_main.c,529,TP,assert(FTS5_PATTERN_GLOB==SQLITE_INDEX_CONSTRAINT_GLOB) compile-time constants; static_assert applies,,high
DCL03-C,18,sqlite,ext/fts5/fts5_main.c,530,TP,assert of two compile-time #define constants; static_assert applies,,high
ARR30-C,19,sqlite,ext/fts5/fts5_main.c,603,FP,idxStr is a local malloc'd at 634 and NULL-checked at 635 (return SQLITE_NOMEM); line 603 is the function signature,,high
DCL03-C,20,sqlite,ext/fts5/fts5_main.c,621,TP,assert(EQ<MATCH) compile-time constant relation; static_assert applies,,high
DCL03-C,21,sqlite,ext/fts5/fts5_main.c,622,TP,assert(GT<MATCH) compile-time constant relation; static_assert applies,,high
DCL03-C,22,sqlite,ext/fts5/fts5_main.c,623,TP,assert(LE<MATCH) compile-time constant relation; static_assert applies,,high
DCL03-C,23,sqlite,ext/fts5/fts5_main.c,624,TP,assert(GE<MATCH) compile-time constant relation; static_assert applies,,high
DCL03-C,24,sqlite,ext/fts5/fts5_main.c,625,TP,assert(LE<MATCH) compile-time constant relation; static_assert applies,,high
INT32-C,25,sqlite,ext/fts5/fts5_main.c,634,FP,"nConstraint*8+1: nConstraint is query-planner constraint count, schema/expr-bounded",,high
INT32-C,26,sqlite,ext/fts5/fts5_main.c,634,FP,"nConstraint*8: bounded constraint count, far below INT_MAX",,high
INT32-C,27,sqlite,ext/fts5/fts5_main.c,660,FP,iIdxStr indexes buffer sized nConstraint*8+1; snprintf limit 6 of bounded col num,,high
FLP03-C,28,sqlite,ext/fts5/fts5_main.c,741,FP,ordinary cost-estimate float division (estimatedCost/4.0); fenv error-check rule misfire,,high
DCL13-C,29,sqlite,ext/fts5/fts5_main.c,748,TP,fts5NewTransaction reads pTab->pGlobal/pStorage only; not modified,,high
INT30-C,30,sqlite,ext/fts5/fts5_main.c,768,FP,"sizeof+nCol*sizeof(int): nCol schema-bounded (<=32767), result in i64 nByte",,high
