rule,idx,project,file,line,verdict,reason,provenance,confidence
MEM31-C,0,sqlite,src/os_unix.c,1,FP,aMutex[] elements freed in matching loop at 4820-4822 guarded by same SQLITE_ENABLE_SETLK_TIMEOUT as alloc loop 5021,,0.95
PRE00-C,1,sqlite,src/os_unix.c,232,TP,IS_LOCK_ERROR(x) macro evaluates x twice; genuine macro-hygiene PRE finding though x is always a simple var/expr in practice,,0.7
PRE01-C,2,sqlite,src/os_unix.c,232,TP,macro parameter x unparenthesized in replacement text; benign here but real PRE01 hygiene defect,,0.6
PRE12-C,3,sqlite,src/os_unix.c,232,TP,IS_LOCK_ERROR evaluates x twice; same as idx1 PRE12 multiple-evaluation,,0.7
CON03-C,4,sqlite,src/os_unix.c,318,FP,randomnessPid is a process-scope fork-detection pid guarded by big-lock usage patterns not a cross-thread race; CON03 misfire on hardened core,,0.85
POS01-C,5,sqlite,src/os_unix.c,410,FP,posixOpen is the syscall wrapper; O_NOFOLLOW handling is policy-controlled elsewhere and inputs are trusted pager paths not attacker symlinks,,0.9
CON03-C,6,sqlite,src/os_unix.c,423,FP,aSyscall is the syscall override table mutated only under documented single-thread setup; not a concurrency defect,,0.9
ERR02-C,7,sqlite,src/os_unix.c,423,FP,ssize_t is the natural POSIX read/return type used with explicit n<=0 error checks; ERR02 misfire,,0.9
ARR02-C,8,sqlite,src/os_unix.c,427,FP,aSyscall[] uses initializer-determined bounds (idiomatic C); explicit size not required and ArraySize used everywhere,,0.9
WIN04-C,9,sqlite,src/os_unix.c,427,FP,WIN04 EncodePointer is Windows-only DEP nonsense applied to a Unix syscall table; not applicable,,0.95
ARR38-C,10,sqlite,src/os_unix.c,649,FP,"memcpy(a,lit,16) into char a[16] param exactly fills the 16-byte buffer; bound is exact not exceeded",,0.95
EXP05-C,11,sqlite,src/os_unix.c,649,FP,a is char a[16] non-const param; no const to cast away EXP05 misfire,,0.95
EXP33-C,12,sqlite,src/os_unix.c,650,FP,z is char z[2000] local fully written via snprintf/osRead before use; not uninitialized,,0.9
INT30-C,13,sqlite,src/os_unix.c,655,FP,sizeof(z)-1 is sizeof(2000-byte array)-1 a compile-time constant 1999 never wraps,,0.85
ARR30-C,14,sqlite,src/os_unix.c,658,FP,"z[n] with n=osRead return clamped to sizeof(z)-1 and n<=0 rejected so n in [1,1999] within 2000-byte z",,0.85
ARR00-C,15,sqlite,src/os_unix.c,673,FP,pNext[-1] points one byte before a strstr match that is >=6 bytes into z; valid in-buffer write not negative-index defect,,0.85
ERR33-C,16,sqlite,src/os_unix.c,685,FP,"strtoll return assigned to iLast then range-checked against PENDING_BYTE/128; error value would simply not match any branch (benign), debug-only fdinfo parser",,0.8
ERR01-C,17,sqlite,src/os_unix.c,685,FP,errno not consulted; parsed value range-checked instead; debug/FILESTAT-only code with trusted /proc input,,0.8
ERR30-C,18,sqlite,src/os_unix.c,685,FP,errno not reset before strtoll but value used only in range comparisons not as error oracle; debug-only path,,0.8
STR34-C,19,sqlite,src/os_unix.c,686,FP,*x is a char from /proc text used as char index/value not sign-extended into array index incorrectly; STR34 misfire,,0.85
ERR33-C,20,sqlite,src/os_unix.c,689,FP,second strtoll same as idx16: result range-checked not used as error indicator,,0.8
ERR01-C,21,sqlite,src/os_unix.c,689,FP,same as idx17 errno not checked but value range-validated,,0.8
ERR30-C,22,sqlite,src/os_unix.c,689,FP,same as idx18 errno not reset; debug-only parser,,0.8
MSC37-C,23,sqlite,src/os_unix.c,717,FP,robustFchown returns in both #if/#else branches; no fall-through,,0.95
ARR01-C,24,sqlite,src/os_unix.c,745,FP,sizeof(aSyscall)/sizeof(aSyscall[0]) operates on the real file-scope array not a decayed param; aSyscall is a global array here,,0.95
ARR01-C,25,sqlite,src/os_unix.c,745,FP,same as idx24 aSyscall is global array not a parameter,,0.95
ARR01-C,26,sqlite,src/os_unix.c,754,FP,same aSyscall global-array sizeof idiom in unixSetSystemCall,,0.95
ARR01-C,27,sqlite,src/os_unix.c,754,FP,same global-array sizeof idiom,,0.95
ARR01-C,28,sqlite,src/os_unix.c,781,FP,same aSyscall global array in unixGetSystemCall,,0.95
ARR01-C,29,sqlite,src/os_unix.c,781,FP,same global-array sizeof idiom,,0.95
EXP33-C,30,sqlite,src/os_unix.c,861,FP,statbuf only read when osFstat(...)==0 via short-circuit && so it is populated before use,,0.9
DCL18-C,31,sqlite,src/os_unix.c,862,FP,0777 is intentional Unix file-mode octal; DCL18 misfire on POSIX permission bits,,0.9
CON03-C,32,sqlite,src/os_unix.c,898,FP,unixBigLock is mutex pointer set once at init and accessed via mutex APIs; CON03 misfire,,0.85
DCL03-C,33,sqlite,src/os_unix.c,961,FP,assert with PENDING_BYTE+1==RESERVED_BYTE style constants are sqlite design asserts; DCL03 static_assert suggestion is stylistic not a defect (runtime assert on constant is harmless),,0.85
EXP33-C,34,sqlite,src/os_unix.c,967,FP,zType assigned in every reachable branch (else is assert(0)); used at 967 only after assignment; SQLITE_LOCK_TRACE debug-only,,0.9
DCL03-C,35,sqlite,src/os_unix.c,980,FP,DCL03 stylistic static_assert suggestion on a design invariant assert; not a defect,,0.85
CON03-C,36,sqlite,src/os_unix.c,1078,FP,vxworksFileList guarded by vxworksMutex on all read/write paths; CON03 misfire,,0.85
