rule,idx,project,file,line,verdict,reason,provenance,confidence
MSC37-C,1,sqlite,src/malloc.c,23,FP,sqlite3_release_memory returns on every #if/#else path; both branches end in return,b14-adjudicator,high
MSC37-C,2,sqlite,src/malloc.c,45,FP,"line 45 is the Mem0Global struct/static declaration, not a non-void function body",b14-adjudicator,high
DCL13-C,3,sqlite,src/malloc.c,74,FP,pArg is unused deprecated public-API param with fixed signature; const not meaningfully applicable and (void)pArg already documents it,b14-adjudicator,high
API00-C,4,sqlite,src/malloc.c,95,FP,"n is i64, n<0 short-circuits, clamp to hardLimit; no overflow in soft_heap_limit64",b14-adjudicator,high
INT32-C,5,sqlite,src/malloc.c,116,FP,excess is i64 = memory_used - n with i64 math then masked by &0x7fffffff before int cast; no signed overflow defect,b14-adjudicator,high
API00-C,6,sqlite,src/malloc.c,137,FP,n is i64 with n>=0 guard and i64 comparisons in hard_heap_limit64; no overflow,b14-adjudicator,high
CON07-C,7,sqlite,src/malloc.c,231,FP,test_oom_breakpoint is SQLITE_DEBUG-only gdb breakpoint on file-static nOomFault; not a real shared-concurrency hazard,b14-adjudicator,high
CON03-C,8,sqlite,src/malloc.c,232,FP,"nOomFault is a debug-only breakpoint counter, never relied upon for visibility; deliberately non-atomic",b14-adjudicator,high
INT14-C,9,sqlite,src/malloc.c,233,FP,INT14 readability only; nOomFault += n then >>32 in assert is intentional and debug-only,b14-adjudicator,med
DCL30-C,10,sqlite,src/malloc.c,289,FP,p is heap pointer returned by xMalloc and stored via *pp; not address of a local,b14-adjudicator,high
DCL30-C,11,sqlite,src/malloc.c,308,FP,"sqlite3Malloc returns p which holds the xMalloc heap pointer, not a local's address",b14-adjudicator,high
MSC04-C,12,sqlite,src/malloc.c,316,TP,genuine indirect recursion sqlite3_malloc->sqlite3_initialize->sqlite3OsInit->sqlite3_malloc per MSC04,b14-adjudicator,med
DCL13-C,13,sqlite,src/malloc.c,333,FP,db is dereferenced (db->lookaside fields) and passed to non-const callees; const would break in sqlite3MallocSize path,b14-adjudicator,high
API00-C,14,sqlite,src/malloc.c,344,FP,p validated by assert(MemdebugHasType) contract; internal callers guarantee non-null heap ptr,b14-adjudicator,high
EXP05-C,15,sqlite,src/malloc.c,346,FP,(void*)p cast is required because xSize takes void* not const void*; intentional API shim,b14-adjudicator,high
DCL13-C,16,sqlite,src/malloc.c,348,FP,sqlite3DbMallocSize reads db->lookaside.* and db->mutex; db not const-able,b14-adjudicator,high
MSC37-C,17,sqlite,src/malloc.c,348,FP,line 348 is lookasideMallocSize which returns on all paths via if/else size selection,b14-adjudicator,high
API00-C,18,sqlite,src/malloc.c,355,FP,p asserted non-null (assert p!=0) and db is internal contract; no validation defect,b14-adjudicator,high
API00-C,19,sqlite,src/malloc.c,355,FP,"same: p covered by assert(p!=0), internal allocator contract",b14-adjudicator,high
EXP05-C,20,sqlite,src/malloc.c,380,FP,(void*)p needed for xSize(void*) signature; intentional const-shim,b14-adjudicator,high
API00-C,21,sqlite,src/malloc.c,382,FP,sqlite3_msize guards p with ternary p?xSize:0; cast required by xSize signature,b14-adjudicator,high
API00-C,22,sqlite,src/malloc.c,419,FP,db null-tolerant (if(db) branch) and asserted mutex; p asserted non-null; contract not validation,b14-adjudicator,high
API00-C,23,sqlite,src/malloc.c,419,FP,p asserted p!=0; freed-arg read first; internal NN contract guarantees non-null,b14-adjudicator,high
