rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR02-C,1,sqlite,ext/fts3/fts3_unicode.c,35,FP,sqlite3Utf8Trans1 is initialized by brace-enclosed list so size is implicit-but-defined 64 entries; index c-0xc0 (c>=0xc0) stays in 0..63 range,b14-adjudicator,high
PRE00-C,2,sqlite,ext/fts3/fts3_unicode.c,46,TP,READ_UTF8 evaluates zIn multiple times (*(zIn++) then loop) and is a function-like macro with side effects,b14-adjudicator,high
PRE01-C,3,sqlite,ext/fts3/fts3_unicode.c,46,TP,macro param zIn unparenthesized in replacement text (*(zIn++)),b14-adjudicator,high
PRE01-C,4,sqlite,ext/fts3/fts3_unicode.c,46,TP,macro param zTerm unparenthesized (zIn!=zTerm),b14-adjudicator,high
PRE01-C,5,sqlite,ext/fts3/fts3_unicode.c,46,TP,"macro param c unparenthesized (c=*(zIn++), c>=0xc0, c<<6)",b14-adjudicator,high
PRE02-C,6,sqlite,ext/fts3/fts3_unicode.c,46,FP,READ_UTF8 is a statement-list macro not an expression so whole-list parenthesization is inapplicable,b14-adjudicator,med
PRE10-C,7,sqlite,ext/fts3/fts3_unicode.c,46,TP,READ_UTF8 is a multistatement macro not wrapped in do-while; unsafe in braceless if,b14-adjudicator,high
PRE12-C,8,sqlite,ext/fts3/fts3_unicode.c,46,TP,READ_UTF8 evaluates zIn multiple times via repeated zIn++ and dereference,b14-adjudicator,high
PRE00-C,9,sqlite,ext/fts3/fts3_unicode.c,58,TP,WRITE_UTF8 evaluates c multiple times across the size branches,b14-adjudicator,high
PRE01-C,10,sqlite,ext/fts3/fts3_unicode.c,58,TP,macro param zOut unparenthesized (*zOut++),b14-adjudicator,high
PRE01-C,11,sqlite,ext/fts3/fts3_unicode.c,58,TP,"macro param c unparenthesized (c<0x00080, c>>6 etc)",b14-adjudicator,high
PRE02-C,12,sqlite,ext/fts3/fts3_unicode.c,58,FP,WRITE_UTF8 body is a brace-wrapped statement block not an expression; list parenthesization inapplicable,b14-adjudicator,med
PRE10-C,13,sqlite,ext/fts3/fts3_unicode.c,58,FP,WRITE_UTF8 IS wrapped in a brace block {...}; sqc wants do-while but braces already make it a single compound statement safe in if,b14-adjudicator,med
