rule,project,file,line,verdict,reason,provenance,confidence
EXP34-C,sqlite,ext/expert/expert.c,57,TP,"pBuf = sqlite3_malloc64(nIn+1) is used directly in fread(pBuf,...) at line 57 with no NULL check for OOM failure",delta_exp34_task539,high
EXP34-C,sqlite,ext/expert/sqlite3expert.c,2120,FP,"z=sqlite3_sql(pStmt) is only reached inside an explicit 'if(pStmt)' guard, and a non-NULL pStmt from prepare_v2 guarantees a non-empty/non-comment statement so sqlite3_sql cannot return NULL here",delta_exp34_task539,medium
EXP34-C,sqlite,ext/fts3/fts3.c,1128,TP,"zCol=sqlite3_column_name(pStmt,i) can return NULL on OOM and strlen(zCol) is called immediately afterward with no NULL check",delta_exp34_task539,medium
EXP34-C,sqlite,ext/fts3/fts3.c,2039,FP,assert(piLeaf||piLeaf2) plus the 'piLeaf?*piLeaf:*piLeaf2' ternary guarantee only a non-NULL of the pair is ever dereferenced,delta_exp34_task539,high
EXP34-C,sqlite,ext/fts3/fts3.c,648,FP,"sqlite3_mprintf's %s conversion substitutes an empty string for a NULL argument (printf.c: bufpt==0 -> bufpt=""""), so a NULL zCols never causes a dereference",delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_aux.c,723,FP,"aFreq=pData->aFreq is only used inside the rc==SQLITE_OK branch, and fts5Bm25GetData only returns SQLITE_OK after successfully allocating pData (and therefore aFreq)",delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_expr.c,1774,FP,"sqlite3_realloc64(pPhrase,...) is valid with pPhrase==NULL, behaving as malloc per the standard realloc contract",delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_index.c,7052,FP,"sqlite3_realloc(pIn,...) is valid with pIn==NULL, behaving as malloc per the standard realloc contract",delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_index.c,8486,FP,"pStmt is only used inside a loop gated on p->rc==SQLITE_OK && sqlite3_step(pStmt)==SQLITE_ROW, and sqlite3_column_blob is documented NULL-safe regardless",delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_index.c,8487,FP,same guarded loop as line 8486; sqlite3_column_bytes is documented NULL-safe regardless,delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_index.c,8488,FP,same guarded loop as line 8486; sqlite3_column_int is documented NULL-safe regardless,delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_index.c,8489,FP,same guarded loop as line 8486; sqlite3_column_int is documented NULL-safe regardless,delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_tcl.c,103,FP,pStmt was just set by a successful sqlite3_prepare_v2 (rc checked at line 99) and sqlite3_bind_pointer is NULL-safe regardless,delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_tcl.c,104,FP,sqlite3_step is documented NULL-safe (vdbeSafetyNotNull returns SQLITE_MISUSE_BKPT for NULL) and pStmt is non-NULL here anyway,delta_exp34_task539,high
EXP34-C,sqlite,ext/fts5/fts5_tcl.c,770,FP,azArg[0] is only reached after Tcl_SplitList succeeded and an explicit 'nArg==0' early-return already excludes the empty case,delta_exp34_task539,high
