rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE01-C,0,sqlite,ext/fts5/fts5_index.c,299,FP,segid used only as function-call argument 'segid+(1<<16)'; comma-bounded so no precedence hazard,,
DCL13-C,1,sqlite,ext/fts5/fts5_index.c,567,FP,fts5IndexCorruptIter writes pIdx->rc but pIter only read; finding param pIter is read-only yet this is corruption-iter helper called directly — read-only so const-able,,
PRE00-C,2,sqlite,ext/fts5/fts5_index.c,604,FP,"ASSERT_SZLEAF_OK evaluates (x) multiple times but x is parenthesized pure pointer; debug-only assert, no side effects",,
PRE02-C,3,sqlite,ext/fts5/fts5_index.c,604,FP,macro body is a single assert(...) call; parenthesizing a statement is not applicable,,
PRE12-C,4,sqlite,ext/fts5/fts5_index.c,604,FP,x is a parenthesized side-effect-free pointer expression; multiple evaluation harmless,,
PRE00-C,5,sqlite,ext/fts5/fts5_index.c,616,FP,fts5LeafIsTermless evaluates parenthesized pure pointer (x) twice; no side effects possible,,
PRE12-C,6,sqlite,ext/fts5/fts5_index.c,616,FP,x is parenthesized side-effect-free pointer; double eval harmless,,
PRE00-C,7,sqlite,ext/fts5/fts5_index.c,618,FP,fts5LeafTermOff evaluates parenthesized pointer (x) twice; no side effects,,
PRE12-C,8,sqlite,ext/fts5/fts5_index.c,618,FP,x parenthesized pure pointer; double eval harmless,,
EXP34-C,9,sqlite,ext/fts5/fts5_index.c,713,FP,"fts5GetU16 derefs param aIn; pure leaf accessor, callers always pass a valid in-bounds buffer pointer",,
INT14-C,10,sqlite,ext/fts5/fts5_index.c,713,FP,readability-only finding (bitwise and arithmetic on same var); no integer defect,,
DCL13-C,11,sqlite,ext/fts5/fts5_index.c,721,TP,"fts5GetU64 reads a[0..7] only; raw big-endian decoder, never writes, plain static — const u8* compiles (sibling fts5GetU32 already const)",,
INT14-C,12,sqlite,ext/fts5/fts5_index.c,722,FP,readability-only finding (bitwise and arithmetic on same var); no integer defect,,
INT14-C,13,sqlite,ext/fts5/fts5_index.c,738,FP,readability-only finding (bitwise and arithmetic on same var); no integer defect,,
DCL13-C,14,sqlite,ext/fts5/fts5_index.c,790,TP,"fts5BufferCompareBlob reads pLeft->n/pLeft->p only via memcmp; SQLITE_DEBUG comparison helper, never written",,
EXP34-C,15,sqlite,ext/fts5/fts5_index.c,794,FP,fts5BufferCompareBlob (SQLITE_DEBUG only) memcmp on pLeft->p; only called from asserts with valid buffers,,
INT31-C,16,sqlite,ext/fts5/fts5_index.c,794,FP,"source value is a non-negative int byte/element count (page size, token len, or struct count), not a truncation of a wider blob i64; sign-conversion to size_t is lossless here",,
INT32-C,17,sqlite,ext/fts5/fts5_index.c,795,FP,"pLeft->n - nRight: Fts5Buffer.n in-memory buffer length, not blob-derived",,
DCL13-C,18,sqlite,ext/fts5/fts5_index.c,808,TP,"fts5BufferCompare reads pLeft->n/pLeft->p only via fts5Memcmp; never written, plain comparison fn",,
EXP34-C,19,sqlite,ext/fts5/fts5_index.c,810,FP,fts5BufferCompare derefs pLeft param; assert(nCmp<=0||pLeft->p!=0) and callers pass live Fts5Buffer,,
INT32-C,20,sqlite,ext/fts5/fts5_index.c,814,FP,pLeft->n - pRight->n: in-memory Fts5Buffer lengths,,
