rule,idx,project,file,line,verdict,reason,provenance,confidence
INT14-C,1,sqlite,ext/misc/randomjson.c,54,FP,PRNG line p->x uses defined unsigned bitwise/arith on PRNG state not attacker-sized index; style-only INT14,b14-adjudicator,high
INT32-C,2,sqlite,ext/misc/randomjson.c,54,FP,p->x is unsigned int so 1+~(p->x&1) is unsigned modular arithmetic with defined wrap not signed overflow,b14-adjudicator,high
INT30-C,3,sqlite,ext/misc/randomjson.c,55,FP,p->y is unsigned int so *1103515245 is defined modular wrap (classic LCG) not a defect,b14-adjudicator,high
ARR02-C,4,sqlite,ext/misc/randomjson.c,59,FP,azJsonAtoms is a brace-initialized literal array; implicit bounds is idiomatic and fully determined at compile time,b14-adjudicator,high
CON03-C,5,sqlite,ext/misc/randomjson.c,59,FP,azJsonAtoms is read-only static table used single-threaded per call; CON03 thread-sync claim spurious,b14-adjudicator,high
ARR02-C,6,sqlite,ext/misc/randomjson.c,104,FP,azJsonTemplate is a brace-initialized literal array with compile-time-determined bounds,b14-adjudicator,high
CON03-C,7,sqlite,ext/misc/randomjson.c,104,FP,azJsonTemplate is read-only static literal table; CON03 spurious,b14-adjudicator,high
PRE00-C,8,sqlite,ext/misc/randomjson.c,122,FP,count(X)=sizeof/sizeof on a fixed array; single sizeof eval has no side effect so multiple-eval harm absent,b14-adjudicator,med
PRE01-C,9,sqlite,ext/misc/randomjson.c,122,FP,count macro arg X is an array name used only inside sizeof; lack of parens cannot misparse here,b14-adjudicator,med
PRE12-C,10,sqlite,ext/misc/randomjson.c,122,FP,count applies sizeof to fixed array name; no side-effecting multiple evaluation,b14-adjudicator,med
ARR30-C,11,sqlite,ext/misc/randomjson.c,149,FP,count(azJsonAtoms)/2 is a compile-time constant (21); divisor and bound statically known and safe,b14-adjudicator,high
INT33-C,12,sqlite,ext/misc/randomjson.c,149,FP,"count(azJsonAtoms)/2 = 42/2 = 21, a nonzero compile-time constant; modulo can never be by zero",b14-adjudicator,high
INT32-C,13,sqlite,ext/misc/randomjson.c,150,FP,"k bounded to 0..20 by prngInt%21 then k*2+eType is unsigned, max 41 indexing 42-entry table; no overflow",b14-adjudicator,high
INT32-C,14,sqlite,ext/misc/randomjson.c,150,FP,"k*2 unsigned with k<=20 yields <=40, far from UINT_MAX; no wrap",b14-adjudicator,high
ARR30-C,15,sqlite,ext/misc/randomjson.c,154,FP,count(azJsonTemplate)/2 compile-time constant (14); bound statically known,b14-adjudicator,high
INT33-C,16,sqlite,ext/misc/randomjson.c,154,FP,"count(azJsonTemplate)/2 = 28/2 = 14, nonzero compile-time constant; no div-by-zero",b14-adjudicator,high
INT32-C,17,sqlite,ext/misc/randomjson.c,155,FP,k<=13 so k*2+eType<=27 unsigned indexing 28-entry table; no overflow,b14-adjudicator,high
INT32-C,18,sqlite,ext/misc/randomjson.c,155,FP,k*2 with k<=13 yields <=26 unsigned; no wrap,b14-adjudicator,high
FLP02-C,19,sqlite,ext/misc/randomjson.c,161,FP,line 161 is integer bitmask comparison ((y&0xff)==((y>>8)&0xff)) on unsigned int not floating point; FLP02 misfire,b14-adjudicator,high
