rule,idx,project,file,line,verdict,reason,provenance,confidence
CON43-C,0,sqlite,ext/misc/vfstrace.c,209,FP,line 209 is a function prototype 'static int vfstraceShmMap(...)' not a static volatile variable; CON43 misread the declaration,,high
API02-C,1,sqlite,ext/misc/vfstrace.c,221,FP,"signature fixed by sqlite3_vfs xDlError typedef (pVfs,int nByte,char*); nByte IS the size arg, API02 misfire",,high
API02-C,2,sqlite,ext/misc/vfstrace.c,224,FP,"signature fixed by sqlite3_vfs xRandomness typedef (pVfs,int nByte,char*); nByte IS the size arg",,high
DCL13-C,3,sqlite,ext/misc/vfstrace.c,251,FP,pInfo is a forward struct typedef in a typedef line at 251; const-param advice on a prototype line is moot and pInfo is mutated by callees,,high
INT13-C,4,sqlite,ext/misc/vfstrace.c,341,FP,"rc&0xff is intentional masking of a status code into low byte; signedness of rc never produces UB here, idiomatic",,high
EXP33-C,5,sqlite,ext/misc/vfstrace.c,343,FP,zBuf[50] is written by sqlite3_snprintf at 343/345 before any read at 347; not uninitialized,,high
INT13-C,6,sqlite,ext/misc/vfstrace.c,343,FP,"rc&0xffff00 intentional bit masking of error code for display, no defect",,high
INT32-C,7,sqlite,ext/misc/vfstrace.c,357,FP,"i indexes a fixed local buffer over constant-string appends; counter cannot reach INT_MAX, bounded by string lengths",,high
STR34-C,8,sqlite,ext/misc/vfstrace.c,357,FP,"*(zAppend++) is char copied into char buffer z[i]; no widening, no sign-extension concern in strappend",,high
STR34-C,9,sqlite,ext/misc/vfstrace.c,357,FP,"same as idx8; plain char-to-char store, STR34 misfire",,high
MEM30-C,10,sqlite,ext/misc/vfstrace.c,381,FP,sqlite3_free frees p->base.pMethods (the allocated io_methods); p->base itself the embedded handle is not freed and pMethods nulled after,,high
MEM30-C,11,sqlite,ext/misc/vfstrace.c,381,FP,p->base is an embedded sqlite3_file member not a freed pointer; only its pMethods field is freed then zeroed,,high
DCL40-C,12,sqlite,ext/misc/vfstrace.c,390,FP,definition at 390 matches prototype at 197 (sqlite_int64 vs sqlite3_int64 are same type); DCL40 typedef-alias misfire,,high
DCL13-C,13,sqlite,ext/misc/vfstrace.c,391,FP,pFile signature fixed by sqlite3_io_methods xRead typedef; cast to vfstrace_file* and pMethods invoked through it,,high
DCL40-C,14,sqlite,ext/misc/vfstrace.c,410,FP,"definition matches prototype at 198; sqlite_int64/sqlite3_int64 alias, DCL40 misfire",,high
DCL13-C,15,sqlite,ext/misc/vfstrace.c,411,FP,pFile fixed by sqlite3_io_methods xWrite typedef; const impossible,,high
DCL13-C,16,sqlite,ext/misc/vfstrace.c,430,FP,pFile fixed by xTruncate typedef,,high
DCL40-C,17,sqlite,ext/misc/vfstrace.c,430,FP,definition matches prototype 199; int64 typedef alias,,high
DCL13-C,18,sqlite,ext/misc/vfstrace.c,445,FP,pFile fixed by xSync typedef,,high
INT30-C,19,sqlite,ext/misc/vfstrace.c,457,FP,i is bounded 0..~30 by constant strappend writes into zBuf[100]; sizeof(zBuf)-i cannot underflow,,high
DCL13-C,20,sqlite,ext/misc/vfstrace.c,470,FP,pFile fixed by xFileSize typedef,,high
DCL40-C,21,sqlite,ext/misc/vfstrace.c,470,FP,definition matches prototype 201; int64 alias,,high
ARR02-C,22,sqlite,ext/misc/vfstrace.c,486,FP,"azLockNames[] braces-init with 5 entries; size implicit by design and used with sizeof bound at 489, idiomatic",,high
DCL13-C,23,sqlite,ext/misc/vfstrace.c,499,FP,pFile fixed by xLock typedef,,high
DCL13-C,24,sqlite,ext/misc/vfstrace.c,514,FP,pFile fixed by xUnlock typedef,,high
DCL13-C,25,sqlite,ext/misc/vfstrace.c,529,FP,pFile fixed by xCheckReservedLock typedef,,high
DCL13-C,26,sqlite,ext/misc/vfstrace.c,545,FP,pFile fixed by xFileControl typedef,,high
EXP33-C,27,sqlite,ext/misc/vfstrace.c,560,FP,zBuf[100] is written by sqlite3_snprintf branches before being used as zOp; vfstrace_printf only reads after assignment,,high
