rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE01-C,0,sqlite,src/wal.c,259,FP,"WALTRACE(X): X is the parenthesized printf arg-list token used as `sqlite3DebugPrintf X`; cannot be parenthesized, no precedence hazard",,high
PRE02-C,1,sqlite,src/wal.c,646,FP,SEH_TRY replacement is a `__try {` statement-block; parenthesizing a statement-macro list is nonsensical,,high
PRE10-C,2,sqlite,src/wal.c,646,FP,SEH_TRY deliberately opens a brace block paired with SEH_EXCEPT closing brace; do-while wrap is structurally impossible by design,,med
PRE11-C,3,sqlite,src/wal.c,646,FP,"SEH_TRY ends with semicolon by design (VVA_ONLY(...) stmt); it is a statement macro, not an expression",,med
PRE00-C,4,sqlite,src/wal.c,651,TP,SEH_EXCEPT(X) expands assert(pWal->nSehTry==0) using pWal->nSehTry... X is injected as a statement block; X token is single-use but macro is function-like multi-statement — accept as macro-hygiene TP,,high
PRE01-C,5,sqlite,src/wal.c,651,FP,SEH_EXCEPT(X): X is an injected statement block placed inside __except(){ X }; parenthesizing a statement body is invalid,,high
PRE10-C,6,sqlite,src/wal.c,651,FP,SEH_EXCEPT closes a brace block opened by SEH_TRY; do-while wrap structurally impossible by design,,med
DCL13-C,7,sqlite,src/wal.c,665,TP,"sehExceptionFilter param p only read (p->ExceptionRecord etc), never written; const EXCEPTION_POINTERS* would compile",,high
DCL13-C,8,sqlite,src/wal.c,687,TP,sehInjectFault only reads pWal->nSehTry (assert) and passes pWal nowhere mutating; const Wal* would compile for this read-only use,,med
PRE00-C,9,sqlite,src/wal.c,714,TP,"SEH_FREE_ON_ERROR(X,Y): X evaluated twice — in `X==0` and `pWal->pFree==X`",,high
PRE01-C,10,sqlite,src/wal.c,714,TP,"SEH_FREE_ON_ERROR X used in comparisons `X==0`/`==X`; unparenthesized, precedence-relevant for expression args",,high
PRE01-C,11,sqlite,src/wal.c,714,TP,"SEH_FREE_ON_ERROR Y used in `Y==0` and `pWal->pFree = Y`; unparenthesized, precedence-relevant",,high
PRE02-C,12,sqlite,src/wal.c,714,FP,SEH_FREE_ON_ERROR is assert(...); assignment; — two statements; parenthesizing whole replacement list is invalid,,high
PRE12-C,13,sqlite,src/wal.c,714,TP,SEH_FREE_ON_ERROR evaluates X twice (`X==0` and `pWal->pFree==X`); duplicate side-effects if X has them,,high
PRE01-C,14,sqlite,src/wal.c,727,TP,"SEH_SET_ON_ERROR(X,Y) X used in `pWal->iWiPg = X`; unparenthesized assignment RHS, precedence-relevant",,high
PRE01-C,15,sqlite,src/wal.c,727,TP,"SEH_SET_ON_ERROR(X,Y) Y used in `pWal->pWiValue = Y`; unparenthesized assignment RHS",,high
PRE11-C,16,sqlite,src/wal.c,730,FP,non-SEH SEH_TRY = VVA_ONLY(pWal->nSehTry++); — statement macro intended to end in semicolon,,med
PRE00-C,17,sqlite,src/wal.c,731,TP,non-SEH SEH_EXCEPT(X) expands two statements referencing pWal->nSehTry; function-like multi-statement macro — hygiene TP,,med
PRE10-C,18,sqlite,src/wal.c,731,FP,SEH_EXCEPT is a sequence of statements used as a statement; do-while wrap would change the injected X block semantics — by-design,,med
PRE11-C,19,sqlite,src/wal.c,731,FP,non-SEH SEH_EXCEPT ends in `}` from assert macro/stmt sequence; trailing-semicolon flag misreads VVA_ONLY stmt,,med
