rule,idx,project,file,line,verdict,reason,provenance,confidence
API02-C,1,sqlite,ext/misc/appendvfs.c,146,FP,API02-C on VFS method signature fixed by sqlite3_io_methods function-pointer typedef; cannot add size param,b15-adjudicator,high
CON43-C,2,sqlite,ext/misc/appendvfs.c,150,FP,apndShmMap is a passthrough function not a variable; CON43 misreads the static function as a volatile shared var,b15-adjudicator,high
API02-C,3,sqlite,ext/misc/appendvfs.c,163,FP,signature fixed by xFullPathname typedef; nOut already conveys capacity of zOut,b15-adjudicator,high
API02-C,4,sqlite,ext/misc/appendvfs.c,165,FP,signature fixed by xDlError typedef; nByte already conveys buffer capacity,b15-adjudicator,high
API02-C,5,sqlite,ext/misc/appendvfs.c,168,FP,signature fixed by xRandomness typedef; nByte already conveys buffer capacity,b15-adjudicator,high
CON03-C,6,sqlite,ext/misc/appendvfs.c,177,FP,"apnd_vfs is a static dispatch-table registered once at init; sqlite3_vfs_register handles its own locking, no data race",b15-adjudicator,high
DCL40-C,7,sqlite,ext/misc/appendvfs.c,235,FP,"sqlite_int64 vs sqlite3_int64 are the same typedef; declaration matches io_methods contract, not incompatible",b15-adjudicator,high
INT32-C,8,sqlite,ext/misc/appendvfs.c,243,FP,"paf->iPgOne validated in apndReadMark to <= sz-25-512 within 1GiB file; iOfst from pager bounded, sum cannot overflow int64",b15-adjudicator,med
EXP05-C,9,sqlite,ext/misc/appendvfs.c,261,FP,"no const cast at line 261; a[] is local unsigned char buffer written via memcpy, not a const-stripping cast",b15-adjudicator,high
INT32-C,10,sqlite,ext/misc/appendvfs.c,266,FP,iWriteEnd bounded by APND_MAX_SIZE check upstream (apndWrite) and iPgOne<1GiB; int64 sum cannot overflow,b15-adjudicator,med
DCL40-C,11,sqlite,ext/misc/appendvfs.c,277,FP,"sqlite_int64/sqlite3_int64 identical typedef; matches xWrite contract, not incompatible",b15-adjudicator,high
INT32-C,12,sqlite,ext/misc/appendvfs.c,284,FP,"iOfst+iAmt both bounded (iAmt is page size, iOfst pager offset) and result checked against APND_MAX_SIZE same line region; no realistic int64 overflow",b15-adjudicator,med
INT32-C,13,sqlite,ext/misc/appendvfs.c,292,FP,"iPgOne validated <1GiB by apndReadMark bound, iOfst pager-bounded; int64 sum safe",b15-adjudicator,med
DCL40-C,14,sqlite,ext/misc/appendvfs.c,298,FP,sqlite_int64/sqlite3_int64 identical typedef; matches xTruncate contract,b15-adjudicator,high
DCL13-C,15,sqlite,ext/misc/appendvfs.c,319,FP,"pFile is reassigned via ORIGFILE(pFile) and dereferenced through pMethods; object reached is mutated by xclose path, const would be wrong; signature fixed by typedef anyway",b15-adjudicator,high
DCL40-C,16,sqlite,ext/misc/appendvfs.c,319,FP,sqlite_int64/sqlite3_int64 identical typedef; matches xFileSize contract,b15-adjudicator,high
INT32-C,17,sqlite,ext/misc/appendvfs.c,321,FP,iMark and iPgOne both validated/bounded under 1GiB by apndReadMark; subtraction cannot overflow int64,b15-adjudicator,med
INT32-C,18,sqlite,ext/misc/appendvfs.c,356,FP,iPgOne bounded <1GiB; FCNTL_SIZE_HINT arg is a sane file size; int64 add cannot overflow,b15-adjudicator,med
INT32-C,19,sqlite,ext/misc/appendvfs.c,422,FP,"apndFetch guards iOfst+iAmt<=p->iMark and iMark<sz<1GiB before this add; iPgOne bounded, sum safe",b15-adjudicator,med
INT32-C,20,sqlite,ext/misc/appendvfs.c,429,FP,apndUnfetch iOfst mirrors a prior validated fetch offset; iPgOne bounded <1GiB; int64 sum safe,b15-adjudicator,med
INT13-C,21,sqlite,ext/misc/appendvfs.c,451,FP,msbs is a controlled loop counter 56..0 not attacker data; left-shift of masked 7-bit value by <=56 fits in int64,b15-adjudicator,high
