project,file,line,rule,verdict,reason
pureftpd,src/log_mysql.c,7,PRE08-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,54,MEM10-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,59,MEM02-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,59,INT32-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,63,DCL06-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,283,EXP02-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,286,MEM02-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,305,API00-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,305,API00-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,305,API00-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,305,API00-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,336,DCL06-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,357,DCL06-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,358,DCL06-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,359,EXP14-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
pureftpd,src/log_mysql.c,473,ERR01-C,FP,"Adversarially re-verified (task 467, >=3 independent skeptics per finding, majority vote, 2026-08-26): original single-pass TP verdict refuted on re-read of the code (and, for ERR01-C/ERR30-C/ERR33-C, sqc rule-source cross-check)."
