rule,idx,project,file,line,verdict,reason,provenance,confidence
API00-C,0,sqlite,src/vdbeaux.c,25,FP,pParse non-null by caller contract (codegen always supplies Parse); db deref relies on internal precondition,,high
EXP08-C,1,sqlite,src/vdbeaux.c,30,FP,"&p->aOp uses offsetof member addressing, standard struct-tail zeroing, not raw byte ptr arithmetic",,high
INT30-C,2,sqlite,src/vdbeaux.c,30,FP,"sizeof(Vdbe) > offsetof(Vdbe,aOp) since aOp is last member; subtraction cannot underflow",,high
INT32-C,3,sqlite,src/vdbeaux.c,30,FP,"memset size is compile-time constant struct-tail size, far below SIZE_MAX",,high
DCL30-C,4,sqlite,src/vdbeaux.c,46,FP,p is heap-allocated via sqlite3DbMallocRawNN; returning it is not returning automatic storage,,high
DCL13-C,5,sqlite,src/vdbeaux.c,52,FP,"p read-only in sqlite3VdbeParser; const Vdbe* compiles, low-value lexical flag",,med
API00-C,6,sqlite,src/vdbeaux.c,59,FP,p non-null by callers reporting errors on a live Vdbe; internal contract,,high
MEM30-C,7,sqlite,src/vdbeaux.c,63,FP,"p->db is the allocator handle passed to sqlite3DbFree, not the freed object",,high
API00-C,8,sqlite,src/vdbeaux.c,70,FP,"z is a data param; sqlite3DbStrNDup is NULL-tolerant, p is NULL-checked",,high
API00-C,9,sqlite,src/vdbeaux.c,84,FP,p explicitly NULL-checked at line 85 before any dereference,,high
STR34-C,10,sqlite,src/vdbeaux.c,86,FP,"sqlite3Strlen30(z) is strlen-style length, no char sign-extension defect in semantics",,high
ARR39-C,11,sqlite,src/vdbeaux.c,88,FP,sizeof(*pStr)+n+1-sizeof(pStr->z) is the standard flexible-array struct-hack size,,high
INT30-C,12,sqlite,src/vdbeaux.c,88,FP,"sizeof(*pStr)+n+1 always >= sizeof(pStr->z)=8, subtraction never underflows",,high
INT30-C,13,sqlite,src/vdbeaux.c,88,FP,n bounded <2^30 by Strlen30; sizeof+n cannot wrap size_t,,high
ARR38-C,14,sqlite,src/vdbeaux.c,92,FP,memcpy size n+1 matches allocation (z[8] + n+1 - 8); size calc valid,,high
EXP05-C,15,sqlite,src/vdbeaux.c,92,FP,"n+1 is plain int arithmetic, no const qualifier cast away",,high
INT31-C,16,sqlite,src/vdbeaux.c,92,FP,"n non-negative and <2^30, conversion to size_t is value-preserving",,high
DCL13-C,17,sqlite,src/vdbeaux.c,104,FP,"pVdbe read-only; const Vdbe* compiles, low-value lexical flag",,med
API00-C,18,sqlite,src/vdbeaux.c,127,FP,pA non-null by reprepare caller; assert pA->db==pB->db dominates,,high
API00-C,19,sqlite,src/vdbeaux.c,127,FP,pB non-null by same reprepare caller contract,,high
MEM33-C,20,sqlite,src/vdbeaux.c,132,FP,*pA=*pB whole-struct swap is intentional; flexible aOp content not copied by value,,high
DCL30-C,21,sqlite,src/vdbeaux.c,133,FP,"tmp holds *pA transiently; pointers re-swapped explicitly, no dangling address escapes",,high
ARR01-C,22,sqlite,src/vdbeaux.c,150,FP,"sizeof(pB->aCounter) is sizeof an array member of *pB, not a decayed parameter",,high
INT32-C,23,sqlite,src/vdbeaux.c,176,FP,2*(sqlite3_int64)nOpAlloc widened to 64-bit; nOpAlloc bounded by SQLITE_LIMIT_VDBE_OP,,high
INT32-C,24,sqlite,src/vdbeaux.c,177,FP,"(sqlite3_int64)nOpAlloc+nOp in 64-bit, both bounded small ints",,high
INT32-C,25,sqlite,src/vdbeaux.c,179,FP,same 64-bit doubling bounded by VDBE_OP limit checked at line 185,,high
INT30-C,26,sqlite,src/vdbeaux.c,192,FP,"nNew*sizeof(Op): nNew bounded by aLimit[VDBE_OP], product fits size_t",,high
MEM30-C,27,sqlite,src/vdbeaux.c,194,FP,"p->db is allocator handle for DbRealloc/OomFault, not freed memory",,high
CON07-C,28,sqlite,src/vdbeaux.c,213,FP,"static n is SQLITE_DEBUG-only single-thread debug counter, no real concurrency",,high
DCL13-C,29,sqlite,src/vdbeaux.c,213,FP,pOp is (void)pOp unused in debug stub; const irrelevant,,med
CON03-C,30,sqlite,src/vdbeaux.c,214,FP,"n is debug-only counter under SQLITE_DEBUG, not a real shared variable",,high
ERR05-C,31,sqlite,src/vdbeaux.c,218,FP,"abort() only on n==LARGEST_UINT64, an unreachable warning-suppression branch",,high
MSC04-C,32,sqlite,src/vdbeaux.c,227,FP,growOp3->AddOp3->growOp3 recursion bounded one level; growOpArray guarantees nOpAlloc>nOp,,high
API00-C,33,sqlite,src/vdbeaux.c,266,FP,p non-null by codegen caller contract; accessed under VDBE_INIT_STATE assert,,high
API00-C,34,sqlite,src/vdbeaux.c,269,FP,"p non-null by codegen caller contract, same as AddOp3",,high
MSC04-C,35,sqlite,src/vdbeaux.c,272,FP,"indirect recursion bounded: after grow, AddOp3 takes non-grow path; one level",,high
EXP34-C,36,sqlite,src/vdbeaux.c,276,FP,p validated by callers; growOp3 guarantees allocation before nOp access,,high
INT32-C,37,sqlite,src/vdbeaux.c,283,FP,"p->nOp bounded by SQLITE_LIMIT_VDBE_OP, never near INT_MAX",,high
INT32-C,38,sqlite,src/vdbeaux.c,332,FP,same nOp VDBE_OP bound; increment cannot reach INT_MAX,,high
API00-C,39,sqlite,src/vdbeaux.c,369,FP,p non-null by caller; delegates to AddOp3 under same contract,,high
API00-C,40,sqlite,src/vdbeaux.c,391,FP,"iDest is a register index bounded by Parse allocation, not unbounded input",,high
INT32-C,41,sqlite,src/vdbeaux.c,399,FP,iDest+i: bounded register index plus zTypes-length i; far below INT_MAX,,high
INT32-C,42,sqlite,src/vdbeaux.c,401,FP,same bounded register-index arithmetic,,high
EXP05-C,43,sqlite,src/vdbeaux.c,454,FP,(FuncDef*)pFunc cast for freeEphemeralFunction ownership; idiomatic intentional const cast,,med
EXP05-C,44,sqlite,src/vdbeaux.c,458,FP,"(FuncDef*)pFunc stored into pCtx->pFunc; intentional const cast, FuncDef used non-const downstream",,med
DCL13-C,45,sqlite,src/vdbeaux.c,493,FP,"pParse only read in ExplainParent; const compiles, low-value flag",,med
EXP34-C,46,sqlite,src/vdbeaux.c,497,FP,addrExplain!=0 guard at 495 ensures GetOp returns a valid non-null op,,high
API00-C,47,sqlite,src/vdbeaux.c,517,FP,pParse non-null by codegen caller contract,,high
API00-C,48,sqlite,src/vdbeaux.c,548,FP,pParse non-null by caller; delegates to ExplainParent,,high
API00-C,49,sqlite,src/vdbeaux.c,562,FP,p non-null by schema-codegen caller contract,,high
API00-C,50,sqlite,src/vdbeaux.c,562,FP,"zWhere is an ownership-transfer data string, NULL handled by P4_DYNAMIC path",,high
API00-C,51,sqlite,src/vdbeaux.c,610,FP,pParse non-null by codegen caller contract,,high
INT32-C,52,sqlite,src/vdbeaux.c,611,FP,"nLabel is negative label count bounded by query size, far from INT_MIN",,high
DCL13-C,53,sqlite,src/vdbeaux.c,619,FP,"v read-only in resizeResolveLabel; const compiles, low-value flag",,med
INT32-C,54,sqlite,src/vdbeaux.c,620,FP,"10 - p->nLabel = 10 + label count, bounded by query size; no overflow",,high
ARR01-C,55,sqlite,src/vdbeaux.c,622,FP,"sizeof(p->aLabel[0]) is sizeof the int element type, not a decayed parameter",,high
INT30-C,56,sqlite,src/vdbeaux.c,622,FP,"nNewSize*sizeof(int): nNewSize bounded by query label count, fits size_t",,high
MEM30-C,57,sqlite,src/vdbeaux.c,622,FP,p->aLabel reassigned from ReallocOrFree then NULL-checked at 623 before deref; no UAF,,high
MEM30-C,58,sqlite,src/vdbeaux.c,623,FP,aLabel write at 628 is in else-branch where realloc succeeded; valid memory,,high
MEM30-C,59,sqlite,src/vdbeaux.c,628,FP,"nLabelAlloc is an int field, not a freed pointer; misread",,high
MEM30-C,60,sqlite,src/vdbeaux.c,628,FP,aLabel[i] write at 628 inside else after successful realloc; valid,,high
MEM30-C,61,sqlite,src/vdbeaux.c,630,FP,"nLabelAlloc is an int field assignment, no freed memory",,high
ARR00-C,62,sqlite,src/vdbeaux.c,634,FP,j=ADDR(x) bounded by dominating asserts j>=0 and j<-p->nLabel; in-bounds,,high
ARR30-C,63,sqlite,src/vdbeaux.c,634,FP,j validated by asserts at 641-642 against allocated label count,,high
MEM30-C,64,sqlite,src/vdbeaux.c,634,FP,aLabel[j] write at 634 in else-branch after successful realloc; valid,,high
INT32-C,65,sqlite,src/vdbeaux.c,641,FP,"-p->nLabel: nLabel negative bounded by label count, negation cannot hit -INT_MIN",,high
INT14-C,66,sqlite,src/vdbeaux.c,644,FP,"ADDR(x)=~x plus index arithmetic is intentional label encoding, readability noise",,high
DCL11-C,67,sqlite,src/vdbeaux.c,645,FP,"printf(""%d"", x) with x of type int; format matches argument exactly",,high
INT32-C,68,sqlite,src/vdbeaux.c,714,FP,"p->iSub-1 only reached in else of iSub==0, so iSub>=1; no underflow",,high
INT32-C,69,sqlite,src/vdbeaux.c,715,FP,same iSub-1 guarded by iSub!=0 branch,,high
