rule,project,file,line,verdict,reason,provenance,confidence
MSC13-C,mosquitto,src/handle_connect.c,336,TP,"On every reachable path from the ""int rc = MOSQ_ERR_SUCCESS"" init, rc is unconditionally overwritten (line 346, 350, or 361) before any read, and the initial value is never returned or tested anywhere in will__read.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,340,TP,"will_topic_mount is initialized to NULL but is only ever touched again inside the ""if(context->listener->mount_point)"" block (assigned at line 374 then used), so the initial NULL is never read before being overwritten or the function returning.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,893,TP,"i is initialized to -1 then immediately overwritten by X509_NAME_get_index_by_NID at line 896 with no intervening read of the -1 sentinel.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,894,TP,"name_entry is initialized to NULL but the first thing done with it is an unconditional overwrite via X509_NAME_get_entry at line 900, so the NULL is never read.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,905,TP,"name_asn1 is initialized to NULL then immediately overwritten by X509_NAME_ENTRY_get_data at line 906 before any read of the NULL.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,926,TP,"client_cert = NULL at the success label is a defensive nulling that is never read afterward since the function returns MOSQ_ERR_SUCCESS on the very next line.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,940,TP,"subject is initialized to NULL and not touched again until it is unconditionally overwritten by mosquitto_malloc at line 949, with no read of the NULL in between.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,941,TP,"data_start is initialized to NULL, reassigned to NULL again at line 947, and only then passed by address to BIO_get_mem_data as an output parameter, so the line-941 value is never read.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,942,TP,"subject_bio is initialized to NULL then unconditionally overwritten by BIO_new at line 945 before any read of the NULL.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,943,TP,"name_length is initialized to 0 then unconditionally overwritten by BIO_get_mem_data at line 948 before the 0 is ever read.",msc13_delta_adjudication_0.4.207,high
MSC13-C,mosquitto,src/handle_connect.c,968,TP,"client_cert = NULL right before ""return MOSQ_ERR_SUCCESS"" at the end of set_username_from_cert_subject_name is a defensive nulling of a local that is never read again.",msc13_delta_adjudication_0.4.207,high
