rule,idx,project,file,line,verdict,reason,provenance,confidence
INT30-C,0,sqlite,ext/misc/series.c,187,FP,span64 uses type-pun unsigned subtraction by design with assert(a>=b) so the unsigned difference is the intended exact magnitude not a wrap bug,,high
DCL13-C,1,sqlite,ext/misc/series.c,220,FP,pUnused is a void* unused parameter cast (void) and the signature is fixed by the sqlite3_module xConnect function-pointer typedef so const cannot be added,,high
DCL13-C,2,sqlite,ext/misc/series.c,223,FP,pzErrUnused signature is fixed by the xConnect callback typedef so const-qualifying would break the required prototype,,high
EXP33-C,3,sqlite,ext/misc/series.c,242,FP,pNew is assigned from sqlite3_malloc and NULL-checked before any deref the EXP33 uninit claim misreads the assign-then-test,,high
MEM12-C,4,sqlite,ext/misc/series.c,243,FP,on NOMEM path SQLITE_NOMEM is returned and pNew is NULL so nothing leaks SQLite frees vtab via xDisconnect on success,,high
MEM12-C,5,sqlite,ext/misc/series.c,247,FP,allocated vtab is owned by SQLite and released through seriesDisconnect this is the documented vtab lifecycle not a leak,,high
DCL13-C,6,sqlite,ext/misc/series.c,261,FP,pUnused is unused void* param with signature fixed by xOpen typedef const not applicable,,high
EXP33-C,7,sqlite,ext/misc/series.c,264,FP,pCur is malloc-checked for NULL before deref via memset so not an uninitialized-pointer dereference,,high
MEM33-C,8,sqlite,ext/misc/series.c,267,FP,*ppCursor = &pCur->base is a pointer assignment of base-class address not a flexible-array struct copy MEM33 misfire,,high
DCL13-C,9,sqlite,ext/misc/series.c,302,FP,cur param signature fixed by xColumn callback typedef const cannot be applied,,high
DCL13-C,10,sqlite,ext/misc/series.c,327,FP,cur param signature fixed by xRowid callback typedef,,high
DCL13-C,11,sqlite,ext/misc/series.c,337,FP,cur param signature fixed by xEof callback typedef,,high
DCL13-C,12,sqlite,ext/misc/series.c,354,FP,pCur passed to seriesSteps is internal helper but it reads bDesc and member values; const-correct in principle yet the object semantics are read-only making the warning cosmetic not a defect,,high
INT33-C,13,sqlite,ext/misc/series.c,357,FP,iStep is set non-zero in seriesFilter (0 mapped to 1 or to LARGEST_INT64+1) so the divisor is never zero at this point,,high
INT33-C,14,sqlite,ext/misc/series.c,360,FP,same as 13 iStep guaranteed non-zero by seriesFilter normalization before seriesSteps is ever called,,high
FLP02-C,15,sqlite,ext/misc/series.c,383,FP,r!=r is the canonical NaN test the inequality is intentional not a precision-comparison bug,,high
FLP02-C,16,sqlite,ext/misc/series.c,387,FP,r==(double)x compares a double against the exact double round-trip of its int64 cast this exactness check is intentional ceil logic,,high
