rule,idx,project,file,line,verdict,reason
MSC12-C,0,sqlite,tool/lemon.c,231,FP,deliberate no-op while body `while((*dest++=*src++)!=0){}` - strcpy idiom, all work done in condition
MSC12-C,1,sqlite,ext/wasm/api/sqlite3-wasm.c,1474,FP,RC macro is an intentional debug-trace toggle (#if 0/#else empty define) reused 5x in this fn - scaffold not a bug
MSC12-C,2,hostap,src/p2p/p2p_i.h,1118,FP,misattribution - PRINTF_FORMAT(2,3); is the format-check attribute terminating the p2p_info() prototype, not a stray semicolon
MSC12-C,3,sqlite,src/build.c,1921,FP,deliberate no-op for loop `for(zStart++;isspace;zStart++){}` - trims whitespace via clauses, idiomatic scan loop
MSC12-C,4,curl,lib/vquic/vquic.c,204,FP,deliberate no-op while body `while(swrite()==-1 && EINTR);` - retry-on-EINTR idiom, work done in condition
MSC12-C,5,curl,lib/curl_trc.c,68,FP,deliberate empty default case with explicit /* nada */ comment - documented intentional no-op
MSC12-C,6,hostap,wpa_supplicant/dbus/dbus_new.h,474,FP,intentional empty stub function - part of a block of no-op D-Bus signal stubs for disabled feature build
MSC12-C,7,mosquitto,src/plugin_basic_auth.c,78,FP,deliberate empty if-branch with explicit /* Do nothing */ comment - documented intentional no-op
MSC12-C,8,sqlite,src/where.c,5246,FP,deliberate no-op for loop `for(j=0;...pTerm!=aLTerm[j];j++){}` - linear search idiom done via clauses
MSC12-C,9,hostap,src/common/proc_coord.c,384,FP,empty case (just break) for PROC_COORD_MSG_REQUEST - message type intentionally not handled in this dispatch function
MSC12-C,10,raylib,src/platforms/rcore_web_emscripten.c,291,FP,misattribution - line is inside an EM_ASM() embedded JavaScript block; sqc's C parser misreads the JS as an empty C statement
MSC12-C,11,lua,lvm.c,1947,FP,misattribution - flagged line is `luaT_getvararg(ci, ra, rc);`, a real function call with side effects, not empty
MSC12-C,12,curl,lib/mime.c,736,FP,deliberate empty case STOP_FILLING - named constant signals nothing further to do this round, idiomatic
MSC12-C,13,hostap,src/rsn_supp/wpa.c,3586,FP,misattribution - continue_fuzz2: label is followed by real code (ok=1;) once #ifdef TEST_FUZZ/#endif is preprocessed away
MSC12-C,14,mosquitto,lib/loop.c,202,FP,deliberate no-op while body draining sockpairR via recv() in the condition - all work done in condition, idiomatic drain loop
MSC12-C,15,curl,lib/content_encoding.c,434,FP,grouped case label (NEEDS_MORE_OUTPUT/NEEDS_MORE_INPUT share a break) - same grouped-case idiom the v0.4.143 fix targeted, residual
