rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE00-C,0,sqlite,ext/rbu/sqlite3rbu.c,110,TP,SWAP macro {TYPE t=A; A=B; B=t;} evaluates A and B multiple times across the assignments,,high
PRE01-C,1,sqlite,ext/rbu/sqlite3rbu.c,110,TP,TYPE parameter unparenthesized in macro replacement text per PRE01 literal check,,high
PRE01-C,2,sqlite,ext/rbu/sqlite3rbu.c,110,TP,A parameter unparenthesized in macro replacement text,,med
PRE01-C,3,sqlite,ext/rbu/sqlite3rbu.c,110,TP,B parameter unparenthesized in macro replacement text,,med
PRE10-C,4,sqlite,ext/rbu/sqlite3rbu.c,110,TP,SWAP is a multi-statement brace block not wrapped in do-while so it breaks in braceless if,,high
PRE12-C,5,sqlite,ext/rbu/sqlite3rbu.c,110,TP,SWAP expands A as both lvalue assignment target and rvalue initializer twice,,high
API01-C,6,sqlite,ext/rbu/sqlite3rbu.c,407,FP,zStateDb[5] is a fixed 4-char db name copied with bounded writes never overflowed so pointer corruption is not reachable,,med
ARR02-C,7,sqlite,ext/rbu/sqlite3rbu.c,510,FP,zValue[] is a fully brace-initialized static lookup table so the compiler fixes its size implicit bounds is intended,,high
EXP40-C,8,sqlite,ext/rbu/sqlite3rbu.c,523,FP,z is unsigned char* working copy of input not a const-correctness defect that breaks compilation,,high
INT14-C,9,sqlite,ext/rbu/sqlite3rbu.c,524,FP,INT14 readability only v<<6 plus c in varint decode is intended base64 accumulation,,high
INT08-C,10,sqlite,ext/rbu/sqlite3rbu.c,525,FP,c is the table-mapped digit value 0..63 not raw char arithmetic with overflow risk,,high
INT14-C,11,sqlite,ext/rbu/sqlite3rbu.c,525,FP,INT14 readability only on v,,high
INT32-C,12,sqlite,ext/rbu/sqlite3rbu.c,525,FP,v is unsigned int so (v<<6)+c is defined unsigned wrap not signed overflow accumulator is intended varint,,high
INT30-C,13,sqlite,ext/rbu/sqlite3rbu.c,525,FP,v is unsigned so v<<6 is well-defined modulo 2^32 by design of the fossil varint decoder,,high
INT07-C,14,sqlite,ext/rbu/sqlite3rbu.c,525,FP,INT07 style note c is int holding signed-char table value not a defect,,high
STR34-C,15,sqlite,ext/rbu/sqlite3rbu.c,529,FP,z cast to unsigned char* explicitly so 0x7f mask read is already unsigned no sign extension,,high
