rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE00-C,0,sqlite,src/vdbemem.c,24,TP,ISPOWEROF2(X) expands to ((X)&((X)-1))==0 which evaluates X twice; genuine multi-eval function-like macro,,high
PRE12-C,1,sqlite,src/vdbemem.c,24,TP,same macro multi-evaluates parameter X; PRE12 duplicate of PRE00 finding but valid,,high
API00-C,2,sqlite,src/vdbemem.c,33,FP,sqlite3VdbeCheckMemInvariants is a debug-only assert helper; p guaranteed non-null by internal caller contract not a trust boundary,,high
DCL13-C,3,sqlite,src/vdbemem.c,33,TP,p only read (asserts on p->flags/p->xDel etc); never written nor propagated as non-const so const would compile; debug-only function,,low
EXP34-C,4,sqlite,src/vdbemem.c,37,FP,p->flags access guarded by caller invariant (called inside assert with valid Mem); no null path,,high
INT14-C,5,sqlite,src/vdbemem.c,37,FP,MEM_Dyn is a flag bitmask constant; bitwise mask test then logical compare is intended flag testing not INT14 readability defect,,high
INT14-C,6,sqlite,src/vdbemem.c,37,FP,same flag-mask test on MEM_Dyn constant; intended bit-flag idiom,,high
INT14-C,7,sqlite,src/vdbemem.c,60,FP,MEM_Static flag-constant bit test; intended idiom not a defect,,high
INT14-C,8,sqlite,src/vdbemem.c,60,FP,MEM_Ephem flag-constant bit test; intended idiom,,high
EXP34-C,9,sqlite,src/vdbemem.c,108,FP,p->flags in vdbeMemRenderNum guarded by assert(p->flags & ...) and caller contract; non-null,,high
INT14-C,10,sqlite,src/vdbemem.c,108,FP,MEM_Int flag-mask bit test; intended idiom,,high
INT14-C,11,sqlite,src/vdbemem.c,108,FP,p->flags bit test on valid Mem; non-null by contract,,high
ARR30-C,12,sqlite,src/vdbemem.c,131,FP,"zBuf[acc.nChar] safe: StrAccum bounded by sz (>22 asserted, sz=sizeof(zBuf)); nChar<=mxAlloc bound, no OOB",,high
INT14-C,13,sqlite,src/vdbemem.c,164,FP,p->flags bit test; intended flag idiom,,high
ARR00-C,14,sqlite,src/vdbemem.c,190,FP,zBuf fully written by vdbeMemRenderNum (line 182) before the while loop reads it; not uninitialized,,high
ARR00-C,15,sqlite,src/vdbemem.c,191,FP,same zBuf populated by vdbeMemRenderNum before read at line 191; z[i] is p->z not zBuf,,high
INT32-C,16,sqlite,src/vdbemem.c,192,FP,i+=incr where incr is 1 or 2 and loop bounded by zBuf NUL terminator within 100-byte rendered numeric buffer; no overflow,,high
MSC37-C,17,sqlite,src/vdbemem.c,211,FP,sqlite3VdbeChangeEncoding all paths return (SQLITE_OK/NOMEM/ERROR/rc); analyzer missed conditional-compiled returns,,high
EXP34-C,18,sqlite,src/vdbemem.c,253,FP,pMem asserted non-null at line 215 before use; sqlite3VdbeChangeEncoding,,high
MEM30-C,19,sqlite,src/vdbemem.c,269,FP,"sqlite3VdbeMemGrow realloc pattern; pMem->zMalloc reassigned by ReallocOrFree, the live handle not a freed dangling read",,high
MEM30-C,20,sqlite,src/vdbemem.c,275,FP,pMem->db is the allocator context arg to sqlite3DbFreeNN/MallocRaw not the freed object; db never freed,,high
MEM30-C,21,sqlite,src/vdbemem.c,277,FP,pMem->zMalloc reassigned from sqlite3DbMallocRaw after free; reading the new allocation not freed memory,,high
MEM30-C,22,sqlite,src/vdbemem.c,283,FP,pMem->db is allocator handle context not freed object,,high
MEM30-C,23,sqlite,src/vdbemem.c,283,FP,pMem->zMalloc is the new MallocRaw result; not UAF,,high
MEM30-C,24,sqlite,src/vdbemem.c,286,FP,pMem->z reassigned/checked; null-set path; no use of freed pointer,,high
MEM30-C,25,sqlite,src/vdbemem.c,287,FP,pMem->z read after bPreserve guard and z!=0 check; points to old buffer still valid until memcpy then freed via xDel,,high
MEM30-C,26,sqlite,src/vdbemem.c,287,FP,pMem->zMalloc is freshly allocated dest of memcpy; not freed,,high
EXP43-C,27,sqlite,src/vdbemem.c,288,FP,"memcpy(zMalloc,z,n) sources are distinct buffers (assert z!=zMalloc at 287); no overlap; sqlite3ValueNew misattribution",,high
MEM30-C,28,sqlite,src/vdbemem.c,288,FP,pMem->zMalloc is the new allocation (memcpy dest); not freed,,high
MEM30-C,29,sqlite,src/vdbemem.c,288,FP,"pMem->z is old preserved buffer, distinct from zMalloc; valid read",,high
MEM30-C,30,sqlite,src/vdbemem.c,288,FP,pMem->n is an int field copy count not a freed pointer,,high
MEM30-C,31,sqlite,src/vdbemem.c,290,FP,pMem->flags is a bitfield not freed memory; MEM_Dyn check,,high
MEM30-C,32,sqlite,src/vdbemem.c,291,FP,pMem->xDel is a function-pointer field guarded by assert xDel!=0; not freed memory,,high
MEM30-C,33,sqlite,src/vdbemem.c,291,FP,pMem->xDel invoked as destructor on pMem->z; field not freed,,high
MEM30-C,34,sqlite,src/vdbemem.c,292,FP,pMem->xDel function pointer; not a freed allocation,,high
MEM30-C,35,sqlite,src/vdbemem.c,292,FP,pMem->z passed to xDel destructor; this is the intended free not a UAF read,,high
MEM30-C,36,sqlite,src/vdbemem.c,295,FP,pMem->zMalloc assigned to pMem->z at line 295 is the live new buffer; not freed,,high
EXP34-C,37,sqlite,src/vdbemem.c,315,FP,pMem->flags in sqlite3VdbeMemZeroTerminateIfAble; caller passes valid Mem; no null path,,high
EXP34-C,38,sqlite,src/vdbemem.c,336,FP,pMem->flags bit test on valid Mem (MakeWriteable context); non-null by contract,,high
INT14-C,39,sqlite,src/vdbemem.c,336,FP,pMem->flags bit-mask test; intended flag idiom,,high
EXP43-C,40,sqlite,src/vdbemem.c,373,FP,"sqlite3VdbeMemGrow takes (Mem*,int,int) no restrict qualifiers; single Mem pointer, no overlapping-region UB",,high
INT14-C,41,sqlite,src/vdbemem.c,416,FP,pMem->flags bit test in MemExpandBlob; intended idiom,,high
API00-C,42,sqlite,src/vdbemem.c,505,FP,pFunc non-null guaranteed by assert(pFunc!=0) at 508 and internal caller; not a trust boundary,,high
DCL13-C,43,sqlite,src/vdbemem.c,505,FP,pFunc stored into non-const ctx.pFunc field and called via pFunc->xFinalize; const would break assignment/call,,high
API00-C,44,sqlite,src/vdbemem.c,538,FP,pAccum asserted db!=0/mutex held; internal contract non-null,,high
API00-C,45,sqlite,src/vdbemem.c,538,FP,pOut passed to sqlite3VdbeMemSetNull which writes it; internal contract non-null,,high
API00-C,46,sqlite,src/vdbemem.c,538,FP,pFunc asserted non-null (508) and dereferenced via contract; not trust boundary,,high
DCL13-C,47,sqlite,src/vdbemem.c,538,FP,pAccum stored into non-const ctx.pMem field; const would break assignment,,high
DCL13-C,48,sqlite,src/vdbemem.c,538,FP,pFunc stored into non-const ctx.pFunc and called; const breaks usage,,high
EXP34-C,49,sqlite,src/vdbemem.c,566,FP,p in vdbeMemClearExternAndSetNull guarded by assert VdbeMemDynamic(p); internal helper non-null,,high
EXP34-C,50,sqlite,src/vdbemem.c,592,FP,p in vdbeMemClear from sqlite3VdbeMemRelease; caller passes valid Mem,,high
