rule,project,file,line,verdict,reason,provenance,confidence
ARR38-C,sqlite,ext/misc/sha1.c,220,FP,"memcpy(zOut, digest, 20) copies a fixed 20-byte SHA1 digest into zOut, a size the API contract guarantees is large enough; hardcoded size matches the fixed source exactly.",delta_lt1_task548,medium
ARR38-C,sqlite,src/where.c,2469,FP,"strncmp(zName, ""sqlite_autoindex_"", 17) compares against a 17-char string literal (strlen match); strncmp stops at NUL so no over-read risk.",delta_lt1_task548,high
DCL03-C,sqlite,ext/fts5/fts5_tcl.c,1210,TP,"assert( 0 ) argument is the literal constant 0, a compile-time constant expression.",delta_lt1_task548,medium
DCL03-C,sqlite,ext/fts5/fts5_tcl.c,548,TP,"assert( 0 ) at the switch default: case is a literal constant-expression argument to assert(), a genuine (if minor) static_assert() candidate by the rule's mechanical test.",delta_lt1_task548,medium
DCL03-C,sqlite,ext/fts5/fts5_tcl.c,965,TP,"assert( 0 ) argument is the literal constant 0, a compile-time constant expression.",delta_lt1_task548,medium
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,268,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,276,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,284,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,294,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,306,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,314,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,326,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,334,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,349,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,354,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,367,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,379,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,393,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,404,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,426,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,432,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
DCL41-C,sqlite,ext/fts5/fts5_tcl.c,441,FP,"Line is a `CASE(n, ""..."")` macro invocation that expands to `case n: assert(...)`; the tool's macro-blind parser doesn't see the real case label, misreading it as a statement before the first case.",delta_lt1_task548,high
