rule,project,file,line,verdict,reason,provenance,confidence
MEM31-C,mosquitto,src/plugin_public.c,232,FP,"msg=mosquitto_malloc() in mosquitto_broker_publish(); freed on both OOM error paths (lines 242,251) and on success DL_APPEND(db.plugin_msgs, msg) transfers ownership to the persistent plugin-message list.",delta_mem31_task420,high
MEM31-C,mosquitto,src/plugin_public.c,240,FP,"msg->clientid=mosquitto_strdup(); freed at line 250 on the topic-strdup-failure path, otherwise stored in msg which is DL_APPEND'd into db.plugin_msgs (ownership transfer).",delta_mem31_task420,high
MEM31-C,mosquitto,src/plugin_public.c,248,FP,msg->topic=mosquitto_strdup(); on success stored in msg which is DL_APPEND'd into db.plugin_msgs (ownership transfer); NULL on failure so nothing to free.,delta_mem31_task420,high
MEM31-C,mosquitto,src/plugin_public.c,252,FP,Flagged return is the NOMEM path (line 252) which already freed msg->clientid (line 250) and msg (line 251) immediately before returning.,delta_mem31_task420,high
MEM31-C,mosquitto,src/plugin_public.c,263,FP,"Success return; msg/msg->clientid/msg->topic all live inside msg which was DL_APPEND'd to the persistent db.plugin_msgs list at line 260 (ownership transfer, not a leak).",delta_mem31_task420,high
MEM31-C,mosquitto,src/plugin_public.c,263,FP,"Success return; msg/msg->clientid/msg->topic all live inside msg which was DL_APPEND'd to the persistent db.plugin_msgs list at line 260 (ownership transfer, not a leak).",delta_mem31_task420,high
MEM31-C,mosquitto,src/plugin_public.c,263,FP,"Success return; msg/msg->clientid/msg->topic all live inside msg which was DL_APPEND'd to the persistent db.plugin_msgs list at line 260 (ownership transfer, not a leak).",delta_mem31_task420,high
MEM31-C,mosquitto,src/plugin_public.c,322,FP,"u_dup=mosquitto_strdup() in mosquitto_set_username(); assigned to client->username (line 335-ish, persistent struct field) and old value freed; ownership transfer to context, freed later via context cleanup.",delta_mem31_task420,high
MEM31-C,mosquitto,src/plugin_public.c,508,FP,"context=context__init() in mosquitto_persist_client_add(); on every subsequent error path this function returns via 'error:' without touching context (none of those paths follow context__init failing), and on success context__add_to_by_id(context) hangs it off db.contexts_by_id (persistent hash, ownership transfer, freed at broker shutdown/context cleanup).",delta_mem31_task420,high
MEM31-C,mosquitto,src/psk_file.c,145,FP,"psk=mosquitto_calloc() in psk_file parse loop; freed via psk__free_item() on every error branch (154,165,172,179) or HASH_ADD_KEYPTR'd into *root on success (line 176) - ownership transfer to persistent hash.",delta_mem31_task420,high
MEM31-C,mosquitto,src/psk_file.c,152,FP,"psk->username=mosquitto_strdup(); freed via psk__free_item(psk) at line 154 on failure, or persisted via HASH_ADD_KEYPTR at line 176 on success.",delta_mem31_task420,high
MEM31-C,mosquitto,src/psk_file.c,157,FP,"Flagged return (line 157, NOMEM) is reached immediately after psk__free_item(psk) at line 154 already freed psk and its fields.",delta_mem31_task420,high
MEM31-C,mosquitto,src/psk_file.c,169,FP,"psk->password=mosquitto_strdup(); freed via psk__free_item(psk) at line 172 on failure, or persisted via HASH_ADD_KEYPTR at line 176 on success.",delta_mem31_task420,high
MEM31-C,mosquitto,src/psk_file.c,187,FP,"Loop-exit return; the psk/username/password referenced are from the final loop iteration, which was already either freed via psk__free_item() or HASH_ADD_KEYPTR'd into the persistent PSK hash within the loop body - stale taint after per-iteration disposition, not a leak.",delta_mem31_task420,high
MEM31-C,mosquitto,src/psk_file.c,187,FP,"Loop-exit return; the psk/username/password referenced are from the final loop iteration, which was already either freed via psk__free_item() or HASH_ADD_KEYPTR'd into the persistent PSK hash within the loop body - stale taint after per-iteration disposition, not a leak.",delta_mem31_task420,high
MEM31-C,mosquitto,src/psk_file.c,187,FP,"Loop-exit return; the psk/username/password referenced are from the final loop iteration, which was already either freed via psk__free_item() or HASH_ADD_KEYPTR'd into the persistent PSK hash within the loop body - stale taint after per-iteration disposition, not a leak.",delta_mem31_task420,high
MEM31-C,mosquitto,src/read_handle.c,60,FP,"rc=handle__publish(context) is an int MOSQ_ERR_* status code, not an allocation; handle__publish's own return value carries no heap pointer.",delta_mem31_task420,high
MEM31-C,mosquitto,src/read_handle.c,72,FP,Same rc (int status from handle__publish) flagged as leaked at the switch's implicit exit; not an allocation.,delta_mem31_task420,high
MEM31-C,mosquitto,src/read_handle.c,79,FP,"rc=handle__subscribe(context) is an int MOSQ_ERR_* status code, not an allocation.",delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,60,FP,retainhier=retain__add_hier_entry(...) in retain__init(); the callee itself HASH_ADD()s the new node into *sibling (db.retains) before returning it (retain.c:50) - ownership already transferred to the persistent retain hash tree at allocation time.,delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,65,FP,Same pattern as line 60: retain__add_hier_entry HASH_ADD()s the node into db.retains internally; not a local leak.,delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,70,FP,Success return in retain__init(); both retainhier values from lines 60/65 were already HASH_ADD'd into db.retains inside retain__add_hier_entry.,delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,165,FP,"branch=retain__add_hier_entry(...) in retain__store(); HASH_ADD()s into retainhier->children inside the callee before returning - ownership transfer to the hash tree, not a local.",delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,165,FP,retainhier (from earlier HASH_FIND/retain__add_hier_entry at line 155) already lives in db.retains via HASH_ADD inside the callee; not a local leak at this line.,delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,167,FP,"NOMEM return in retain__store(); branch creation failed (branch==NULL) so nothing new was allocated to leak, and retainhier is already hash-tree-owned.",delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,186,FP,"Early SUCCESS return (retainhier->retained==base_msg dedupe case); branch/retainhier are hash-tree nodes owned by db.retains/retainhier->children, not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,186,FP,Same hash-tree ownership as above for retainhier at this return.,delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,214,FP,"Final SUCCESS return of retain__store(); branch/retainhier remain owned by the persistent retain hash tree (HASH_ADD'd inside retain__add_hier_entry at allocation time), freed later via retain__clean_empty_hierarchy or at shutdown.",delta_mem31_task420,high
MEM31-C,mosquitto,src/retain.c,214,FP,Same hash-tree ownership as above.,delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,39,FP,"db.config->...->pid=mosquitto_calloc() writes into a persistent listener/security_options config struct field (long-lived global config, not a local); freed in mosquitto_security_cleanup_default() (frees ->pid->plugin_name/->pid at security_default.c:92-94/99).",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,44,FP,pid->plugin_name=mosquitto_strdup() stored into the same persistent config struct field; freed in mosquitto_security_cleanup_default() (line 92).,delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,49,FP,db.config->security_options.pid=mosquitto_calloc() into persistent global config struct; freed in mosquitto_security_cleanup_default() (line 99+).,delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,52,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,52,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,54,FP,db.config->security_options.pid->plugin_name=mosquitto_strdup() into persistent global config struct field; freed in mosquitto_security_cleanup_default().,delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,60,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,60,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,60,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,60,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,65,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,65,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,65,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,65,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
MEM31-C,mosquitto,src/security_default.c,70,FP,"Flagged return in mosquitto_security_init_default(); all four pid/plugin_name fields are persistent config-struct fields (db.config->listeners[i].security_options->pid[...] / db.config->security_options.pid[...]) freed later in mosquitto_security_cleanup_default(), not orphaned locals.",delta_mem31_task420,high
