rule,idx,project,file,line,verdict,reason,provenance,confidence
INT31-C,1,sqlite,ext/fts3/fts3_hash.c,41,FP,"n comes from sizeof-based internal alloc sizes (Fts3HashElem, htbucket array, nKey); never negative, sqlite3_malloc64 takes i64 and memset bounds match alloc",b15-adjudicator,high
API00-C,2,sqlite,ext/fts3/fts3_hash.c,59,FP,"pNew validated by assert(pNew!=0); contract requires caller pass valid struct, no untrusted ptr",b15-adjudicator,high
API00-C,3,sqlite,ext/fts3/fts3_hash.c,74,FP,"pH validated by assert(pH!=0); internal contract, not attacker-controlled",b15-adjudicator,high
DCL00-C,4,sqlite,ext/fts3/fts3_hash.c,99,FP,h at line 99 is reassigned in the while loop (h=(h<<3)^h^*z); not const-eligible (sqc misread),b15-adjudicator,med
INT13-C,5,sqlite,ext/fts3/fts3_hash.c,102,FP,"h is unsigned at line 99 (unsigned h=0); shift/xor on unsigned is well-defined, no signed bitwise issue",b15-adjudicator,high
INT13-C,6,sqlite,ext/fts3/fts3_hash.c,105,FP,h is unsigned (line 99); masking unsigned is defined and intended,b15-adjudicator,high
INT31-C,7,sqlite,ext/fts3/fts3_hash.c,109,FP,"n1 is key length, equals n2 (checked) and bounded by stored nKey; strncmp size non-negative for valid keys",b15-adjudicator,high
DCL00-C,8,sqlite,ext/fts3/fts3_hash.c,116,FP,h at line 116 is modified in loop (h=(h<<3)^h^*z); not const-eligible,b15-adjudicator,med
INT32-C,9,sqlite,ext/fts3/fts3_hash.c,118,FP,"nKey-- bounded by loop nKey>0; for normal token lengths far from INT_MIN, not reachable with INT_MIN",b15-adjudicator,high
INT13-C,10,sqlite,ext/fts3/fts3_hash.c,119,TP,fts3BinHash uses signed int h with (h<<3)^h on signed int; left shift of negative/overflow is technically UB per INT13/INT32 but practically benign hash,b15-adjudicator,med
INT32-C,11,sqlite,ext/fts3/fts3_hash.c,119,TP,h<<3 on signed int h in fts3BinHash can overflow into sign bit (UB); genuine signed-shift defect though hash-benign,b15-adjudicator,med
INT13-C,12,sqlite,ext/fts3/fts3_hash.c,121,FP,final return h & 0x7fffffff masks to non-negative; signed-& is defined and intended to clear sign bit,b15-adjudicator,high
INT31-C,13,sqlite,ext/fts3/fts3_hash.c,125,FP,"n1==n2 checked at line 124 before memcmp; n1 is bounded stored key length, non-negative",b15-adjudicator,high
INT14-C,14,sqlite,ext/fts3/fts3_hash.c,201,FP,"new_size used in & and arithmetic is readability heuristic only, not a defect; power-of-2 asserted",b15-adjudicator,low
INT30-C,15,sqlite,ext/fts3/fts3_hash.c,202,FP,"new_size is internal power-of-2 (8, then doubling), tiny; new_size*sizeof bounded, sqlite3_malloc64 caps; no attacker control of new_size",b15-adjudicator,high
