rule,idx,project,file,line,verdict,reason
MSC12-C,0,sel4,src/api/syscall.c,557,FP,"SCHED_APPEND_CURRENT_TCB is a scheduler macro with a real effect under CONFIG_KERNEL_MCS -- hidden by macro expansion."
MSC12-C,1,sel4,src/arch/arm/32/kernel/vspace.c,1993,TP,"Genuine stray double semicolon after a function-call statement."
MSC12-C,2,sel4,src/arch/arm/32/machine/capdl.c,96,FP,"case 0b01: break; groups with the next case label -- shared-body switch idiom."
MSC12-C,3,sel4,src/arch/arm/32/model/statedata.c,43,TP,"Genuine stray double semicolon after a global array declaration (same as idx 1 in the original 0.4.222 sample)."
MSC12-C,4,sel4,src/arch/arm/32/object/objecttype.c,256,FP,"default: break; -- deliberate no-op default case."
MSC12-C,5,sel4,src/arch/arm/64/kernel/thread.c,36,FP,"Arch_activateIdleThread body is a documented no-op stub ('Don't need to do anything')."
MSC12-C,6,sel4,src/arch/arm/64/kernel/vspace.c,571,FP,"Misattribution: a return statement's expression split across a #ifndef/#endif line; tree-sitter (no preprocessor) leaves the remainder as an orphan expression_statement. Not actually a discarded value -- it's the tail of `return ... + ...;`."
MSC12-C,7,sel4,src/arch/arm/64/machine/capdl.c,350,FP,"Grouped case label falls through to a shared break -- deliberate."
MSC12-C,8,sel4,src/arch/arm/c_traps.c,200,FP,"NODE_LOCK_SYS is a macro that acquires the big kernel lock on SMP builds -- hidden real effect."
MSC12-C,9,sel4,src/arch/arm/machine/l2c_nop.c,13,FP,"Documented no-op platform stub (this platform has no L2 cache controller)."
MSC12-C,10,sel4,src/arch/arm/machine/l2c_nop.c,16,FP,"Same platform-stub pattern as idx 9."
MSC12-C,11,sel4,src/arch/riscv/c_traps.c,119,FP,"Same NODE_LOCK_SYS macro-hidden-effect FP as idx 8."
MSC12-C,12,sel4,src/arch/riscv/c_traps.c,189,FP,"Same NODE_LOCK_SYS macro-hidden-effect FP as idx 8."
MSC12-C,13,sel4,src/arch/riscv/kernel/thread.c,49,FP,"Arch_activateIdleThread documented no-op stub ('Don't need to do anything')."
MSC12-C,14,sel4,src/arch/riscv/machine/hardware.c,273,FP,"handleSpuriousIRQ documented no-op stub ('Do nothing')."
MSC12-C,15,sel4,src/arch/riscv/object/objecttype.c,112,FP,"case cap_asid_control_cap: break; deliberate no-op case."
MSC12-C,16,sel4,src/arch/riscv/object/objecttype.c,205,FP,"'Empty' else-branch contains AUXUPD/GHOSTUPD formal-verification annotation comments, not dead code -- misattribution."
MSC12-C,17,sel4,src/arch/x86/32/c_traps.c,24,FP,"Same NODE_LOCK_SYS macro-hidden-effect FP as idx 8."
MSC12-C,18,sel4,src/arch/x86/32/c_traps.c,104,FP,"NODE_UNLOCK_IF_HELD macro-hidden-effect FP."
MSC12-C,19,sel4,src/arch/x86/32/kernel/thread.c,43,FP,"Documented no-op stub ('Don't need to do anything')."
MSC12-C,20,sel4,src/arch/x86/64/c_traps.c,19,FP,"Same NODE_LOCK_SYS macro-hidden-effect FP as idx 8."
MSC12-C,21,sel4,src/arch/x86/64/kernel/thread.c,60,FP,"Documented no-op stub."
MSC12-C,22,sel4,src/arch/x86/64/machine/capdl.c,331,FP,"Grouped case cap_pml4_cap: falls through to a shared, commented break."
MSC12-C,23,sel4,src/arch/x86/64/object/objecttype.c,191,FP,"AUXUPD/GHOSTUPD verification-annotation misattribution, else branch (X64SmallPageObject)."
MSC12-C,24,sel4,src/arch/x86/64/object/objecttype.c,209,FP,"AUXUPD/GHOSTUPD verification-annotation misattribution, if branch (X64LargePageObject)."
MSC12-C,25,sel4,src/arch/x86/c_traps.c,160,FP,"Same NODE_LOCK_SYS macro-hidden-effect FP as idx 8."
MSC12-C,26,sel4,src/arch/x86/kernel/smp_sys.c,139,FP,"Same NODE_LOCK_SYS macro-hidden-effect FP as idx 8."
MSC12-C,27,sel4,src/arch/x86/kernel/thread.c,15,FP,"Documented no-op stub."
MSC12-C,28,sel4,src/arch/x86/kernel/thread.c,20,FP,"Documented no-op stub."
MSC12-C,29,sel4,src/arch/x86/object/vcpu.c,1348,FP,"Same NODE_LOCK_SYS macro-hidden-effect FP as idx 8."
MSC12-C,30,sel4,src/drivers/timer/omap3430-timer.c,40,FP,"while (!timer->tistat); -- busy-wait poll, but a BARE field read with no comparison operator, so it's outside the task 473 fix's deliberately narrow scope (kept flagged to avoid conflating with a genuinely forgotten loop body)."
MSC12-C,31,sel4,src/kernel/boot.c,24,FP,"Misattribution: line is a BOOT_BSS-decorated global declaration ('rootserver_mem_t rootserver;'), not a statement -- the attribute macro confuses the no-effect-expression check the same way it does elsewhere in this codebase."
MSC12-C,32,sel4,src/kernel/thread.c,383,FP,"SCHED_ENQUEUE_CURRENT_TCB macro-hidden-effect FP."
MSC12-C,33,sel4,src/object/endpoint.c,493,FP,"case EPState_Recv: break; deliberate no-op case (falls through to shared break with EPState_Idle)."
MSC12-C,34,sel4,src/plat/allwinnerA20/machine/l2cache.c,38,FP,"Documented no-op platform stub (no L2 cache on this platform)."
MSC12-C,35,sel4,src/plat/bcm2837/machine/intc.c,107,FP,"default: break; after commented fallthrough cases -- deliberate."
MSC12-C,36,sel4,src/plat/omap3/machine/hardware.c,27,FP,"cpu_initLocalIRQController documented no-op platform stub."
MSC12-C,37,sel4,src/plat/omap3/machine/l2cache.c,39,FP,"Documented no-op platform stub."
MSC12-C,38,sel4,src/smp/ipi.c,75,FP,"SCHED_ENQUEUE_CURRENT_TCB macro-hidden-effect FP."
MSC12-C,39,sel4,src/smp/ipi.c,188,FP,"IPI_MEM_BARRIER expands to a real memory-barrier instruction -- hidden by macro expansion."
