rule,project,file,line,verdict,reason,provenance,confidence
MSC01-C,mosquitto,lib/connect.c,205,FP,"AF_INET/AF_INET6 dispatch in get_address falls through to the existing `return 1` failure default when neither matches, which is the correct behavior, not an unhandled case.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/handle_connack.c,85,FP,"The rc==0 (success) implicit case simply continues normal CONNACK processing after the two explicit error-handling branches, which is correct.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/handle_pubrec.c,146,FP,"Implicit case is rc==MOSQ_ERR_SUCCESS, which correctly falls through to send__pubrel(); every other rc is explicitly handled.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/handle_pubrel.c,125,FP,"Implicit case is rc==MOSQ_ERR_SUCCESS, which correctly falls through to send__pubcomp(); NOT_FOUND is deliberately ignored per the comment.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/http_client.c,159,FP,"Implicit case is read_length>=0 (a successful parse), which correctly continues to the header-processing code below.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/http_client.c,192,FP,Character scan inside a for loop checking for comma/space delimiters; any other character is correctly ignored so the scan continues.,delta_msc01_task535,high
MSC01-C,mosquitto,lib/libmosquitto.c,127,FP,Sets errno for two specific rc values before returning NULL either way; the NULL return itself is correct regardless of which rc value triggered it.,delta_msc01_task535,high
MSC01-C,mosquitto,lib/libmosquitto.c,286,FP,"Mutually-exclusive SSL_CTX cleanup (user-provided vs internally-created); if neither is set there is nothing to free, which is correct.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/loop.c,232,FP,"fdcount>=0 with no sockpairR activity is the normal select() timeout path, which correctly falls through to `return MOSQ_ERR_SUCCESS`.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/messages_mosq.c,189,FP,QoS values other than 1 and 2 (i.e. QoS 0) legitimately need no state update in this inflight-quota loop.,delta_msc01_task535,high
MSC01-C,mosquitto,lib/messages_mosq.c,192,FP,Nested inside the qos==2 branch; the comment 'Should be able to preserve state' documents that other states are intentionally left unchanged.,delta_msc01_task535,high
MSC01-C,mosquitto,lib/messages_mosq.c,218,FP,"Guarded by `cur->msg.qos > 0` so qos can only be 1 or 2 here, making the if/else-if exhaustive.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/net_mosq.c,1021,FP,SSL error dispatch; comment explicitly documents that SSL_ERROR_SYSCALL (the implicit remaining case) intentionally leaves errno alone.,delta_msc01_task535,medium
MSC01-C,mosquitto,lib/net_mosq.c,1178,FP,"family[i] is drawn from the hardcoded local array {AF_INET, AF_INET6} and was already validated exhaustively (with an explicit else returning INVAL) earlier in the same loop iteration.",delta_msc01_task535,medium
MSC01-C,mosquitto,lib/net_mosq.c,704,FP,Implicit case (ssl_ctx_defaults true and at least one of cafile/capath/psk set) intentionally falls through to apply the default SSL_CTX settings below.,delta_msc01_task535,high
MSC01-C,mosquitto,lib/net_mosq.c,895,FP,"Client-cert vs PSK TLS configuration; if neither tls_certfile nor tls_psk is set, no client auth is configured, which is a valid TLS-without-client-cert state.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/net_ws.c,266,FP,"Two specific error conditions (close-with-1-byte-payload, oversized non-binary frame) are checked; the normal/valid-frame case simply continues processing below, which is correct.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/net_ws.c,326,FP,"Opcode dispatch (WS_CLOSE/WS_PONG/other-with-out_packet) when a full payload has been read; ordinary data frames without out_packet were already delivered directly into the caller's buffer, so no extra action is needed.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/net_ws.c,339,FP,Else-branch of the outer pos==payloadlen check; when neither condition holds the function is still mid-read and correctly just returns the current len to wait for more data.,delta_msc01_task535,high
MSC01-C,mosquitto,lib/options.c,588,FP,Implicit case (value>=100 and no in-progress http_request) correctly falls through to set wsd.http_header_size and break.,delta_msc01_task535,high
MSC01-C,mosquitto,lib/packet_mosq.c,336,FP,PUBLISH/DISCONNECT command checks are independent optional post-send hooks; any other command type correctly needs no extra action here.,delta_msc01_task535,high
MSC01-C,mosquitto,lib/packet_mosq.c,496,FP,"Both explicit branches return a protocol error; the implicit remaining case is normal command processing, which correctly continues below.",delta_msc01_task535,high
MSC01-C,mosquitto,lib/read_handle.c,98,FP,This is a deliberate table mapping specific MQTT5 error codes to DISCONNECT reason codes; rc values outside the table (including SUCCESS) intentionally send no disconnect and just return rc.,delta_msc01_task535,medium
MSC01-C,mosquitto,lib/send_publish.c,101,FP,ACL_DENIED/QUOTA_EXCEEDED just add an extra debug log line inside an already-taken rc!=SUCCESS branch; other error codes still get the correct cleanup/free handling that follows.,delta_msc01_task535,high
MSC01-C,mosquitto,lib/socks_mosq.c,293,FP,socks5__send dispatches only on states its own state machine explicitly transitions into; the trailing `return MOSQ_ERR_SUCCESS` after the chain is a safe no-op for any state not currently awaiting a SOCKS5 send.,delta_msc01_task535,medium
MSC01-C,mosquitto,src/bridge.c,354,FP,"The if/else-if only decides which log message to print for a given rc value; the enclosing block always falls through to `return rc` regardless, so no branch is silently unhandled.",delta_msc01_task535,high
MSC01-C,mosquitto,src/bridge.c,382,FP,Same pattern as bridge__connect_step1: the else-if chain only selects a log message before falling through to the unconditional `return rc`.,delta_msc01_task535,high
MSC01-C,mosquitto,src/bridge.c,415,FP,Same idiom in bridge__connect_step3: missing else just means no extra log line before the unconditional `return rc`.,delta_msc01_task535,high
MSC01-C,mosquitto,src/bridge.c,471,FP,Chain only picks the log message inside the else branch; mux__delete/net__socket_close/return rc execute unconditionally afterward regardless of which/no branch matched.,delta_msc01_task535,high
MSC01-C,mosquitto,src/bridge.c,598,FP,Same log-selection idiom as the other bridge__connect error paths; execution always falls through to the unconditional `return rc` after the chain.,delta_msc01_task535,high
MSC01-C,mosquitto,src/bridge.c,603,FP,"Outer if(rc>0)/else if(CONN_PENDING) is an independent optional-state check, not an exhaustive dispatch; the normal success path intentionally falls through to continue setup below.",delta_msc01_task535,high
MSC01-C,mosquitto,src/bridge.c,654,FP,Same log-selection idiom in the rc2 error path of bridge__connect; mux__delete/net__socket_close/return rc2 run unconditionally regardless of the chain.,delta_msc01_task535,high
MSC01-C,mosquitto,src/bridge.c,992,TP,"If getsockopt succeeds and err is nonzero but not ECONNREFUSED (e.g. ETIMEDOUT/EHOSTUNREACH), neither branch fires and bridge_check_pending returns doing nothing, leaving the context stuck in mosq_cs_connect_pending indefinitely instead of disconnecting/retrying.",delta_msc01_task535,medium
MSC01-C,mosquitto,src/broker_control.c,138,FP,"protocol stays NULL for any listener type other than mqtt/websockets, and the later `(protocol && ...)` guard deliberately skips adding the protocol field in that case, so the omission is the intended behavior.",delta_msc01_task535,high
MSC01-C,mosquitto,src/conf.c,1047,TP,"accept_protocol_versions tokens '3'/'4'/'5' are handled but any other token (typo or unsupported version) is silently ignored with no error, so a misconfigured protocol version list is accepted without warning.",delta_msc01_task535,medium
MSC01-C,mosquitto,src/conf.c,1155,FP,The !key/STREMPTY(key) branches only cover the two error cases; a valid non-empty key is the normal success path that intentionally falls through to continue processing below.,delta_msc01_task535,high
MSC01-C,mosquitto,src/conf.c,1498,FP,"Bounds-check idiom for bridge_receive_maximum: <=0 and >UINT16_MAX both error-return, and any in-range value intentionally falls through to the assignment on the next line.",delta_msc01_task535,high
MSC01-C,mosquitto,src/conf.c,1532,FP,Same bounds-check idiom for bridge_session_expiry_interval; the valid in-range case intentionally falls through to the assignment.,delta_msc01_task535,high
MSC01-C,mosquitto,src/conf.c,2234,FP,"Clamp/bounds-check idiom for max_inflight_messages: out-of-range values are clamped or rejected, and any valid value intentionally falls through to the assignment.",delta_msc01_task535,high
