rule,project,file,line,verdict,reason,provenance,confidence
MSC01-C,sqlite,ext/expert/sqlite3expert.c,1220,FP,"The else-if only checks for the two known EXPLAIN QUERY PLAN substrings (' USING INDEX '/' USING COVERING INDEX ') inside a byte-scan loop; when neither matches the loop simply continues to the next offset, which is the intended behavior, not an unhandled case.",delta_msc01_task535,high
MSC01-C,sqlite,ext/expert/sqlite3expert.c,1613,FP,"switch(pSlot->eType) enumerates all five sqlite3_value_type() results (NULL/INTEGER/FLOAT/BLOB/TEXT), which is exhaustive by definition of the API, so no default is needed.",delta_msc01_task535,high
MSC01-C,sqlite,ext/expert/sqlite3expert.c,1960,FP,"ienc is pre-initialized to SQLITE_UTF8 before the else-if chain checking utf16le/utf16be, so an unmatched encoding string correctly falls back to the already-set default rather than being silently unhandled.",delta_msc01_task535,high
MSC01-C,sqlite,ext/expert/sqlite3expert.c,1968,FP,"rcf is pre-initialized to SQLITE_ERROR before the type=='w'/'a'/'s' else-if chain, so an unrecognized type correctly propagates as an error via the following `if(rcf!=SQLITE_OK){rc=rcf;break;}` check rather than being silently ignored.",delta_msc01_task535,high
MSC01-C,sqlite,ext/expert/sqlite3expert.c,2152,FP,"The else-if(rc==SQLITE_BUSY_TIMEOUT) branch after idxCreateCandidates only special-cases that one error; any other error code simply skips this block and propagates unchanged through the subsequent chained `if(rc==SQLITE_OK)` guards down to the final `return rc`, which is the intended error-propagation idiom.",delta_msc01_task535,high
MSC01-C,sqlite,ext/expert/sqlite3expert.c,772,FP,"else-if(ALWAYS(pNew!=0)) is a defensive assert-guaranteed branch since pNew is always non-null when rc==SQLITE_OK, so the missing else is unreachable dead-case handling, not a real bug.",delta_msc01_task535,high
MSC01-C,sqlite,ext/fts3/fts3.c,1537,FP,"The else-if(pTokenizer) cleans up whichever of p/pTokenizer was actually allocated on the error path in fts3InitVtab; if neither exists there is nothing to free, so the missing final else is correct, not a leak.",delta_msc01_task535,high
MSC01-C,sqlite,ext/fts3/fts3.c,1678,FP,"switch(pCons->op) inside `if(bDocid)` only cares about the GE/GT/LE/LT range-constraint operators to record docid bounds; other operator values are handled by separate code above/below in fts3BestIndexMethod, so no default is needed here.",delta_msc01_task535,high
MSC01-C,sqlite,ext/fts3/fts3.c,3400,FP,"else-if(eSearch==FTS3_DOCID_SEARCH) only builds a SQL statement for the FULLSCAN/DOCID search strategies; the FTS3_FULLTEXT_SEARCH strategy is already fully handled earlier in fts3FilterMethod (lines ~3348-3373) and doesn't need a compiled SELECT, so skipping this block for it is correct.",delta_msc01_task535,high
MSC01-C,sqlite,ext/fts3/fts3.c,3741,FP,"The final else-if(SQLITE_OK==fts3CursorSeek(...)) omits a final else, but fts3CursorSeek itself calls sqlite3_result_error on pContext when it fails (confirmed in its implementation), so the caller doesn't need to set an error itself.",delta_msc01_task535,high
