rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE00-C,0,sqlite,src/os_win.c,168,TP,winIsDirSep(a) expands (a) twice so a side-effecting argument is double-evaluated,,high
PRE12-C,1,sqlite,src/os_win.c,168,TP,same macro winIsDirSep references parameter a in two comparisons multi-evaluating it,,high
PRE01-C,2,sqlite,src/os_win.c,287,TP,winFileBusyTimeout(pDbFd) uses pDbFd->iBusyTimeout with the param left unparenthesized,,low
CON03-C,3,sqlite,src/os_win.c,436,FP,win_mem_data is guarded by STATIC_MEM/STATIC_MAIN mutexes per SQLite design not volatile,,high
PRE10-C,4,sqlite,src/os_win.c,449,TP,winMemAssertMagic() expands to two statements not wrapped in do-while breaking if without braces,,high
PRE11-C,5,sqlite,src/os_win.c,449,TP,winMemAssertMagic() definition ends with a trailing semicolon producing a stray empty statement,,high
DCL36-C,6,sqlite,src/os_win.c,484,FP,lines 482/484 are mutually-exclusive ifdef SQLITE_TEST branches of one var and SQLITE_WIN32_VOLATILE is a qualifier macro not a linked identifier,,high
CON03-C,7,sqlite,src/os_win.c,505,FP,aSyscall is only mutated by the test/sandbox xSetSystemCall override under static mutex not concurrently,,high
ERR02-C,8,sqlite,src/os_win.c,505,FP,no ssize_t at line 509 the field is sqlite3_syscall_ptr a function-pointer typedef,,high
ARR02-C,9,sqlite,src/os_win.c,509,FP,aSyscall[] implicit bound is compile-time sized from its initializer and accessed via ArraySize,,high
WIN04-C,10,sqlite,src/os_win.c,509,FP,WIN04 EncodePointer is a recommendation SQLite intentionally stores syscall pointers for override/testing,,high
DCL31-C,11,sqlite,src/os_win.c,526,FP,osCharLowerW is a macro at line 526 casting aSyscall[1].pCurrent not an undeclared function,,high
DCL31-C,12,sqlite,src/os_win.c,534,FP,osCharUpperW is a macro casting aSyscall[2].pCurrent,,high
DCL31-C,13,sqlite,src/os_win.c,538,FP,osCloseHandle is a macro casting aSyscall[3].pCurrent,,high
