rule,project,file,line,verdict,reason,provenance,confidence
MSC17-C,sqlite,src/vdbe.c,3797,FP,"OP_Count's case body is a single brace-wrapped block ending in ""goto check_for_interrupt;""; the checker only inspects the compound_statement's own kind (not literally goto) so it misses the real terminator inside the block",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,3823,FP,"OP_Savepoint's case body is a brace-wrapped block whose last statement is a literal break; at line 4001, but the checker sees only the outer compound_statement node and misses it",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4013,FP,"OP_AutoCommit's block-wrapped body has both if/else branches ending in goto (vdbe_return/abort_due_to_error) with only an unreachable /*NOTREACHED*/ assert(0) after; the checker's compound-statement wrapping bug misses this and there is no live fallthrough",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4102,FP,"OP_Transaction's case body is a brace-wrapped block ending in break; at line 4200; checker only sees the wrapping compound_statement",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4215,FP,OP_ReadCookie's block ends in a literal break; at line 4231 but is hidden inside the wrapping compound_statement the checker inspects,delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4249,FP,OP_SetCookie's block ends in break; at line 4278 hidden behind the wrapping compound_statement,delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4365,FP,"OP_ReopenIdx intentionally falls into case OP_OpenRead/OP_OpenWrite nested inside the same brace block (marked by the comment ""then fall through into OP_OpenRead""), and that shared block eventually reaches break; at 4469; the checker only sees the outer compound_statement, not the nested case labels or terminator",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4480,FP,OP_OpenDup's block ends in break; at line 4505 hidden behind the wrapping compound_statement,delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4542,FP,"OP_OpenAutoindex is a grouped case label with only a trailing ""/* ncycle */"" annotation comment before OP_OpenEphemeral; CERT exempts empty grouped case labels but the checker treats the benign comment as non-empty, unmarked content",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4543,FP,OP_OpenEphemeral's block ends in break; further down (the case body correctly terminates) hidden behind the wrapping compound_statement,delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4633,FP,OP_SorterOpen's block ends in break; at line 4645 hidden behind the wrapping compound_statement,delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4655,FP,OP_SequenceTest's block ends in break; at line 4663 hidden behind the wrapping compound_statement,delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4683,FP,OP_OpenPseudo's block ends in break; at line 4699 hidden behind the wrapping compound_statement,delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4707,FP,OP_Close's block ends in break; at line 4711 hidden behind the wrapping compound_statement,delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4824,FP,"OP_SeekLT is a grouped case label with only a trailing ""/* jump0, in3, group, ncycle */"" comment before the shared OP_SeekLE/GE/GT body; CERT exempts empty grouped labels but the benign comment makes the checker treat it as non-empty",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4825,FP,"OP_SeekLE is likewise a grouped, code-free case label carrying only a trailing annotation comment before the shared body",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,4826,FP,"OP_SeekGE is likewise a grouped, code-free case label carrying only a trailing annotation comment before the shared body",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,5093,FP,OP_SeekScan's block ends in break; at line 5198 (all internal paths goto or break) hidden behind the wrapping compound_statement,delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,5348,FP,"OP_IfNoHope ends with an explicit fall-through marker (comment ""Fall through into OP_NotFound"" followed by the no-op identifier statement deliberate_fall_through) rather than a comment as the very last item, so the checker's comment-only intentional-fallthrough scan does not catch this custom marker",delta_msc17_task534,high
MSC17-C,sqlite,src/vdbe.c,5362,FP,"OP_NoConflict is a grouped, code-free case label with only a trailing ""/* jump, in3, ncycle */"" comment before the shared OP_Found body",delta_msc17_task534,high
