rule,idx,project,file,line,verdict,reason,provenance,confidence
PRE11-C,1,sqlite,ext/misc/base64.c,61,FP,deliberate_fall_through macro is __attribute__((fallthrough)); the trailing semicolon is intended at use sites and harmless,b14-adjudicator,high
MEM05-C,2,sqlite,ext/misc/base64.c,99,FP,line 99 is a fixed-size const char[64+1] string literal not a runtime VLA; misread,b14-adjudicator,high
PRE00-C,3,sqlite,ext/misc/base64.c,102,TP,BX_DV_PROTO(c) does evaluate c multiple times (cast and table index); function-like macro multi-eval is factually present,b14-adjudicator,med
PRE12-C,4,sqlite,ext/misc/base64.c,102,TP,BX_DV_PROTO evaluates parameter c multiple times within the conditional macro body,b14-adjudicator,med
DCL13-C,5,sqlite,ext/misc/base64.c,114,TP,toBase64 reads pIn[0..2] but never writes through pIn so it could be const u8*,b14-adjudicator,high
ARR30-C,6,sqlite,ext/misc/base64.c,118,FP,"BX_NUMERAL indexes b64Numerals[(u8)dv] with dv masked to &0x3f or >>2 of u8, always 0-63 within size 65",b14-adjudicator,high
INT14-C,7,sqlite,ext/misc/base64.c,118,FP,INT14 readability flag on pIn shifts/index is stylistic not a defect; values bounded,b14-adjudicator,med
ARR30-C,8,sqlite,ext/misc/base64.c,119,FP,"same masked &0x3f index into b64Numerals[65], in-bounds",b14-adjudicator,high
FIO50-C,9,sqlite,ext/misc/base64.c,119,FP,pIn is a u8* buffer not a FILE stream; FIO50 misclassification,b14-adjudicator,high
FIO50-C,10,sqlite,ext/misc/base64.c,119,FP,pIn is a u8* buffer not a FILE stream; FIO50 misclassification,b14-adjudicator,high
ARR30-C,11,sqlite,ext/misc/base64.c,120,FP,"index ((pIn[1]&0xf)<<2)|(pIn[2]>>6) is 0-63 into b64Numerals[65], in-bounds",b14-adjudicator,high
ARR30-C,12,sqlite,ext/misc/base64.c,121,FP,"index pIn[2]&0x3f is 0-63 into b64Numerals[65], in-bounds",b14-adjudicator,high
INT32-C,13,sqlite,ext/misc/base64.c,123,FP,nbIn loop guarded by while(nbIn>=3) so nbIn-=3 stays >=0 no signed overflow,b14-adjudicator,high
