rule,idx,project,file,line,verdict,reason,provenance,confidence
API02-C,0,sqlite,src/expr.c,19,FP,"exprCodeVector is internal codegen helper with fixed signature; piToFree is an out-param int*, not an array needing size; API02 misfire",,high
ARR00-C,1,sqlite,src/expr.c,26,FP,sqlite3TableColumnAffinity guards iCol<0 || NEVER(iCol>=pTab->nCol) before aCol[iCol]; bounds checked,,high
API00-C,2,sqlite,src/expr.c,45,FP,sqlite3ExprAffinity internal contract caller passes non-null Expr; not a trust boundary; API00 misfire,,high
MEM05-C,3,sqlite,src/expr.c,45,FP,sqlite3ExprAffinity recurses but bounded by SQLITE_MAX_EXPR_DEPTH-limited tree; MEM05 not a CERT defect here,,med
EXP34-C,4,sqlite,src/expr.c,47,FP,pExpr deref guarded by internal invariant; callers never pass NULL; asserts confirm subexprs non-null,,high
API00-C,5,sqlite,src/expr.c,107,FP,sqlite3ExprDataType loop condition while(pExpr) guards every member access; null handled,,high
MEM05-C,6,sqlite,src/expr.c,107,FP,recursion bounded by expr tree depth (SQLITE_MAX_EXPR_DEPTH); not excessive-stack defect,,med
MSC04-C,7,sqlite,src/expr.c,107,TP,sqlite3ExprDataType directly calls itself at lines 152/155; direct recursion genuinely exists,,high
EXP34-C,8,sqlite,src/expr.c,109,FP,line 109 is the while(pExpr) loop test itself; access only inside loop where pExpr nonzero,,high
ARR00-C,9,sqlite,src/expr.c,151,FP,ii is the for-loop induction var (for(ii=1;...)) initialized in the loop; not uninitialized,,high
INT32-C,10,sqlite,src/expr.c,155,FP,pList->nExpr is bounded positive column count (asserted nExpr>0); nExpr-1 cannot overflow,,high
API00-C,11,sqlite,src/expr.c,175,FP,internal API; pParse always valid in parser context; API00 misfire,,high
API00-C,12,sqlite,src/expr.c,175,FP,pExpr is valid expr; sqlite3ExprAddCollateToken internal contract; API00 misfire,,high
DCL13-C,13,sqlite,src/expr.c,177,FP,pExpr is stored into pNew->pLeft (pNew->pLeft=pExpr) and returned; not const-eligible,,high
API00-C,14,sqlite,src/expr.c,191,FP,internal API pParse always valid; API00 misfire,,high
API00-C,15,sqlite,src/expr.c,191,FP,pExpr valid in parser context; API00 misfire,,high
API00-C,16,sqlite,src/expr.c,191,FP,zC asserted !=0 at line 197 before use; not a trust boundary,,high
EXP05-C,17,sqlite,src/expr.c,198,FP,"sqlite3TokenInit takes char* not const; cast away const is intentional and Token.z is treated read-only; EXP05 stylistic, accepted SQLite idiom",,high
API00-C,18,sqlite,src/expr.c,205,FP,sqlite3ExprSkipCollate loop tests while(pExpr && ...) guarding deref; null safe,,high
API00-C,19,sqlite,src/expr.c,248,FP,internal API; pParse valid; API00 misfire,,high
API00-C,20,sqlite,src/expr.c,248,FP,pExpr handled via while(p) loop with p=pExpr; null tolerated,,high
API00-C,21,sqlite,src/expr.c,321,FP,internal API; pParse valid; API00 misfire,,high
API00-C,22,sqlite,src/expr.c,321,FP,sqlite3ExprNNCollSeq passes pExpr to sqlite3ExprCollSeq which tolerates null via while(p); safe,,high
DCL30-C,23,sqlite,src/expr.c,325,FP,"p is const Expr* local that aliases pExpr (function param), not returned by address; returns pColl heap/db pointer not &local; DCL30 misfire",,high
API00-C,24,sqlite,src/expr.c,331,FP,internal API; pParse valid; API00 misfire,,high
API00-C,25,sqlite,src/expr.c,331,FP,pE1 passed to NNCollSeq->CollSeq which tolerates null; not a trust boundary,,high
API00-C,26,sqlite,src/expr.c,331,FP,pE2 same; API00 misfire,,high
EXP34-C,27,sqlite,src/expr.c,334,FP,"sqlite3ExprNNCollSeq returns non-null (asserts p!=0, falls back to pDfltColl); pColl1->zName safe",,high
EXP34-C,28,sqlite,src/expr.c,334,FP,same NNCollSeq guarantees non-null; pColl2->zName safe,,high
EXP00-C,29,sqlite,src/expr.c,356,FP,(ternary) | SQLITE_AFF_NONE precedence is clear and intended; EXP00 stylistic misfire,,med
INT13-C,30,sqlite,src/expr.c,356,FP,aff1 is char affinity code with small constant domain; bitwise OR with SQLITE_AFF_NONE is intentional affinity math; INT13 misfire,,high
API00-C,31,sqlite,src/expr.c,387,FP,comparisonAffinity asserts pExpr->op is a comparison and pExpr->pLeft; internal contract; API00 misfire,,high
API00-C,32,sqlite,src/expr.c,424,FP,sqlite3BinaryCompareCollSeq asserts pLeft (line 430); internal contract; API00 misfire,,high
EXP34-C,33,sqlite,src/expr.c,438,FP,sqlite3ExprCollSeq tolerates null via while(p); pRight may be null by documented contract; safe,,high
DCL30-C,34,sqlite,src/expr.c,441,FP,"pColl is CollSeq* from sqlite3ExprCollSeq (db/heap pointer), not address of a local; DCL30 misfire",,high
API00-C,35,sqlite,src/expr.c,538,FP,sqlite3VectorFieldSubexpr asserts via sqlite3ExprVectorSize; pVector valid by contract; API00 misfire,,high
API00-C,36,sqlite,src/expr.c,574,FP,internal API; pParse valid; API00 misfire,,high
DCL30-C,37,sqlite,src/expr.c,620,FP,"pRet is Expr* from sqlite3PExpr/sqlite3ExprDup (heap), not address of a local; DCL30 misfire",,high
MSC04-C,38,sqlite,src/expr.c,631,TP,exprCodeSubselect participates in genuine indirect recursion through the codegen cycle; recursion is real,,high
MSC04-C,39,sqlite,src/expr.c,659,TP,exprVectorRegister reaches sqlite3ExprCodeTemp->...->codeVectorCompare->exprVectorRegister; indirect recursion real,,high
INT32-C,40,sqlite,src/expr.c,671,FP,"pVector->iTable is a register number, iField bounded by vector size; small ints, no overflow; INT32 misfire",,high
ARR00-C,41,sqlite,src/expr.c,675,FP,"iField bounded by caller (i<nLeft, nLeft==vector size) via codeVectorCompare loop invariant; ARR00 misfire",,high
ARR30-C,42,sqlite,src/expr.c,675,FP,same iField bounded by vector-size loop invariant; ARR30 misfire,,high
ARR00-C,43,sqlite,src/expr.c,680,FP,iField bounded; pVector->x.pList->a[iField] within nExpr; ARR00 misfire,,high
ARR30-C,44,sqlite,src/expr.c,680,FP,same bounded index; ARR30 misfire,,high
MSC04-C,45,sqlite,src/expr.c,697,TP,codeVectorCompare participates in genuine indirect recursion via exprCodeSubselect cycle; real,,high
EXP34-C,46,sqlite,src/expr.c,749,FP,pL set by exprVectorRegister out-param before codeCompare; codeCompare guards pParse->nErr and uses operands only via valid registers; not null at use,,high
EXP34-C,47,sqlite,src/expr.c,749,FP,pR same as pL; set before use; safe,,high
API00-C,48,sqlite,src/expr.c,792,FP,internal API; pParse valid; API00 misfire,,high
INT32-C,49,sqlite,src/expr.c,861,FP,nHeight+1 bounded by SQLITE_MAX_EXPR_DEPTH check (sqlite3ExprCheckHeight); cannot overflow int; INT32 misfire,,high
DCL00-C,50,sqlite,src/expr.c,883,FP,"nHeight is read mxHeight then reused as accumulator in heightOf* via pointer; DCL00 trivial style, and value is used as out-param target so not const-eligible",,low
DCL13-C,51,sqlite,src/expr.c,892,FP,sqlite3ExprSetHeightAndFlags writes pParse->nErr check and exprSetHeight mutates p; pParse used to read db; const would be wrong as helpers expect non-const Parse; DCL13 FP (Parse* threaded through mutating calls),,high
