rule,idx,project,file,line,verdict,reason,provenance,confidence
ARR02-C,0,sqlite,src/btree.c,22,FP,"zMagicHeader is a file-scope static const char[] initialized from a string literal; implicit size is the deliberate idiom, fully bounded",,
PRE01-C,1,sqlite,src/btree.c,30,FP,"TRACE(X) uses X as 'printf X' (whole arg list, statement context); precedence parenthesization inapplicable",,
PRE10-C,2,sqlite,src/btree.c,30,TP,TRACE expands to bare if(...){...} not wrapped in do-while; classic dangling-if macro hazard (though in #if 0 block),,
API00-C,3,sqlite,src/btree.c,119,FP,"internal SQLITE_DEBUG-only accessor; pBt is a caller-owned Btree handle, no untrusted input",,
API00-C,4,sqlite,src/btree.c,136,FP,"p is a MemPage* the contract documents as non-NULL; debug-only error logger, caller-owned",,
DCL13-C,5,sqlite,src/btree.c,136,TP,reads only p->pgno and p->pBt->pPager passed by value; p never mutated,,
PRE01-C,6,sqlite,src/btree.c,151,TP,"SQLITE_CORRUPT_PAGE(pMemPage)->pMemPage->pgno; param used in member-access without parens, breaks on compound arg",,
DCL13-C,7,sqlite,src/btree.c,169,TP,sharedLockTrace (dead #if 0) only reads pBt->pLock to print; pBt not mutated,,
DCL11-C,8,sqlite,src/btree.c,176,FP,inside #if 0 sharedLockTrace block — never compiled,,
INT00-C,9,sqlite,src/btree.c,176,FP,inside #if 0 sharedLockTrace block — never compiled; not a defect in the shipped engine,,
DCL11-C,10,sqlite,src/btree.c,178,FP,inside #if 0 sharedLockTrace block — never compiled,,
ERR33-C,11,sqlite,src/btree.c,189,FP,inside #if 0 sharedLockTrace block — never compiled,,
DCL13-C,12,sqlite,src/btree.c,219,TP,hasSharedCacheTableLock only reads pBtree->pBt/sharable/db fields; pBtree not mutated,,
DCL13-C,13,sqlite,src/btree.c,309,TP,hasReadConflicts only walks pBtree->pBt->pCursor reading fields; pBtree not mutated,,
DCL03-C,14,sqlite,src/btree.c,449,TP,assert(WRITE_LOCK>READ_LOCK) is a compile-time constant comparison; static_assert applicable,,
EXP34-C,15,sqlite,src/btree.c,468,FP,pointer non-null on this path (rc==OK / param invariant / guarded above); deref safe,,
EXP34-C,16,sqlite,src/btree.c,469,FP,pointer non-null on this path (rc==OK / param invariant / guarded above); deref safe,,
EXP40-C,17,sqlite,src/btree.c,469,FP,normal pointer-to-pointer assignment; no const object modified,,
MEM30-C,18,sqlite,src/btree.c,492,FP,pBt is a live BtShared (transaction concluding); never freed on this path,,
MEM30-C,19,sqlite,src/btree.c,493,FP,pBt is a live BtShared; never freed on this path,,
MEM30-C,20,sqlite,src/btree.c,496,FP,"pBt is a live BtShared; the sqlite3_free(pLock) above frees lock nodes, not pBt",,
DCL13-C,21,sqlite,src/btree.c,513,TP,"downgradeAllSharedCacheTableLocks mutates pBt(=p->pBt) and pLock objects, not p's own fields",,
EXP34-C,22,sqlite,src/btree.c,514,FP,pointer non-null on this path (rc==OK / param invariant / guarded above); deref safe,,
EXP34-C,23,sqlite,src/btree.c,518,FP,pointer non-null on this path (rc==OK / param invariant / guarded above); deref safe,,
DCL13-C,24,sqlite,src/btree.c,541,TP,cursorHoldsMutex only reads p->pBt->mutex,,
PRE01-C,25,sqlite,src/btree.c,563,TP,"invalidateOverflowCache(pCur)->pCur->curFlags; param in member-access without parens, breaks on compound arg",,
DCL13-C,26,sqlite,src/btree.c,569,TP,"invalidateAllOverflowCache only reads pBt->pCursor; mutates loop cursors, not pBt",,
DCL13-C,27,sqlite,src/btree.c,673,TP,btreeGetHasContent only reads pBt->pHasContent,,
INT32-C,28,sqlite,src/btree.c,732,FP,"nKey explicitly cast to (i64) before +9+8; addition is 64-bit, u32 max +17 cannot overflow i64",,
ARR38-C,29,sqlite,src/btree.c,736,FP,pKey malloc(nKey+9+8); memset writes exactly the 9+8 trailing padding bytes at offset nKey - within allocation,,
DCL13-C,30,sqlite,src/btree.c,806,TP,"saveAllCursors reads pBt->pCursor/mutex; mutates pExcept, not pBt",,
DCL13-C,31,sqlite,src/btree.c,826,TP,saveCursorsOnList only compares p!=pExcept; pExcept never written,,
API00-C,32,sqlite,src/btree.c,848,FP,caller-owned cursor guarded by assert(cursorHoldsMutex(pCur)); API precondition,,
MEM30-C,33,sqlite,src/btree.c,881,FP,freed pointer is pIdxKey; pCur->pKeyInfo is a live KeyInfo whose ->db field is read,,
PRE00-C,34,sqlite,src/btree.c,922,TP,function-like macro restoreCursorPosition multiple-evaluates p; side-effecting arg unsafe,,
PRE01-C,35,sqlite,src/btree.c,922,TP,restoreCursorPosition(p)->p->eState member access without parenthesized param,,
PRE12-C,36,sqlite,src/btree.c,922,TP,restoreCursorPosition(p) evaluates p multiple times (p->eState and btreeRestoreCursorPosition(p)),,
API00-C,37,sqlite,src/btree.c,939,FP,"NULL handled by design via fake-cursor-aware contract; caller-owned, asserts alignment",,
ARR01-C,38,sqlite,src/btree.c,943,FP,"sizeof(pCur->eState) is sizeof of a struct member (u8), not a decayed array param; asserted ==1",,
DCL03-C,39,sqlite,src/btree.c,943,TP,assert(sizeof(pCur->eState)==1) is compile-time constant; static_assert applicable,,
CON03-C,40,sqlite,src/btree.c,953,FP,"static u8 fakeCursor is a read-only CURSOR_VALID sentinel, only ever read; no real data race",,
API00-C,41,sqlite,src/btree.c,971,FP,asserts pCur!=0 and eState; caller-owned cursor per contract,,
DCL13-C,42,sqlite,src/btree.c,995,TP,sqlite3BtreeCursorHint never references pCur in its body,,
API00-C,43,sqlite,src/btree.c,1020,FP,"caller-owned cursor; only sets pCur->hints, no untrusted deref",,
INT32-C,44,sqlite,src/btree.c,1041,FP,usableSize<=65536 so usableSize/5+1 is small; structurally bounded,,
INT33-C,45,sqlite,src/btree.c,1042,FP,nPagesPerMapPage=(usableSize/5)+1 always >=1,,
INT32-C,46,sqlite,src/btree.c,1043,FP,"iPtrMap=(pgno-2)/nPagesPerMapPage so iPtrMap*nPagesPerMapPage<=pgno (Pgno page number), +2 bounded by page count",,
ARR39-C,47,sqlite,src/btree.c,1099,FP,"offset is a validated byte offset into the full pPtrmap page buffer (offset<0 -> CORRUPT, assert offset<=usableSize-5); pPtrmap[offset] is single-scaled byte access",,
ARR39-C,48,sqlite,src/btree.c,1103,FP,"offset is a validated byte offset into the full pPtrmap page buffer (offset<0 -> CORRUPT, assert offset<=usableSize-5); pPtrmap[offset] is single-scaled byte access",,
ARR39-C,49,sqlite,src/btree.c,1142,FP,"offset is a validated byte offset into the full pPtrmap page buffer (offset<0 -> CORRUPT, assert offset<=usableSize-5); pPtrmap[offset] is single-scaled byte access",,
PRE00-C,50,sqlite,src/btree.c,1166,TP,"findCell(P,I) evaluates P three times; multiple evaluation of macro param",,
PRE12-C,51,sqlite,src/btree.c,1166,TP,"findCell macro evaluates P multiple times (aData, maskPage, aCellIdx)",,
PRE00-C,52,sqlite,src/btree.c,1168,TP,"findCellPastPtr(P,I) evaluates P three times; multiple evaluation of macro param",,
PRE12-C,53,sqlite,src/btree.c,1168,TP,findCellPastPtr macro evaluates P multiple times,,
DCL13-C,54,sqlite,src/btree.c,1179,TP,"reads only pPage->minLocal/maxLocal/pBt->usableSize; pInfo is mutated, not pPage",,
DCL13-C,55,sqlite,src/btree.c,1180,TP,"pCell used only in pointer arithmetic, never dereferenced for write",,
INT10-C,56,sqlite,src/btree.c,1198,FP,operands are page offsets/payload sizes that are non-negative; %% sign-of-result concern not reachable,,
INT32-C,57,sqlite,src/btree.c,1198,FP,minLocal<=usableSize and modulo result < usableSize-4<=65532; sum bounded well below INT_MAX,,
INT33-C,58,sqlite,src/btree.c,1198,FP,usableSize-4 >=508 (usableSize>=512); never zero,,
ARR36-C,59,sqlite,src/btree.c,1201,FP,"operands are integer struct fields (minLocal/usableSize/nData/nPayload) or array elements, not pointers from distinct arrays - misclassification",,
DCL13-C,60,sqlite,src/btree.c,1213,TP,btreePayloadToLocal reads only pPage->maxLocal/minLocal/pBt->usableSize,,
INT10-C,61,sqlite,src/btree.c,1223,FP,operands are page offsets/payload sizes that are non-negative; %% sign-of-result concern not reachable,,
INT32-C,62,sqlite,src/btree.c,1223,FP,minLocal plus (mod usableSize-4) is bounded < ~131064; no overflow,,
INT33-C,63,sqlite,src/btree.c,1223,FP,usableSize-4 never zero (usableSize>=512),,
