rule,idx,project,file,line,verdict,reason,provenance,confidence
INT32-C,1,sqlite,ext/fts5/fts5_aux.c,64,FP,io and xPhraseSize are token positions bounded by doc token count (int range); not attacker-arbitrary 64-bit,b14-adjudicator,high
INT32-C,2,sqlite,ext/fts5/fts5_aux.c,64,FP,"io is a token byte offset within the indexed column text bounded by nIn, cannot underflow int meaningfully",b14-adjudicator,high
INT32-C,3,sqlite,ext/fts5/fts5_aux.c,74,FP,"iInst bounded by nInst (phrase instance count from index), far below INT_MAX",b14-adjudicator,high
INT32-C,4,sqlite,ext/fts5/fts5_aux.c,168,FP,"iPos counts tokens in a single column, bounded by doc size, no realistic INT_MAX",b14-adjudicator,high
INT32-C,5,sqlite,ext/fts5/fts5_aux.c,193,FP,"iStartOff and iOff are byte offsets within nIn (column text), bounded and non-negative",b14-adjudicator,high
INT32-C,6,sqlite,ext/fts5/fts5_aux.c,205,FP,"iEndOff and iOff are byte offsets within nIn, bounded by column text size",b14-adjudicator,high
INT32-C,7,sqlite,ext/fts5/fts5_aux.c,216,FP,same iEndOff-iOff offsets bounded within column text length,b14-adjudicator,high
INT32-C,8,sqlite,ext/fts5/fts5_aux.c,222,FP,same iEndOff-iOff bounded within column text length,b14-adjudicator,high
DCL13-C,9,sqlite,ext/fts5/fts5_aux.c,238,FP,apVal is read-only via sqlite3_value_* accessors but signature is fixed by fts5_extension_function typedef so const cannot be applied,b14-adjudicator,med
INT32-C,10,sqlite,ext/fts5/fts5_aux.c,277,FP,"ctx.nIn and ctx.iOff are byte offsets within column text, iOff<=nIn by construction",b14-adjudicator,high
INT32-C,11,sqlite,ext/fts5/fts5_aux.c,311,FP,"nFirstAlloc doubles from 64; reaching INT_MAX overflow needs ~2^31 sentences, infeasible",b14-adjudicator,high
INT30-C,12,sqlite,ext/fts5/fts5_aux.c,314,FP,nNew*sizeof(int) promotes to size_t and feeds realloc64; nNew bounded by sentence count,b14-adjudicator,high
INT32-C,13,sqlite,ext/fts5/fts5_aux.c,314,FP,expression promotes to size_t via sizeof(int); not a real signed overflow at feasible sizes,b14-adjudicator,high
INT32-C,14,sqlite,ext/fts5/fts5_aux.c,319,FP,"nFirst bounded by token count of one document, far below INT_MAX",b14-adjudicator,high
MEM30-C,15,sqlite,ext/fts5/fts5_aux.c,319,FP,"aFirst is reallocated (aNew) and reassigned before use; no use-after-free, realloc semantics correct",b14-adjudicator,high
DCL00-C,16,sqlite,ext/fts5/fts5_aux.c,345,FP,c is reassigned each loop iteration at line 347 (c=p->zDoc[i]); it IS modified so const-qualifying is invalid,b14-adjudicator,high
INT32-C,17,sqlite,ext/fts5/fts5_aux.c,346,FP,"iStartOff-1 is a byte offset minus 1 used as loop bound, guarded i>=0; no overflow",b14-adjudicator,high
INT32-C,18,sqlite,ext/fts5/fts5_aux.c,356,FP,iPos token counter bounded by doc size,b14-adjudicator,high
INT32-C,19,sqlite,ext/fts5/fts5_aux.c,381,FP,"iPos+nToken is computed in sqlite3_int64 (iEnd), explicitly widened to avoid overflow",b14-adjudicator,high
INT32-C,20,sqlite,ext/fts5/fts5_aux.c,387,FP,"nScore increments by at most 1000 per instance, instance count bounded by index size",b14-adjudicator,high
INT32-C,21,sqlite,ext/fts5/fts5_aux.c,390,FP,iOff+xPhraseSize are token positions bounded by doc size,b14-adjudicator,high
INT32-C,22,sqlite,ext/fts5/fts5_aux.c,396,FP,"iAdj arithmetic done in sqlite3_int64, then clamped to [0,nDocsize-nToken] and cast",b14-adjudicator,high
