rule,idx,project,file,line,verdict,reason,provenance,confidence
EXP40-C,1,sqlite,src/memjournal.c,93,FP,zBuf is void* param (line 88) not const; assigning void*->u8* is legal no const cast away,b15-adjudicator,high
INT32-C,2,sqlite,src/memjournal.c,108,FP,iOff is i64 accumulating nChunkSize (>=8 small int) bounded by iOfst loop guard; no signed overflow reachable,b15-adjudicator,high
INT33-C,3,sqlite,src/memjournal.c,115,FP,nChunkSize always set >0 in sqlite3JournalOpen (line 374/376) never zero so modulo safe,b15-adjudicator,high
INT32-C,4,sqlite,src/memjournal.c,117,FP,"iChunkOffset in [0,nChunkSize) by modulo so nChunkSize-iChunkOffset is positive bounded subtraction no overflow",b15-adjudicator,high
INT32-C,5,sqlite,src/memjournal.c,118,FP,same nChunkSize-iChunkOffset bounded difference inside MIN no overflow,b15-adjudicator,high
INT31-C,6,sqlite,src/memjournal.c,119,FP,"nCopy is MIN(nRead,space) >=0 and bounded by nChunkSize small positive; size_t conversion safe",b15-adjudicator,high
INT32-C,7,sqlite,src/memjournal.c,119,FP,pointer+iChunkOffset where iChunkOffset<nChunkSize=alloc size of zChunk; in-bounds pointer arithmetic,b15-adjudicator,high
INT32-C,8,sqlite,src/memjournal.c,121,FP,nRead -= iSpace on int counters bounded by iAmt (journal write size); loop terminates no overflow,b15-adjudicator,high
EXP30-C,9,sqlite,src/memjournal.c,123,FP,pChunk assignment in while condition is a sequence point; single read in body next iteration no UB,b15-adjudicator,high
EXP30-C,10,sqlite,src/memjournal.c,123,FP,same chunked loop pChunk=pChunk->pNext fully sequenced by while condition,b15-adjudicator,high
EXP30-C,11,sqlite,src/memjournal.c,123,FP,same as idx9/10 sqc triple-counts the single pChunk update in the do-while guard,b15-adjudicator,high
INT32-C,12,sqlite,src/memjournal.c,124,FP,iOfst+iAmt are i64+int already guarded at line 98 against endpoint.iOffset; values are file-size bounded,b15-adjudicator,high
DCL13-C,13,sqlite,src/memjournal.c,133,TP,pFirst in memjrnlFreeChunks is only traversed/freed never written through and not a typedef-fixed signature so const-correct would compile,b15-adjudicator,med
EXP05-C,14,sqlite,src/memjournal.c,150,FP,sizeof(MemJournal) is size_t arg to memset not a const-qualified pointer cast; EXP05 misfire,b15-adjudicator,high
FLP30-C,15,sqlite,src/memjournal.c,156,FP,pIter is FileChunk* loop iterator not floating-point; FLP30 misfire on pointer,b15-adjudicator,high
