rule,project,file,line,verdict,reason,provenance,confidence
ERR33-C,sqlite,ext/misc/fileio.c,207,FP,"fclose(in) closes a read-only file at the very end of the function with the return value never used for any purpose (result was already set via sqlite3_result_* before this line), so there is no error path left to take even if it failed.",delta_err33_task544,medium
MEM30-C,sqlite,ext/fts3/fts3.c,1941,FP,"zBuffer is passed to sqlite3_realloc64() as the classic grow-buffer idiom and was never freed earlier in this loop; on success zBuffer is reassigned, on failure the function bails via goto without freeing zBuffer.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts3/fts3_expr.c,281,FP,"fts3ReallocOrFree() itself performs `sqlite3_realloc64(pOrig,...)` first and only frees pOrig afterward if the realloc fails; pOrig is not freed prior to the call.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts3/fts3_tokenizer.c,200,FP,"aArg is passed to sqlite3_realloc64() as a grow-array idiom; the sqlite3_free((void*)aArg) call only runs in the `if(!aNew)` failure branch after this realloc call, not before it.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts3/fts3_write.c,1751,FP,"aElem is passed to sqlite3_realloc64() to grow the array; there is no free of aElem anywhere earlier in sqlite3Fts3SegReaderPending(), only sqlite3_free(aElem) at the very end of the function after this loop completes.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts3/fts3_write.c,4586,FP,"aIdx is passed to sqlite3_realloc64() as a grow-array idiom in fts3RepackSegdirLevel(); aIdx is only freed once, at the function's final sqlite3_free(aIdx) after this loop, not before this call.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts5/fts5_expr.c,1685,FP,"pNear is passed to sqlite3_realloc64() to grow the nearset array in sqlite3Fts5ParseNearset(); pNear is only freed via sqlite3Fts5ParseNearsetFree() in the `pRet==0` branch taken after this call fails, not before it.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts5/fts5_expr.c,1774,FP,"pPhrase is passed to sqlite3_realloc64() to grow the phrase struct; it is never freed earlier in this function, only reassigned via pCtx->pPhrase=pNew on success.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts5/fts5_expr.c,2057,FP,"p (colset) is passed to sqlite3_realloc64() in fts5ParseColset(); the doc comment even states the old colset is NOT freed on OOM, and there is no free of p before this call.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts5/fts5_hash.c,329,FP,"p is passed to sqlite3_realloc64() to grow the hash entry; p was allocated via sqlite3_malloc64 earlier and never freed before this realloc call, only reassigned to pNew on success.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts5/fts5_index.c,1776,FP,"pIter is passed to sqlite3_realloc64() inside a loop that grows the iterator level array; pIter is never freed earlier in fts5DlidxIterInit(), only reassigned to pNew on success.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts5/fts5_index.c,7052,FP,"pIn is passed to sqlite3_realloc() to grow the Fts5TokenDataIter array; pIn/pRet is never freed earlier in fts5AppendTokendataIter(), it is only reassigned to pNew on success.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts5/fts5_index.c,7066,FP,"pRet->apIter[...] is only accessed in the `else` branch reached when p->rc==SQLITE_OK, meaning either the realloc at line 7052 never ran (pRet==pIn, unchanged/valid) or it succeeded and pRet was reassigned to the new valid block; pRet is never a dangling freed pointer here.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts5/fts5_index.c,7068,FP,"The assert on pRet->nIter/nIterAlloc runs after the same rc==SQLITE_OK guard as line 7066; pRet is valid (either untouched pIn or freshly reallocated pNew), not a freed pointer.",delta_mem30_task544,high
MEM30-C,sqlite,ext/fts5/fts5_index.c,7070,FP,return pRet returns either the untouched pIn (never freed) or the successfully reallocated pNew; fts5AppendTokendataIter() never frees pRet/pIn before returning it.,delta_mem30_task544,high
MEM30-C,sqlite,ext/icu/icu.c,388,FP,"zOutput is passed to sqlite3_realloc() as a grow-buffer idiom in icuCaseFunc16()'s loop; zOutput is only freed via sqlite3_free(zOutput) in the `if(zNew==0)` failure branch taken after this call, not before it.",delta_mem30_task544,high
MEM30-C,sqlite,ext/rtree/geopoly.c,666,FP,"p is passed to sqlite3_realloc64() in geopolyBBox() to convert the polygon into its bounding-box representation in place; p is only freed via sqlite3_free(p) in the failure branch immediately following this call, not before it.",delta_mem30_task544,high
MEM30-C,sqlite,src/build.c,1555,FP,"db is the allocator-context first argument to sqlite3DbRealloc(db, p->aCol, ...); db is never freed in this function, it is the live Parse->db handle used throughout column construction.",delta_mem30_task544,high
