rule,idx,project,file,line,verdict,reason
EXP34-C,0,sqlite,ext/fts5/fts5_index.c,7795,FP,pBlob=0 then sqlite3_blob_open(&pBlob); on rc==SQLITE_OK the API guarantees pBlob non-null — sqc doesn't model success=>non-null
EXP34-C,1,sqlite,src/util.c,276,FP,guarded by 'if(db==0 || (pParse=db->pParse)==0) return' — pParse non-null past the assignment-in-condition guard (sqc missed it)
EXP34-C,2,sqlite,src/pager.c,1252,FP,debug helper pager_set_pagehash; pPage is a live PgHdr guaranteed non-null by the caller (CHECK_PAGES build)
EXP34-C,3,sqlite,ext/session/sqlite3session.c,5043,FP,"pUp is a prepared stmt bound above (sessionBindValue); non-null by prior prepare, and sqlite3_step(NULL) is MISUSE-safe anyway"
EXP34-C,4,sqlite,src/vdbeaux.c,228,FP,"growOp3(Vdbe *p,...); p is the live Vdbe guaranteed non-null by the caller (assert precondition)"
EXP34-C,5,sqlite,ext/misc/vtablog.c,124,FP,"z is a non-null input; vtablog_skip_whitespace returns a pointer within the string, never NULL"
EXP34-C,6,sqlite,ext/fts5/fts5_main.c,870,FP,"fts5SorterNext is only entered for sorter cursors, so pCsr->pSorter is non-null by that invariant (would crash universally otherwise)"
EXP34-C,7,sqlite,ext/rbu/sqlite3rbu.c,3656,FP,while(p->rc==SQLITE_OK && sqlite3_step(pSql)): pSql set by prepareAndCollectError only when p->rc==OK; short-circuits otherwise (and sqlite3_step is MISUSE-safe)
EXP34-C,8,sqlite,ext/rtree/rtree.c,2885,FP,pNode already dereferenced above (nodeInsertCell at 2879); non-null by caller invariant
EXP34-C,9,sqlite,src/upsert.c,230,FP,guarded by 'if(NEVER(pUpsert==0)) return 0' immediately above — sqc missed the NEVER() null guard
EXP34-C,10,sqlite,ext/fts5/fts5_index.c,4857,FP,pIter is the live multi-iterator established by the enclosing merge loop; non-null by invariant
