rule,idx,project,file,line,verdict,reason,provenance,confidence
EXP33-C,0,sqlite,src/window.c,184,FP,p assigned from sqlite3_aggregate_context at line 184 before deref at 185 then guarded by if(p) not uninitialized,,high
EXP33-C,1,sqlite,src/window.c,191,FP,p assigned at 191 from aggregate_context before deref guarded by if(p) at 192,,high
EXP33-C,2,sqlite,src/window.c,216,FP,p assigned at 216 from aggregate_context before use guarded by if(p) at 217,,high
FLP02-C,3,sqlite,src/window.c,225,FP,((i64)fVal)!=fVal is the deliberate idiom to detect non-integral float not a representation-error mistake,,high
MEM31-C,4,sqlite,src/window.c,236,FP,p->pValue is freed in nth_valueFinalizeFunc via sqlite3_value_free not a leak ownership held in aggregate context,,high
MSC07-C,5,sqlite,src/window.c,246,FP,return at 244 is conditional path end error_out label code at 246 is reachable via goto not dead code,,high
EXP33-C,6,sqlite,src/window.c,269,FP,p assigned at 269 from aggregate_context before use guarded by if(p && p->pValue==0) at 270,,high
MEM31-C,7,sqlite,src/window.c,271,FP,p->pValue freed in first_valueFinalizeFunc not a leak,,high
EXP33-C,8,sqlite,src/window.c,281,FP,p assigned at 281 from aggregate_context before deref guarded by if(p) at 282,,high
EXP33-C,9,sqlite,src/window.c,303,FP,p assigned at 303 before deref guarded by if(p) at 304 not uninitialized,,high
EXP33-C,10,sqlite,src/window.c,315,FP,p assigned at 315 before deref guarded by if(p) at 316,,high
EXP33-C,11,sqlite,src/window.c,336,FP,p assigned at 336 before use guarded by if(p) at 337,,high
EXP33-C,12,sqlite,src/window.c,349,FP,p assigned at 349 from aggregate_context before deref at 350 not uninitialized,,high
EXP33-C,13,sqlite,src/window.c,354,FP,p assigned at 354 before use guarded by if(p) at 355,,high
DCL00-C,14,sqlite,src/window.c,358,FP,r is a local double computed once and consumed by sqlite3_result_double const-qualifying is cosmetic not a defect,,med
FLP03-C,15,sqlite,src/window.c,358,FP,FLP03 fenv checking not applicable nTotal>1 guard prevents div-by-zero integer-to-double division is exact-enough for the API,,high
FLP34-C,16,sqlite,src/window.c,358,FP,(double)p->nValue is a deliberate i64-to-double cast for ratio no range check needed CERT does not require it here,,high
FLP34-C,17,sqlite,src/window.c,358,FP,(double)(p->nTotal-1) deliberate i64-to-double cast for percent_rank ratio,,high
EXP33-C,18,sqlite,src/window.c,381,FP,p assigned at 381 before use guarded by if(p) at 382,,high
EXP33-C,19,sqlite,src/window.c,394,FP,p assigned at 394 from aggregate_context before deref at 395 not uninitialized,,high
DCL00-C,20,sqlite,src/window.c,401,FP,r is a local double computed once cosmetic const suggestion not a defect,,med
FLP03-C,21,sqlite,src/window.c,401,FP,cume_dist ratio division fenv checking not applicable to SQLite codegen,,high
FLP34-C,22,sqlite,src/window.c,401,FP,(double)(p->nStep) deliberate cast for ratio,,high
FLP34-C,23,sqlite,src/window.c,401,FP,(double)(p->nTotal) deliberate cast for ratio (note potential div-by-zero is real see FN but not this rule),,high
DCL13-C,24,sqlite,src/window.c,425,FP,apArg signature fixed by xStep UDF callback typedef cannot add const sqlite3_value** unchanged,,high
EXP33-C,25,sqlite,src/window.c,429,FP,p assigned at 429 from aggregate_context before use guarded by if(p) at 430,,high
EXP33-C,26,sqlite,src/window.c,450,FP,p assigned at 450 from aggregate_context before deref at 451 not uninitialized,,high
EXP33-C,27,sqlite,src/window.c,455,FP,p assigned at 455 before use guarded by if(p && p->nParam>0) at 456,,high
INT33-C,28,sqlite,src/window.c,457,FP,division by p->nParam at 457 guarded by if(p && p->nParam>0) at 456 nParam cannot be zero,,high
