rule,project,file,line,verdict,reason,provenance,confidence
ERR33-C,mosquitto,lib/logging_mosq.c,53,FP,"buffer len is strlen(fmt)+500 and code force-null-terminates s[len-1] after the call so truncation cannot corrupt the buffer, only cosmetically shorten a debug log line",delta_err33_task544,high
ERR33-C,mosquitto,lib/net_mosq.c,304,TP,"identity buffer size is fixed by the OpenSSL PSK callback (max_identity_len) and mosq->tls_psk_identity is attacker/config length unbounded, so silent truncation of the PSK identity used later in the handshake is unchecked",delta_err33_task544,medium
ERR33-C,mosquitto,lib/send_publish.c,171,FP,"topic_temp is malloc'd to exactly strlen(mapped_topic)+strlen(prefix)+2 before the snprintf that writes exactly that content, so truncation/error is structurally unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/bridge.c,328,FP,"notification_topic is malloc'd to the exact strlen sum used by the format string, so snprintf cannot truncate",delta_err33_task544,high
ERR33-C,mosquitto,src/bridge.c,566,FP,"same exact-fit malloc'd buffer pattern as bridge.c:328, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/bridge.c,700,FP,"same exact-fit malloc'd buffer pattern as bridge.c:328, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/bridge_topic.c,299,FP,"topic_temp malloc'd to strlen(*topic)+strlen(local_prefix)+2, exact fit for the format written, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/bridge_topic.c,38,FP,"*remap_topic malloc'd to strlen(topic)+strlen(prefix)+2, exact fit for the format written, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/bridge_topic.c,82,FP,"*full_prefix malloc'd to the exact strlen sum used by the snprintf, truncation unreachable, and result is validated afterward via mosquitto_sub_topic_check",delta_err33_task544,high
ERR33-C,mosquitto,src/bridge_topic.c,84,FP,"same exact-fit buffer as line 82, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/bridge_topic.c,96,FP,"same exact-fit buffer pattern, storage-only snprintf of prefix that already fits len",delta_err33_task544,high
ERR33-C,mosquitto,src/conf.c,1841,FP,"http_dir_canonical_sep calloc'd to strlen(http_dir_canonical)+sizeof(sep)+1, exact fit for the two-token format written",delta_err33_task544,high
ERR33-C,mosquitto,src/conf.c,3048,FP,"remote_clientid malloc'd to strlen(hostname)+strlen(name)+2, exact fit for the format written",delta_err33_task544,high
ERR33-C,mosquitto,src/conf.c,3061,FP,"local_clientid malloc'd to strlen(remote_clientid)+strlen(\local.\"")+2"," exact fit for the format written""",delta_err33_task544
ERR33-C,mosquitto,src/conf.c,833,FP,"persistence_filepath malloc'd to strlen(location)+strlen(file)+2, exact fit for the path format written",delta_err33_task544,high
ERR33-C,mosquitto,src/conf.c,835,FP,same exact-fit buffer as conf.c:833 (POSIX branch),delta_err33_task544,high
ERR33-C,mosquitto,src/conf_includedir.c,125,FP,"l_files[...] malloc'd to len+1 where len is the exact strlen(include_dir)+1+strlen(cFileName)+1, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/conf_includedir.c,176,FP,"l_files[...] malloc'd to len+1 where len is the exact strlen(include_dir)+1+strlen(d_name)+1, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/conf_includedir.c,94,TP,dirpath is a fixed MAX_PATH stack buffer built from admin-configured include_dir with no length check; if include_dir approaches MAX_PATH the search pattern silently truncates and FindFirstFile is used unchecked for truncation,delta_err33_task544,medium
ERR33-C,mosquitto,src/control.c,161,FP,"ep allocated with sizeof(struct)+topic_len+2 and snprintf writes into ep->topic with topic_len+1, sized from the same topic_len used to size the allocation, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/control.c,42,FP,"response_topic calloc'd to strlen(request_topic)+sizeof(\/response\"")+1"," exact fit for the format written""",delta_err33_task544
ERR33-C,mosquitto,src/handle_connect.c,380,FP,"will_topic_mount malloc'd to slen+1 where slen is the exact strlen sum of mount_point and topic, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/handle_publish.c,344,FP,"topic_mount malloc'd to len+1 where len is the exact strlen sum of mount_point and topic, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/handle_subscribe.c,184,FP,"sub_mount malloc'd to len+1 where len is the exact strlen sum of mount_point and slen(topic_filter), truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/http_api.c,310,FP,fptr is closed on the fstat-failure early-return path and never referenced again; failure to close leaves no inconsistent state observable afterward,delta_err33_task544,high
ERR33-C,mosquitto,src/http_api.c,316,FP,fptr is closed on the non-regular-file early-return path and never referenced again afterward,delta_err33_task544,high
ERR33-C,mosquitto,src/http_api.c,488,FP,service[10] with %d of a 16-bit port (max 5 digits) cannot truncate,delta_err33_task544,high
ERR33-C,mosquitto,src/http_api.c,90,FP,"filename malloc'd to slen computed as the exact strlen sum of http_dir/url/\index.html\"""," truncation unreachable""",delta_err33_task544
ERR33-C,mosquitto,src/http_api.c,92,FP,same exact-fit buffer as http_api.c:90 (non-trailing-slash branch),delta_err33_task544,high
ERR33-C,mosquitto,src/logging.c,349,FP,"log_line is a fixed-size logging buffer and the code force-null-terminates log_line[sizeof(log_line)-1] immediately after, so any truncation is a benign shortened log line, not memory unsafety",delta_err33_task544,high
ERR33-C,mosquitto,src/net.c,1102,FP,"buf/len are net__socket_get_address's parameters and its only caller passes len=1024 against a sockaddr_un.sun_path capped at ~108 bytes, truncation unreachable",delta_err33_task544,high
ERR33-C,mosquitto,src/net.c,1104,FP,"same buf/len=1024 call site as net.c:1102, the literal \unix-socket\"" cannot truncate""",delta_err33_task544,high
ERR33-C,mosquitto,src/net.c,394,FP,fptr is closed immediately after the single fprintf and never used again; this is a best-effort TLS keylog write,delta_err33_task544,high
ERR33-C,mosquitto,src/net.c,495,FP,"buf 256 with \mosquitto-%d\"" of a 16-bit port cannot truncate""",delta_err33_task544,high
ERR33-C,mosquitto,src/net.c,822,FP,service[10] with %d of a 16-bit port (max 5 digits) cannot truncate,delta_err33_task544,high
ERR33-C,mosquitto,src/persist_read.c,450,FP,fptr is closed on the empty-file early-return path and never referenced again afterward,delta_err33_task544,high
ERR33-C,mosquitto,src/persist_read.c,473,FP,fptr is closed on the unsupported-version early-return path and never referenced again afterward,delta_err33_task544,high
ERR33-C,mosquitto,src/persist_read.c,558,FP,fptr is closed on the fseek-failure early-return path and never referenced again afterward,delta_err33_task544,high
ERR33-C,mosquitto,src/persist_read.c,571,FP,fptr is closed at the end of the restore function (both normal and error labels) with no subsequent use of the handle,delta_err33_task544,high
ERR33-C,mosquitto,src/persist_write.c,240,FP,"thistopic malloc'd to strlen(topic)+node->topic_len+2, exact fit for the format written",delta_err33_task544,high
ERR33-C,mosquitto,src/persist_write.c,242,FP,same exact-fit buffer as persist_write.c:240 (level<=1 branch),delta_err33_task544,high
ERR33-C,mosquitto,src/psk_file.c,147,FP,fclose occurs only on a NOMEM early-return path with pwfile never referenced again afterward,delta_err33_task544,high
ERR33-C,mosquitto,src/psk_file.c,184,FP,"fclose occurs at end-of-function after the parse loop completes, pwfile never referenced again afterward",delta_err33_task544,high
ERR33-C,mosquitto,src/service.c,155,FP,"service_string is MAX_PATH+20 and exe_path is capped at MAX_PATH by GetModuleFileName, sized to accommodate the added quote/\ run\"" literal""",delta_err33_task544,high
ERR33-C,mosquitto,src/service.c,162,FP,"display_name is MAX_PATH+1 and the literal \Mosquitto Broker\"" trivially fits""",delta_err33_task544,high
ERR33-C,mosquitto,src/service.c,164,FP,"display_name is MAX_PATH+1, more than sufficient for \Mosquitto Broker (%s.exe)\"" with a short service name""",delta_err33_task544,high
ERR33-C,mosquitto,src/service.c,95,FP,"env_name is a MAX_PATH stack buffer and name is a short program basename, no realistic truncation",delta_err33_task544,high
ERR33-C,mosquitto,src/websockets.c,391,FP,"filename malloc'd to the exact strlen sum of http_dir/in/\index.html\"""," truncation unreachable""",delta_err33_task544
ERR33-C,mosquitto,src/websockets.c,393,FP,same exact-fit buffer as websockets.c:391 (non-trailing-slash branch),delta_err33_task544,high
ERR33-C,mosquitto,src/websockets.c,570,FP,"fclose sets u->fptr = NULL immediately after and returns, no subsequent use of the closed handle",delta_err33_task544,high
ERR33-C,mosquitto,src/xtreport.c,119,FP,"filename[40] against \/tmp/xtmosquitto.kcg.%d.%d\"" with realistic pid/iter values fits comfortably; this is a debug callgrind-report path"," not attacker-influenced input""",delta_err33_task544
