rule,project,file,line,verdict,reason,provenance,confidence
ARR01-C,hostap,src/eap_common/eap_sake_common.c,165,FP,"ARR01-C: attr is a struct pointer param, never an array; sizeof(*attr) is a correct dereference, not decayed-array sizing (eap_pax.c-style ARR01-C misclassification)",16-40_b18,high
INT30-C,hostap,src/eap_common/eap_sake_common.c,193,FP,"INT30-C: pos is const u8* (pointer), not an unsigned integer; rule mislabels pointer arithmetic as integer overflow. Also already bounded by 'attr_len > end - pos' check just above",16-40_b18,high
API05-C,hostap,src/eap_common/eap_sake_common.c,216,FP,API05-C: key/data/data2/buf each already paired with own *_len param (key_len/data_len/data2_len/buf_len) - confirmed paired-len idiom FP,16-40_b18,high
STR34-C,hostap,src/eap_common/eap_sake_common.c,224,FP,"STR34-C: no char-to-int conversion occurs at this line; label is used only as a pointer arg to os_strlen(), rule fired without an actual widening conversion",16-40_b18,high
EXP05-C,hostap,src/eap_common/eap_sake_common.c,228,FP,"EXP05-C: cast-away-const with no write-through; result stored into addr[0] which is itself const-qualified (const unsigned char *addr[4]), only ever read by hmac_sha1_vector",16-40_b18,high
INT30-C,hostap,src/eap_common/eap_sake_common.c,244,FP,"INT30-C bounded-loop FP: pos here is a size_t loop index in eap_sake_kdf, only incremented when plen>=SHA1_MAC_LEN i.e. buf_len-pos>=SHA1_MAC_LEN, so pos+SHA1_MAC_LEN<=buf_len always - matches confirmed bounded-loop INT30-C FP class",16-40_b18,high
API00-C,hostap,src/eap_common/eap_sake_common.c,272,FP,"API00-C: eap_sake_derive_keys is an internal EAP-SAKE crypto helper, msk always a caller-owned fixed buffer at closed call sites - internal-only API FP class",16-40_b18,med
API00-C,hostap,src/eap_common/eap_sake_common.c,272,FP,"API00-C: same reasoning, emsk always a caller-owned fixed buffer at closed call sites",16-40_b18,med
MEM05-C,hostap,src/eap_common/eap_sake_common.c,278,FP,"MEM05-C: key_buf sized by EAP_MSK_LEN+EAP_EMSK_LEN, both compile-time #define constants; not a VLA at all - confirmed macro-sized-array MEM05-C FP class",16-40_b18,high
EXP33-C,hostap,src/eap_common/eap_sake_common.c,311,FP,"EXP33-C: key_buf is written by eap_sake_kdf(...,key_buf,sizeof(key_buf)) at line 307-309 (output-param write) before this read at line 311 - sqc misses the cross-call write, same as WPS-parse output-param FP class",16-40_b18,high
API00-C,hostap,src/eap_common/eap_sake_common.c,335,FP,API00-C: eap_sake_compute_mic is an internal EAP-SAKE crypto helper called only with fixed valid tek_auth - internal-only API FP class,16-40_b18,med
API00-C,hostap,src/eap_common/eap_sake_common.c,335,FP,"API00-C: same, eap always a valid EAP packet pointer supplied by internal caller",16-40_b18,med
API00-C,hostap,src/eap_common/eap_sake_common.c,335,FP,"API00-C: serverid_len is sourced from a u8 attr_len field (<=255) in eap_sake_parse_add_attr; protocol-bounded, tmplen arithmetic cannot overflow size_t",16-40_b18,med
